Code,Description
789588003#,Peripheral sensory neuropathy (disorder)
79554005#,Asymmetric diabetic proximal motor neuropathy
81830002#,Diabetic mononeuropathy simplex
866003#,Diabetic neuropathy
95662005#,Sensory peripheral neuropathy
773001000000103#,Symptomatic diabetic peripheral neuropathy (disorder)
279981003#,Peripheral neuropathic pain (finding)
944141000000108#,Diabetic peripheral neuropathic pain (finding)
22722001#,Idiopathic peripheral neuropathy (disorder)
762603007#,Chronic peripheral neuropathic pain (finding)
65017003#,Hereditary peripheral neuropathy (disorder)
250024000#,Peripheral neuropathic gait (finding)
723666009#,Length-dependent peripheral neuropathy (disorder)
767659008#,Peripheral neuropathy due to and following antineoplastic therapy (disorder)
350471000119102#,Idiopathic small fiber peripheral neuropathy (disorder)
636121000000109#,Hereditary or idiopathic peripheral neuropathy NOS (disorder)
709143008#,Peripheral neuropathy caused by toxin (disorder)
7916009#,Alcoholic polyneuropathy (disorder)
309520003#,Symmetrical sensory neuropathy (disorder)
86489003#,Idiopathic peripheral autonomic neuropathy (disorder)
609592007#,Mononeuropathy of lower limb (disorder)
789569005#,Neuropathic ulcer of heel due to type 2 diabetes mellitus (disorder)
140381000119104#,Neuropathic ulcer of toe due to type 2 diabetes mellitus (disorder)
267601009#,Inflammatory and toxic neuropathy (disorder)
33209009#,Idiopathic progressive polyneuropathy (disorder)
403601003#,Neuropathic ulcer (disorder)
709489006#,Small fiber neuropathy (disorder)
230594005#,Critical illness polyneuropathy (disorder)
128208007#,Peripheral axonal neuropathy (disorder)
230655004#,Idiopathic chronic neuropathy (disorder)
45600000#,Toxic polyneuropathy (disorder)
60703000#,Axonal neuropathy (disorder)
7339009#,Polyneuropathy caused by drug (disorder)
762595001#,Chronic painful polyneuropathy following chemotherapy (disorder)
193186008#,Polyneuropathy associated with another disorder (disorder)
3900008#,Mixed sensory-motor polyneuropathy (disorder)
609600000#,Neuropathy of lower limb (disorder)
137631000119107#,Neuropathic ulcer of ankle (disorder)
783244002#,Acute pure sensory neuropathy (disorder)
264556007#,Occult neuropathy (disorder)
199891000000100#,10 gram monofilament sensation plantar aspect of great toe right foot absent (finding)
199901000000104#,10 gram monofilament sensation plantar aspect of great toe left foot absent (finding)
199911000000102#,10 gram monofilament sensation plantar aspect of middle toe right foot absent (finding)
199921000000108#,10 gram monofilament sensation plantar aspect of middle toe left foot absent (finding)
199931000000105#,10 gram monofilament sensation plantar aspect of little toe right foot absent (finding)
199941000000101#,10 gram monofilament sensation plantar aspect of little toe left foot absent (finding)
199951000000103#,10 gram monofilament sensation plantar aspect of first metatarsal head right foot absent (finding)
199961000000100#,10 gram monofilament sensation plantar aspect of first metatarsal head left foot absent (finding)
309537005#,Numbness of lower limb (finding)
309538000#,Numbness of foot (finding)
309539008#,Numbness of toe (finding)
308074007#,Pin prick sensation of right foot abnormal (finding)
308075008#,Pin prick sensation of left foot abnormal (finding)
398894000#,Pin prick sensation of foot-abnormal (finding)
