MedCodeId	Term	Observations_jun24	old_2021	new_2024	category	qrisk2_cat
2735421000000119	Ex-trivial smoker (<1/day)	1263	1	1	Ex-smoker	1
2735281000000119	Ex-heavy smoker (20-39/day)	1211	1	1	Ex-smoker	1
5003191000006110	Chain smoker	1206	1	1	Active smoker	4
1704571000006117	Chronic obstructive pulmonary disease structured smoking assessment declined	1142	1	1	Active smoker	2
3419101000006116	Moderate smoker (20 or less per day)	1080	1	1	Active smoker	3
1704561000006112	Referred for chronic obstructive pulmonary disease structured smoking assessment	1024	1	1	Active smoker	2
5979541000006112	Smoking monitoring call	983	1	1	Active smoker	2
12734401000006119	QOF (Quality and Outcomes Framework) smoking quality indicator-related care invitation using preferred method of communication	925	1	1	Active smoker	2
3513199018	Ex-smoker for less than 1 year	830	1	1	Ex-smoker	1
3422221000006116	Heavy smoker (over 20 per day)	731	1	1	Active smoker	4
6282351000006119	Smoking	630	1	1	Active smoker	2
12024761000006112	Monitoring of smoking cessation therapy declined	561	1	1	Active smoker	2
285805010	Stop smoking monitoring delete	470	1	1	Active smoker	2
1704581000006119	COPD structured smoking assessment declined	367	1	1	Active smoker	2
5003181000006112	Very heavy cigarette smoker	254	1	1	Active smoker	4
7368961000006112	Stopped smoking during pregnancy	243	1	1	Ex-smoker	1
8299271000006119	Number of previous attempts to stop smoking	202	1	1	Active smoker	2
2735201000000112	Ex-very heavy smoker (40+/day)	198	1	1	Ex-smoker	1
6427931000006116	Smoking cessation assistance	171	1	1	Active smoker	2
7368971000006117	Stopped smoking before pregnancy	149	1	1	Ex-smoker	1
1704551000006110	Referred for COPD structured smoking assessment	106	1	1	Active smoker	2
5495941000006114	Occasional smoker	94	1	1	Active smoker	2
2636041000006110	Cessation of smoking	93	1	1	Ex-smoker	1
7696001000006118	Patient request for smoking cessation information	88	1	1	Active smoker	2
3374141000006117	Tolerant ex-smoker	64	1	1	Ex-smoker	1
5495951000006111	Occasional cigarette smoker (less than one cigarette/day)	45	1	1	Active smoker	2
4948531000006116	Smokes in bed	45	1	1	Active smoker	2
14616531000006112	Smoking	44	0	1	Active smoker	2
298701000000114	History of tobacco use	35	1	1	Ex-smoker	1
14494021000006110	Former smoker	30	0	1	Ex-smoker	1
5495901000006112	Amount and type of tobacco smoked	23	1	1	Active smoker	2
4939241000006115	Advice on effects of smoking on health	20	1	1	Active smoker	2
6217281000006116	Aggressive ex-smoker	18	1	1	Ex-smoker	1
11793611000006110	Smoking cessation behaviour support	8	1	1	Active smoker	2
903051000006112	Tobacco Consumption Nil	7	1	1	Non-smoker	0
5003141000006118	Trivial cigarette smoker	4	1	1	Active smoker	2
12452041000006114	Refuses stop smoking monitor	4	1	1	Active smoker	2
6649431000006116	Smoking cessation program start date	4	1	1	Active smoker	2
7507181000006115	Hookah pipe smoker	3	1	1	Active smoker	2
3513101011	Date ceased using moist tobacco	3	1	1	Ex-smoker	1
8190531000006112	Referral to NHS (National Health Service) stop smoking service	2	1	1	Active smoker	2
7650811000006116	Assessment of readiness for smoking cessation	2	1	1	Active smoker	2
7967851000006114	Age at smoking cessation	2	1	1	Ex-smoker	1
8244731000006115	Stop smoking invitation text message	1	1	1	Active smoker	2
6282371000006112	Tobacco smoking consumption - finding	1	1	1	Active smoker	2
7507191000006117	Water pipe smoker	1	1	1	Active smoker	2
12024741000006113	Monitoring of smoking cessation therapy	1	1	1	Active smoker	2
6217151000006116	Intolerant ex-smoker	1	1	1	Ex-smoker	1
8153381000006119	Occasional smoker	NA	1	0	Active smoker	2
3256651000006113	Cigarette cough	NA	1	0	Active smoker	2
6282341000006116	Tobacco smoking behavior - finding	NA	1	0	Active smoker	2
6282361000006117	Finding of tobacco smoking behavior	NA	1	0	Active smoker	2
8244751000006110	Stop smoking invitation first text message	NA	1	0	Active smoker	2
8244771000006117	Stop smoking invitation second text message	NA	1	0	Active smoker	2
8244791000006116	Stop smoking invitation third text message	NA	1	0	Active smoker	2
2670581000006114	Smoker's respiratory syndrome	NA	1	0	Active smoker	2
4640191000006114	Smoking in pregnancy education	NA	1	0	Active smoker	2
6282381000006110	Finding of tobacco smoking consumption	NA	1	0	Active smoker	2
7979581000006117	Tobacco cessation education not done	NA	1	0	Active smoker	2
12482301000006115	Admitted tobacco cons untrue ?	NA	1	0	Active smoker	2
4533531000006119	Admitted tobacco consumption possibly untrue	NA	1	0	Active smoker	2
7368661000006117	Smoker before confirmation of pregnancy	NA	1	0	Ex-smoker	1
3926051000006118	Tolerant non-smoker	NA	1	0	Non-smoker	0
4120281000006117	Non-smoker for personal reasons	NA	1	0	Non-smoker	0
4120291000006119	Non-smoker for religious reasons	NA	1	0	Non-smoker	0
4120301000006118	Non-smoker for medical reasons	NA	1	0	Non-smoker	0
6217461000006110	Aggressive non-smoker	NA	1	0	Non-smoker	0
6217561000006111	Intolerant non-smoker	NA	1	0	Non-smoker	0
