ProdCodeId	dmdid	Term.from.EMIS	ProductName	Formulation	RouteOfAdministration	DrugSubstanceName	SubstanceStrength	BNFChapter	Release	INS	TZD	SU	DPP4	MFN	GLP1	Glinide	Acarbose	SGLT2
10336941000033112	29742811000001105	Diabiom 15mg tablets (Tillomed Laboratories Ltd)	Diabiom 15mg tablets	Tablet	Oral	Pioglitazone hydrochloride	15.000mg	NA	NA	0	1	0	0	0	0	0	0	0
10337041000033113	29743011000001108	Diabiom 30mg tablets (Tillomed Laboratories Ltd)	Diabiom 30mg tablets	Tablet	Oral	Pioglitazone hydrochloride	30.000mg	NA	NA	0	1	0	0	0	0	0	0	0
10337141000033112	29743211000001103	Diabiom 45mg tablets (Tillomed Laboratories Ltd)	Diabiom 45mg tablets	Tablet	Oral	Pioglitazone hydrochloride	45.000mg	NA	NA	0	1	0	0	0	0	0	0	0
10598841000033113	30012111000001105	Glucient SR 750mg tablets (Consilient Health Ltd)	Glucient SR 750mg tablets	Modified-release tablet	Oral	Metformin hydrochloride	750.000mg	NA	NA	0	0	0	0	1	0	0	0	0
10598941000033117	30012311000001107	Glucient SR 1000mg tablets (Consilient Health Ltd)	Glucient SR 1000mg tablets	Modified-release tablet	Oral	Metformin hydrochloride	1.000gram	NA	NA	0	0	0	0	1	0	0	0	0
10614141000033116	30318411000001104	Empagliflozin 5mg / Metformin 850mg tablets	Empagliflozin 5mg / Metformin 850mg tablets	Tablet	Oral	Empagliflozin/ Metformin hydrochloride	5.000mg + 850.000mg	6010203	NA	0	0	0	0	1	0	0	0	1
10614241000033111	30318311000001106	Empagliflozin 5mg / Metformin 1g tablets	Empagliflozin 5mg / Metformin 1g tablets	Tablet	Oral	Empagliflozin/ Metformin hydrochloride	5.000mg + 1.000gram	6010203	NA	0	0	0	0	1	0	0	0	1
10614341000033118	30318211000001103	Empagliflozin 12.5mg / Metformin 850mg tablets	Empagliflozin 12.5mg / Metformin 850mg tablets	Tablet	Oral	Empagliflozin/ Metformin hydrochloride	12.500mg + 850.000mg	6010203	NA	0	0	0	0	1	0	0	0	1
10614441000033112	30318111000001109	Empagliflozin 12.5mg / Metformin 1g tablets	Empagliflozin 12.5mg / Metformin 1g tablets	Tablet	Oral	Empagliflozin/ Metformin hydrochloride	12.500mg + 1.000gram	6010203	NA	0	0	0	0	1	0	0	0	1
10614541000033113	30173411000001107	Synjardy 5mg/850mg tablets (Boehringer Ingelheim Ltd)	Synjardy 5mg/850mg tablets	Tablet	Oral	Empagliflozin/ Metformin hydrochloride	5.000mg + 850.000mg	6010203	NA	0	0	0	0	1	0	0	0	1
10614641000033114	30174111000001100	Synjardy 5mg/1000mg tablets (Boehringer Ingelheim Ltd)	Synjardy 5mg/1000mg tablets	Tablet	Oral	Empagliflozin/ Metformin hydrochloride	5.000mg + 1.000gram	6010203	NA	0	0	0	0	1	0	0	0	1
10614741000033117	30175011000001102	Synjardy 12.5mg/850mg tablets (Boehringer Ingelheim Ltd)	Synjardy 12.5mg/850mg tablets	Tablet	Oral	Empagliflozin/ Metformin hydrochloride	12.500mg + 850.000mg	6010203	NA	0	0	0	0	1	0	0	0	1
10614841000033110	30175711000001100	Synjardy 12.5mg/1000mg tablets (Boehringer Ingelheim Ltd)	Synjardy 12.5mg/1000mg tablets	Tablet	Oral	Empagliflozin/ Metformin hydrochloride	12.500mg + 1.000gram	6010203	NA	0	0	0	0	1	0	0	0	1
10701641000033116	30982411000001107	Bilxona 30mg modified-release tablets (Accord Healthcare Ltd)	Bilxona 30mg modified-release tablets	Modified-release tablet	Oral	Gliclazide	30.000mg	NA	NA	0	0	1	0	0	0	0	0	0
10701741000033113	37618711000001109	Bilxona 60mg modified-release tablets (Accord Healthcare Ltd)	Bilxona 60mg modified-release tablets	Modified-release tablet	Oral	Gliclazide	60.000mg	NA	NA	0	0	1	0	0	0	0	0	0
10951041000033114	31015711000001109	Albiglutide 30mg powder and solvent for solution for injection pre-filled disposable devices	Albiglutide 30mg powder and solvent for solution for injection pre-filled disposable devices	Powder and solvent for solution for injection	Subcutaneous	Albiglutide	30.000mg	6010203	NA	0	0	0	0	0	1	0	0	0
10951141000033113	31015811000001101	Albiglutide 50mg powder and solvent for solution for injection pre-filled disposable devices	Albiglutide 50mg powder and solvent for solution for injection pre-filled disposable devices	Powder and solvent for solution for injection	Subcutaneous	Albiglutide	50.000mg	6010203	NA	0	0	0	0	0	1	0	0	0
10952341000033119	31014311000001106	Eperzan 30mg powder and solvent for solution for injection pre-filled pens (GlaxoSmithKline UK Ltd)	Eperzan 30mg powder and solvent for solution for injection pre-filled pens	Powder and solvent for solution for injection	Subcutaneous	Albiglutide	30.000mg	6010203	NA	0	0	0	0	0	1	0	0	0
10953041000033113	31014611000001101	Eperzan 50mg powder and solvent for solution for injection pre-filled pens (GlaxoSmithKline UK Ltd)	Eperzan 50mg powder and solvent for solution for injection pre-filled pens	Powder and solvent for solution for injection	Subcutaneous	Albiglutide	50.000mg	6010203	NA	0	0	0	0	0	1	0	0	0
1136741000033112	NA	Pramidex Tablets 500 mg	Pramidex Tablets 500 mg	NA	NA	NA	NA	NA	NA	0	0	1	0	0	0	0	0	0
11441000033114	326038002	Acarbose 100mg tablets	Acarbose 100mg tablets	Tablet	Oral	Acarbose	100.000mg	6010203	NA	0	0	0	0	0	0	0	1	0
1153441000033112	NA	Rastinon Tablets 500 mg	Rastinon Tablets 500 mg	NA	NA	NA	NA	NA	NA	0	0	1	0	0	0	0	0	0
11541000033110	326037007	Acarbose 50mg tablets	Acarbose 50mg tablets	Tablet	Oral	Acarbose	50.000mg	6010203	NA	0	0	0	0	0	0	0	1	0
11781341000033117	33550811000001105	Metformin 1g/5ml oral solution sugar free	Metformin 1g/5ml oral solution sugar free	Oral solution	Oral	Metformin hydrochloride	200.000mg/1.000ml	NA	NA	0	0	0	0	1	0	0	0	0
11781441000033111	33550911000001100	Metformin 850mg/5ml oral solution sugar free	Metformin 850mg/5ml oral solution sugar free	Oral solution	Oral	Metformin hydrochloride	170.000mg/1.000ml	NA	NA	0	0	0	0	1	0	0	0	0
1184741000033113	NA	Romozin Tablets 200 mg	Romozin Tablets 200 mg	NA	NA	NA	NA	NA	NA	0	1	0	0	0	0	0	0	0
1184841000033115	NA	Romozin Tablets 300 mg	Romozin Tablets 300 mg	NA	NA	NA	NA	NA	NA	0	1	0	0	0	0	0	0	0
1184941000033111	NA	Romozin Tablets 400 mg	Romozin Tablets 400 mg	NA	NA	NA	NA	NA	NA	0	1	0	0	0	0	0	0	0
11898041000033111	33745311000001109	Saxagliptin 5mg / Dapagliflozin 10mg tablets	Saxagliptin 5mg / Dapagliflozin 10mg tablets	Tablet	Oral	Dapagliflozin propanediol monohydrate/ Saxagliptin hydrochloride	10.000mg + 5.000mg	6010203	NA	0	0	0	1	0	0	0	0	1
11898141000033110	33682311000001103	Qtern 5mg/10mg tablets (AstraZeneca UK Ltd)	Qtern 5mg/10mg tablets	Tablet	Oral	Dapagliflozin propanediol monohydrate/ Saxagliptin hydrochloride	10.000mg + 5.000mg	6010203	NA	0	0	0	1	0	0	0	0	1
11918941000033116	33766211000001100	Zicron PR 30mg tablets (Bristol Laboratories Ltd)	Zicron PR 30mg tablets	Modified-release tablet	Oral	Gliclazide	30.000mg	NA	NA	0	0	1	0	0	0	0	0	0
11919041000033113	33747711000001102	Saxenda 6mg/ml solution for injection 3ml pre-filled pens (Novo Nordisk Ltd)	Saxenda 6mg/ml solution for injection 3ml pre-filled pens	Solution for injection	Subcutaneous	Liraglutide	6.000mg/1.000ml	NA	NA	0	0	0	0	0	1	0	0	0
12326541000033110	34552411000001107	Meijumet 500mg modified-release tablets (Medreich Plc)	Meijumet 500mg modified-release tablets	Modified-release tablet	Oral	Metformin hydrochloride	500.000mg	NA	NA	0	0	0	0	1	0	0	0	0
12326641000033111	34552811000001109	Meijumet 750mg modified-release tablets (Medreich Plc)	Meijumet 750mg modified-release tablets	Modified-release tablet	Oral	Metformin hydrochloride	750.000mg	NA	NA	0	0	0	0	1	0	0	0	0
12326741000033119	34553311000001105	Meijumet 1000mg modified-release tablets (Medreich Plc)	Meijumet 1000mg modified-release tablets	Modified-release tablet	Oral	Metformin hydrochloride	1.000gram	NA	NA	0	0	0	0	1	0	0	0	0
12593141000033115	35547511000001101	Yaltormin SR 500mg tablets (Wockhardt UK Ltd)	Yaltormin SR 500mg tablets	Modified-release tablet	Oral	Metformin hydrochloride	500.000mg	NA	NA	0	0	0	0	1	0	0	0	0
12593241000033110	35548011000001105	Yaltormin SR 750mg tablets (Wockhardt UK Ltd)	Yaltormin SR 750mg tablets	Modified-release tablet	Oral	Metformin hydrochloride	750.000mg	NA	NA	0	0	0	0	1	0	0	0	0
12593341000033117	35548311000001108	Yaltormin SR 1000mg tablets (Wockhardt UK Ltd)	Yaltormin SR 1000mg tablets	Modified-release tablet	Oral	Metformin hydrochloride	1.000gram	NA	NA	0	0	0	0	1	0	0	0	0
12641000033116	NA	Acetohexamide Tablets 500 mg	Acetohexamide Tablets 500 mg	NA	NA	NA	NA	NA	NA	0	0	1	0	0	0	0	0	0
12664441000033115	35849011000001104	Metuxtan SR 500mg tablets (Accord Healthcare Ltd)	Metuxtan SR 500mg tablets	Modified-release tablet	Oral	Metformin hydrochloride	500.000mg	NA	NA	0	0	0	0	1	0	0	0	0
1278041000033114	140711000001103	Semi-Daonil 2.5mg tablets (Sanofi)	Semi-Daonil 2.5mg tablets	Tablet	Oral	Glibenclamide	2.500mg	NA	NA	0	0	1	0	0	0	0	0	0
12876141000033116	36491111000001100	Semaglutide 1mg/0.74ml solution for injection 3ml pre-filled disposable device	Semaglutide 1mg/0.74ml solution for injection 3ml pre-filled disposable device	Solution for injection	Subcutaneous	Semaglutide	1.340mg/1.000ml	NA	NA	0	0	0	0	0	1	0	0	0
12876241000033111	36490911000001109	Semaglutide 0.25mg/0.19ml solution for injection 1.5ml pre-filled disposable device	Semaglutide 0.25mg/0.19ml solution for injection 1.5ml pre-filled disposable device	Solution for injection	Subcutaneous	Semaglutide	1.340mg/1.000ml	NA	NA	0	0	0	0	0	1	0	0	0
12876341000033118	36491011000001101	Semaglutide 0.5mg/0.37ml solution for injection 1.5ml pre-filled disposable device	Semaglutide 0.5mg/0.37ml solution for injection 1.5ml pre-filled disposable device	Solution for injection	Subcutaneous	Semaglutide	1.340mg/1.000ml	NA	NA	0	0	0	0	0	1	0	0	0
12876441000033112	36471411000001101	Ozempic 1mg/0.74ml solution for injection 3ml pre-filled pens (Novo Nordisk Ltd)	Ozempic 1mg/0.74ml solution for injection 3ml pre-filled pens	Solution for injection	Subcutaneous	Semaglutide	1.340mg/1.000ml	NA	NA	0	0	0	0	0	1	0	0	0
12876541000033113	36470811000001107	Ozempic 0.25mg/0.19ml solution for injection 1.5ml pre-filled pens (Novo Nordisk Ltd)	Ozempic 0.25mg/0.19ml solution for injection 1.5ml pre-filled pens	Solution for injection	Subcutaneous	Semaglutide	1.340mg/1.000ml	NA	NA	0	0	0	0	0	1	0	0	0
12876641000033114	36471111000001106	Ozempic 0.5mg/0.37ml solution for injection 1.5ml pre-filled pens (Novo Nordisk Ltd)	Ozempic 0.5mg/0.37ml solution for injection 1.5ml pre-filled pens	Solution for injection	Subcutaneous	Semaglutide	1.340mg/1.000ml	NA	NA	0	0	0	0	0	1	0	0	0
12880941000033111	36529511000001109	Ertugliflozin 5mg tablets	Ertugliflozin 5mg tablets	Tablet	Oral	Ertugliflozin L-pyroglutamic acid	5.000mg	NA	NA	0	0	0	0	0	0	0	0	1
12881041000033118	36529411000001105	Ertugliflozin 15mg tablets	Ertugliflozin 15mg tablets	Tablet	Oral	Ertugliflozin L-pyroglutamic acid	15.000mg	NA	NA	0	0	0	0	0	0	0	0	1
12881141000033119	36514811000001101	Steglatro 5mg tablets (Merck Sharp & Dohme Ltd)	Steglatro 5mg tablets	Tablet	Oral	Ertugliflozin L-pyroglutamic acid	5.000mg	NA	NA	0	0	0	0	0	0	0	0	1
12881241000033114	36515111000001107	Steglatro 15mg tablets (Merck Sharp & Dohme Ltd)	Steglatro 15mg tablets	Tablet	Oral	Ertugliflozin L-pyroglutamic acid	15.000mg	NA	NA	0	0	0	0	0	0	0	0	1
12902541000033110	36620611000001107	Suliqua 100units/ml / 33micrograms/ml solution for injection 3ml pre-filled SoloStar pens (Sanofi)	Suliqua 100units/ml / 33micrograms/ml solution for injection 3ml pre-filled SoloStar pens	Solution for injection	Subcutaneous	Insulin glargine/ Lixisenatide	100.000unit/1.000ml + 33.000microgram/1.000ml	NA	NA	1	0	0	0	0	1	0	0	0
12902641000033111	36618311000001109	Suliqua 100units/ml / 50micrograms/ml solution for injection 3ml pre-filled SoloStar pens (Sanofi)	Suliqua 100units/ml / 50micrograms/ml solution for injection 3ml pre-filled SoloStar pens	Solution for injection	Subcutaneous	Insulin glargine/ Lixisenatide	100.000unit/1.000ml + 50.000microgram/1.000ml	NA	NA	1	0	0	0	0	1	0	0	0
12902741000033119	36630511000001105	Insulin glargine 100units/ml / Lixisenatide 33micrograms/ml solution for injection 3ml pre-filled disposable devices	Insulin glargine 100units/ml / Lixisenatide 33micrograms/ml solution for injection 3ml pre-filled disposable devices	Solution for injection	Subcutaneous	Insulin glargine/ Lixisenatide	100.000unit/1.000ml + 33.000microgram/1.000ml	NA	NA	0	0	0	0	0	1	0	0	0
12902841000033112	36630611000001109	Insulin glargine 100units/ml / Lixisenatide 50micrograms/ml solution for injection 3ml pre-filled disposable devices	Insulin glargine 100units/ml / Lixisenatide 50micrograms/ml solution for injection 3ml pre-filled disposable devices	Solution for injection	Subcutaneous	Insulin glargine/ Lixisenatide	100.000unit/1.000ml + 50.000microgram/1.000ml	NA	NA	0	0	0	0	0	1	0	0	0
12998941000033116	36914911000001102	Gliclazide 160mg tablets	Gliclazide 160mg tablets	Tablet	Oral	Gliclazide	160.000mg	NA	NA	0	0	1	0	0	0	0	0	0
12999041000033113	36910511000001100	Glydex 160mg tablets (Medreich Plc)	Glydex 160mg tablets	Tablet	Oral	Gliclazide	160.000mg	NA	NA	0	0	1	0	0	0	0	0	0
13116741000033112	37280311000001109	Empagliflozin 10mg / Linagliptin 5mg tablets	Empagliflozin 10mg / Linagliptin 5mg tablets	Tablet	Oral	Empagliflozin/ Linagliptin	10.000mg + 5.000mg	NA	NA	0	0	0	1	0	0	0	0	1
13116841000033119	37280511000001103	Empagliflozin 25mg / Linagliptin 5mg tablets	Empagliflozin 25mg / Linagliptin 5mg tablets	Tablet	Oral	Empagliflozin/ Linagliptin	25.000mg + 5.000mg	NA	NA	0	0	0	1	0	0	0	0	1
13116941000033110	37225211000001100	Glyxambi 10mg/5mg tablets (Boehringer Ingelheim Ltd)	Glyxambi 10mg/5mg tablets	Tablet	Oral	Empagliflozin/ Linagliptin	10.000mg + 5.000mg	NA	NA	0	0	0	1	0	0	0	0	1
13117041000033111	37225511000001102	Glyxambi 25mg/5mg tablets (Boehringer Ingelheim Ltd)	Glyxambi 25mg/5mg tablets	Tablet	Oral	Empagliflozin/ Linagliptin	25.000mg + 5.000mg	NA	NA	0	0	0	1	0	0	0	0	1
13122541000033112	37405911000001104	Glibenclamide 600micrograms/ml oral suspension sugar free	Glibenclamide 600micrograms/ml oral suspension sugar free	Oral suspension	Oral	Glibenclamide	600.000microgram/1.000ml	NA	NA	0	0	1	0	0	0	0	0	0
13122641000033113	37406011000001107	Glibenclamide 6mg/ml oral suspension sugar free	Glibenclamide 6mg/ml oral suspension sugar free	Oral suspension	Oral	Glibenclamide	6.000mg/1.000ml	NA	NA	0	0	1	0	0	0	0	0	0
13122741000033116	37337011000001106	Amglidia 0.6mg/ml oral suspension with 1ml oral syringe (Amring Pharmaceuticals Ltd)	Amglidia 0.6mg/ml oral suspension with 1ml oral syringe	Oral suspension	Oral	Glibenclamide	600.000microgram/1.000ml	NA	NA	0	0	1	0	0	0	0	0	0
13122841000033114	37337211000001101	Amglidia 0.6mg/ml oral suspension with 5ml oral syringe (Amring Pharmaceuticals Ltd)	Amglidia 0.6mg/ml oral suspension with 5ml oral syringe	Oral suspension	Oral	Glibenclamide	600.000microgram/1.000ml	NA	NA	0	0	1	0	0	0	0	0	0
13122941000033118	37337511000001103	Amglidia 6mg/ml oral suspension with 1ml oral syringe (Amring Pharmaceuticals Ltd)	Amglidia 6mg/ml oral suspension with 1ml oral syringe	Oral suspension	Oral	Glibenclamide	6.000mg/1.000ml	NA	NA	0	0	1	0	0	0	0	0	0
13123041000033111	37337711000001108	Amglidia 6mg/ml oral suspension with 5ml oral syringe (Amring Pharmaceuticals Ltd)	Amglidia 6mg/ml oral suspension with 5ml oral syringe	Oral suspension	Oral	Glibenclamide	6.000mg/1.000ml	NA	NA	0	0	1	0	0	0	0	0	0
13345241000033110	38018211000001100	Lamzarin 30mg modified-release tablets (Key Pharmaceuticals Ltd)	Lamzarin 30mg modified-release tablets	Modified-release tablet	Oral	Gliclazide	30.000mg	NA	NA	0	0	1	0	0	0	0	0	0
13345341000033117	38018511000001102	Lamzarin 60mg modified-release tablets (Key Pharmaceuticals Ltd)	Lamzarin 60mg modified-release tablets	Modified-release tablet	Oral	Gliclazide	60.000mg	NA	NA	0	0	1	0	0	0	0	0	0
13427341000033118	28440211000001102	Exenatide 2mg powder and solvent for prolonged-release suspension for injection pre-filled disposable devices	Exenatide 2mg powder and solvent for prolonged-release suspension for injection pre-filled disposable devices	Powder and solvent for prolonged-release suspension for inj	Subcutaneous	Exenatide	2.000mg	6010203	NA	0	0	0	0	0	1	0	0	0
13427441000033112	28426011000001108	Bydureon 2mg powder and solvent for prolonged-release suspension for injection pre-filled pens (AstraZeneca UK Ltd)	Bydureon 2mg powder and solvent for prolonged-release suspension for injection pre-filled pens	Powder and solvent for prolonged-release suspension for inj	Subcutaneous	Exenatide	2.000mg	6010203	NA	0	0	0	0	0	1	0	0	0
13427541000033113	38082811000001104	Exenatide 2mg/0.85ml prolonged-release suspension for injection pre-filled disposable devices	Exenatide 2mg/0.85ml prolonged-release suspension for injection pre-filled disposable devices	Prolonged-release suspension for injection	Subcutaneous	Exenatide	2.353mg/1.000ml	NA	NA	0	0	0	0	0	1	0	0	0
13427641000033114	38060511000001101	Bydureon BCise 2mg/0.85ml prolonged-release suspension for injection pre-filled pens (AstraZeneca UK Ltd)	Bydureon BCise 2mg/0.85ml prolonged-release suspension for injection pre-filled pens	Prolonged-release suspension for injection	Subcutaneous	Exenatide	2.353mg/1.000ml	NA	NA	0	0	0	0	0	1	0	0	0
13429041000033112	38238111000001109	Sukkarto SR 750mg tablets (Morningside Healthcare Ltd)	Sukkarto SR 750mg tablets	Modified-release tablet	Oral	Metformin hydrochloride	750.000mg	NA	NA	0	0	0	0	1	0	0	0	0
1450941000033113	325267004	Tolbutamide 500mg tablets	Tolbutamide 500mg tablets	Tablet	Oral	Tolbutamide	500.000mg	6010201	NA	0	0	1	0	0	0	0	0	0
1452241000033117	NA	Tolanase Tablets 100 mg	Tolanase Tablets 100 mg	NA	NA	NA	NA	NA	NA	0	0	1	0	0	0	0	0	0
1452341000033110	NA	Tolanase Tablets 250 mg	Tolanase Tablets 250 mg	NA	NA	NA	NA	NA	NA	0	0	1	0	0	0	0	0	0
1452741000033111	NA	Tolazamide Tablets 100 mg	Tolazamide Tablets 100 mg	NA	NA	NA	NA	NA	NA	0	0	1	0	0	0	0	0	0
1452841000033118	NA	Tolazamide Tablets 250 mg	Tolazamide Tablets 250 mg	NA	NA	NA	NA	NA	NA	0	0	1	0	0	0	0	0	0
1472141000033110	NA	Troglitazone Tablets 200 mg	Troglitazone Tablets 200 mg	NA	NA	NA	NA	NA	NA	0	1	0	0	0	0	0	0	0
1472241000033115	NA	Troglitazone Tablets 300 mg	Troglitazone Tablets 300 mg	NA	NA	NA	NA	NA	NA	0	1	0	0	0	0	0	0	0
1472341000033113	NA	Troglitazone Tablets 400 mg	Troglitazone Tablets 400 mg	NA	NA	NA	NA	NA	NA	0	1	0	0	0	0	0	0	0
1602941000033117	49111000001103	Diaglyk 80mg tablets (Ashbourne Pharmaceuticals Ltd)	Diaglyk 80mg tablets	Tablet	Oral	Gliclazide	80.000mg	6010201	NA	0	0	1	0	0	0	0	0	0
1659941000033116	152311000001101	NovoNorm 500microgram tablets (Novo Nordisk Ltd)	NovoNorm 500microgram tablets	Tablet	Oral	Repaglinide	500.000microgram	NA	NA	0	0	0	0	0	0	1	0	0
1660041000033118	494111000001103	NovoNorm 1mg tablets (Novo Nordisk Ltd)	NovoNorm 1mg tablets	Tablet	Oral	Repaglinide	1.000mg	NA	NA	0	0	0	0	0	0	1	0	0
1660141000033119	840811000001100	NovoNorm 2mg tablets (Novo Nordisk Ltd)	NovoNorm 2mg tablets	Tablet	Oral	Repaglinide	2.000mg	NA	NA	0	0	0	0	0	0	1	0	0
1672741000033112	326048000	Repaglinide 1mg tablets	Repaglinide 1mg tablets	Tablet	Oral	Repaglinide	1.000mg	6010203	NA	0	0	0	0	0	0	1	0	0
1672841000033119	326049008	Repaglinide 2mg tablets	Repaglinide 2mg tablets	Tablet	Oral	Repaglinide	2.000mg	6010203	NA	0	0	0	0	0	0	1	0	0
1672941000033110	326047005	Repaglinide 500microgram tablets	Repaglinide 500microgram tablets	Tablet	Oral	Repaglinide	500.000microgram	6010203	NA	0	0	0	0	0	0	1	0	0
209341000033112	NA	Calabren Tablets 2.5 mg	Calabren Tablets 2.5 mg	NA	NA	NA	NA	NA	NA	0	0	1	0	0	0	0	0	0
2147541000033115	326057006	Rosiglitazone 4mg tablets	Rosiglitazone 4mg tablets	Tablet	Oral	Rosiglitazone maleate	4.000mg	NA	NA	0	1	0	0	0	0	0	0	0
2147641000033119	326056002	Rosiglitazone 8mg tablets	Rosiglitazone 8mg tablets	Tablet	Oral	Rosiglitazone maleate	8.000mg	NA	NA	0	1	0	0	0	0	0	0	0
2147741000033111	922211000001106	Avandia 4mg tablets (GlaxoSmithKline UK Ltd)	Avandia 4mg tablets	Tablet	Oral	Rosiglitazone maleate	4.000mg	NA	NA	0	1	0	0	0	0	0	0	0
2147841000033118	270611000001105	Avandia 8mg tablets (GlaxoSmithKline UK Ltd)	Avandia 8mg tablets	Tablet	Oral	Rosiglitazone maleate	8.000mg	NA	NA	0	1	0	0	0	0	0	0	0
218441000033114	NA	Calabren Tablets 5 mg	Calabren Tablets 5 mg	NA	NA	NA	NA	NA	NA	0	0	1	0	0	0	0	0	0
2190741000033115	326062007	Pioglitazone 15mg tablets	Pioglitazone 15mg tablets	Tablet	Oral	Pioglitazone hydrochloride	15.000mg	6010203	NA	0	1	0	0	0	0	0	0	0
2190841000033113	326061000	Pioglitazone 30mg tablets	Pioglitazone 30mg tablets	Tablet	Oral	Pioglitazone hydrochloride	30.000mg	6010203	NA	0	1	0	0	0	0	0	0	0
2190941000033117	58011000001106	Actos 15mg tablets (Takeda UK Ltd)	Actos 15mg tablets	Tablet	Oral	Pioglitazone hydrochloride	15.000mg	6010203	NA	0	1	0	0	0	0	0	0	0
2191041000033110	446711000001101	Actos 30mg tablets (Takeda UK Ltd)	Actos 30mg tablets	Tablet	Oral	Pioglitazone hydrochloride	30.000mg	6010203	NA	0	1	0	0	0	0	0	0	0
2288241000033112	134610002	Nateglinide 60mg tablets	Nateglinide 60mg tablets	Tablet	Oral	Nateglinide	60.000mg	6010203	NA	0	0	0	0	0	0	1	0	0
2288341000033119	134609007	Nateglinide 120mg tablets	Nateglinide 120mg tablets	Tablet	Oral	Nateglinide	120.000mg	6010203	NA	0	0	0	0	0	0	1	0	0
2288441000033113	134608004	Nateglinide 180mg tablets	Nateglinide 180mg tablets	Tablet	Oral	Nateglinide	180.000mg	6010203	NA	0	0	0	0	0	0	1	0	0
2288541000033114	3650611000001102	Starlix 60mg tablets (Novartis Pharmaceuticals UK Ltd)	Starlix 60mg tablets	Tablet	Oral	Nateglinide	60.000mg	6010203	NA	0	0	0	0	0	0	1	0	0
2288641000033110	3651211000001105	Starlix 120mg tablets (Novartis Pharmaceuticals UK Ltd)	Starlix 120mg tablets	Tablet	Oral	Nateglinide	120.000mg	6010203	NA	0	0	0	0	0	0	1	0	0
2288741000033118	3883511000001107	Starlix 180mg tablets (Novartis Pharmaceuticals UK Ltd)	Starlix 180mg tablets	Tablet	Oral	Nateglinide	180.000mg	6010203	NA	0	0	0	0	0	0	1	0	0
