ProdCodeId	dmdid	Term.from.EMIS	ProductName	Formulation	RouteOfAdministration	DrugSubstanceName	SubstanceStrength	BNFChapter	Release	name	drug_substance
10673941000033110	13859411000001101	Insulin human 100units/ml solution for injection 10ml vials	Insulin human 100units/ml solution for injection 10ml vials	Solution for injection	Subcutaneous	Insulin human	100.000unit/1.000ml + 100.000unit/1.000ml			insulin	Bolus insulin
10674041000033112	18083911000001104	Insulin human 100units/ml solution for injection 3.15ml cartridges	Insulin human 100units/ml solution for injection 3.15ml cartridges	Solution for injection	Subcutaneous	Insulin human	100.000unit/1.000ml + 100.000unit/1.000ml			insulin	Bolus insulin
10674141000033111	18030311000001100	Insuman Infusat 100units/ml solution for injection 10ml vials (Sanofi)	Insuman Infusat 100units/ml solution for injection 10ml vials	Solution for injection	Subcutaneous	Insulin human	100.000unit/1.000ml + 100.000unit/1.000ml			insuman infusat	Bolus insulin
10674341000033114	18046311000001103	Insuman Infusat 100units/ml solution for injection 3.15ml cartridges (Sanofi)	Insuman Infusat 100units/ml solution for injection 3.15ml cartridges	Solution for injection	Subcutaneous	Insulin human	100.000unit/1.000ml + 100.000unit/1.000ml			insuman infusat	Bolus insulin
1119741000033114	36047911000001109	Insulin protamine zinc bovine 100units/ml suspension for injection 10ml vials	Insulin protamine zinc bovine 100units/ml suspension for injection 10ml vials	Suspension for injection	Subcutaneous	Insulin protamine zinc bovine	100.000unit/1.000ml + 100.000unit/1.000ml	6010102		protamine zinc	Basal insulin
1148141000033110		Quicksol (Boots) Injection 100 units/ml	Quicksol (Boots) Injection 100 units/ml							quicksol	Bolus insulin
11493341000033110		Actraphane Hm (Ge) Suspension For Injection 100 units/ml, 10 ml vial	Actraphane Hm (Ge) Suspension For Injection 100 units/ml, 10 ml vial							actraphane	Intermediate insulin
1152741000033110		Rapitard Mc (Novo) Injection 100 units/ml	Rapitard Mc (Novo) Injection 100 units/ml							rapitard mc	Intermediate insulin
12186441000033111	34043411000001102	Fiasp 100units/ml solution for injection 10ml vials (Novo Nordisk Ltd)	Fiasp 100units/ml solution for injection 10ml vials	Solution for injection	Intravenous/ Subcutaneous	Insulin aspart	100.000unit/1.000ml + 100.000unit/1.000ml	6010101		insulin aspart	Bolus insulin
12186541000033112	34043011000001106	Fiasp FlexTouch 100units/ml solution for injection 3ml pre-filled pens (Novo Nordisk Ltd)	Fiasp FlexTouch 100units/ml solution for injection 3ml pre-filled pens	Solution for injection	Subcutaneous	Insulin aspart	100.000unit/1.000ml + 100.000unit/1.000ml	6010101		insulin aspart	Bolus insulin
12186641000033113	34043211000001101	Fiasp Penfill 100units/ml solution for injection 3ml cartridges (Novo Nordisk Ltd)	Fiasp Penfill 100units/ml solution for injection 3ml cartridges	Solution for injection	Subcutaneous	Insulin aspart	100.000unit/1.000ml + 100.000unit/1.000ml	6010101		insulin aspart	Bolus insulin
12481641000033115	35214311000001104	Humulin R KwikPen 500units/ml solution for injection 3ml pre-filled pens (Imported (United States))	Humulin R KwikPen 500units/ml solution for injection 3ml pre-filled pens	Solution for injection		Insulin human	500.000unit/1.000ml + 500.000unit/1.000ml			humulin r	Bolus insulin
12486241000033111	35216811000001101	Humalog Junior KwikPen 100units/ml solution for injection 3ml pre-filled pens (Eli Lilly and Company Ltd)	Humalog Junior KwikPen 100units/ml solution for injection 3ml pre-filled pens	Solution for injection	Subcutaneous	Insulin lispro	100.000unit/1.000ml + 100.000unit/1.000ml			lispro	Bolus insulin
12600741000033116	35776411000001102	Insulin lispro Sanofi 100units/ml solution for injection 10ml vials (Sanofi)	Insulin lispro Sanofi 100units/ml solution for injection 10ml vials	Solution for injection	Subcutaneous/ Intramuscular/ Intravenous	Insulin lispro	100.000unit/1.000ml + 100.000unit/1.000ml			lispro	Bolus insulin
12600841000033114	35776511000001103	Insulin lispro Sanofi 100units/ml solution for injection 3ml cartridges (Sanofi)	Insulin lispro Sanofi 100units/ml solution for injection 3ml cartridges	Solution for injection	Subcutaneous/ Intramuscular/ Intravenous	Insulin lispro	100.000unit/1.000ml + 100.000unit/1.000ml			lispro	Bolus insulin
12600941000033118	35776811000001100	Insulin lispro Sanofi 100units/ml solution for injection 3ml pre-filled pens (Sanofi)	Insulin lispro Sanofi 100units/ml solution for injection 3ml pre-filled pens	Solution for injection	Intramuscular/ Subcutaneous/ Intravenous	Insulin lispro	100.000unit/1.000ml + 100.000unit/1.000ml			lispro	Bolus insulin
12624241000033111	36048711000001108	Insulin soluble porcine 100units/ml solution for injection 10ml vials	Insulin soluble porcine 100units/ml solution for injection 10ml vials	Solution for injection	Intravenous/ Subcutaneous/ Intramuscular	Insulin soluble porcine	100.000unit/1.000ml + 100.000unit/1.000ml	6010300		insulin	Bolus insulin
12686641000033112	36082811000001107	Semglee 100units/ml solution for injection 3ml pre-filled pens (Mylan)	Semglee 100units/ml solution for injection 3ml pre-filled pens	Solution for injection	Subcutaneous	Insulin glargine	100.000unit/1.000ml + 100.000unit/1.000ml			glargine	Basal insulin
1271241000033110		Semitard Mc (Novo) Injection 100 units/ml	Semitard Mc (Novo) Injection 100 units/ml							semitard mc	Intermediate insulin
12902541000033110	36620611000001107	Suliqua 100units/ml / 33micrograms/ml solution for injection 3ml pre-filled SoloStar pens (Sanofi)	Suliqua 100units/ml / 33micrograms/ml solution for injection 3ml pre-filled SoloStar pens	Solution for injection	Subcutaneous	Insulin glargine/ Lixisenatide	100.000unit/1.000ml + 100.000unit/1.000ml + 33.000microgram/1.000ml			glargine	Basal insulin
12902641000033111	36618311000001109	Suliqua 100units/ml / 50micrograms/ml solution for injection 3ml pre-filled SoloStar pens (Sanofi)	Suliqua 100units/ml / 50micrograms/ml solution for injection 3ml pre-filled SoloStar pens	Solution for injection	Subcutaneous	Insulin glargine/ Lixisenatide	100.000unit/1.000ml + 100.000unit/1.000ml + 50.000microgram/1.000ml			glargine	Basal insulin
12902741000033119	36630511000001105	Insulin glargine 100units/ml / Lixisenatide 33micrograms/ml solution for injection 3ml pre-filled disposable devices	Insulin glargine 100units/ml / Lixisenatide 33micrograms/ml solution for injection 3ml pre-filled disposable devices	Solution for injection	Subcutaneous	Insulin glargine/ Lixisenatide	100.000unit/1.000ml + 100.000unit/1.000ml + 33.000microgram/1.000ml			glargine	Basal insulin
12902841000033112	36630611000001109	Insulin glargine 100units/ml / Lixisenatide 50micrograms/ml solution for injection 3ml pre-filled disposable devices	Insulin glargine 100units/ml / Lixisenatide 50micrograms/ml solution for injection 3ml pre-filled disposable devices	Solution for injection	Subcutaneous	Insulin glargine/ Lixisenatide	100.000unit/1.000ml + 100.000unit/1.000ml + 50.000microgram/1.000ml			glargine	Basal insulin
12998741000033119	36931811000001104	Insulin glargine 300units/ml solution for injection 3ml pre-filled disposable devices	Insulin glargine 300units/ml solution for injection 3ml pre-filled disposable devices	Solution for injection	Subcutaneous	Insulin glargine	300.000unit/1.000ml + 300.000unit/1.000ml			glargine	Basal insulin
12998841000033112	36911311000001101	Toujeo 300units/ml solution for injection 3ml pre-filled DoubleStar pens (Sanofi)	Toujeo 300units/ml solution for injection 3ml pre-filled DoubleStar pens	Solution for injection	Subcutaneous	Insulin glargine	300.000unit/1.000ml + 300.000unit/1.000ml			glargine	Basal insulin
13604741000033119	38479611000001109	Lyumjev Junior KwikPen 100units/ml solution for injection 3ml pre-filled pens (Eli Lilly and Company Ltd)	Lyumjev Junior KwikPen 100units/ml solution for injection 3ml pre-filled pens	Solution for injection	Subcutaneous	Insulin lispro	100.000unit/1.000ml + 100.000unit/1.000ml			lispro	Bolus insulin
13604841000033112	38465811000001104	Lyumjev KwikPen 100units/ml solution for injection 3ml pre-filled pens (Eli Lilly and Company Ltd)	Lyumjev KwikPen 100units/ml solution for injection 3ml pre-filled pens	Solution for injection	Subcutaneous	Insulin lispro	100.000unit/1.000ml + 100.000unit/1.000ml			lispro	Bolus insulin
13604941000033116	38501011000001104	Lyumjev KwikPen 200units/ml solution for injection 3ml pre-filled pens (Eli Lilly and Company Ltd)	Lyumjev KwikPen 200units/ml solution for injection 3ml pre-filled pens	Solution for injection	Subcutaneous	Insulin lispro	200.000unit/1.000ml + 200.000unit/1.000ml			lispro	Bolus insulin
13605041000033116	38456111000001107	Lyumjev 100units/ml solution for injection 3ml cartridges (Eli Lilly and Company Ltd)	Lyumjev 100units/ml solution for injection 3ml cartridges	Solution for injection	Subcutaneous	Insulin lispro	100.000unit/1.000ml + 100.000unit/1.000ml			lispro	Bolus insulin
13605141000033117	38456911000001105	Lyumjev 100units/ml solution for injection 10ml vials (Eli Lilly and Company Ltd)	Lyumjev 100units/ml solution for injection 10ml vials	Solution for injection	Subcutaneous/ Intravenous	Insulin lispro	100.000unit/1.000ml + 100.000unit/1.000ml			lispro	Bolus insulin
1419541000033119		Tempulin (Boots) Injection 100 units/ml	Tempulin (Boots) Injection 100 units/ml							tempulin	Basal insulin
148841000033116		Biphasic Insulin Injection 100 units/ml	Biphasic Insulin Injection 100 units/ml							biphasic	Intermediate insulin
1507441000033119		Human Velosulin Injection 100 u/ml	Human Velosulin Injection 100 u/ml							velosulin	Bolus insulin
1508341000033112		Pork Velosulin Injection 100 units/ml	Pork Velosulin Injection 100 units/ml							velosulin	Bolus insulin
1508441000033118		Velosulin Cartridge (Nordisk Wellcome) Injection 100 units/ml	Velosulin Cartridge (Nordisk Wellcome) Injection 100 units/ml							velosulin	Bolus insulin
1615941000033113	3264211000001104	Humulin I 100units/ml suspension for injection 3ml cartridges (Eli Lilly and Company Ltd)	Humulin I 100units/ml suspension for injection 3ml cartridges	Suspension for injection	Subcutaneous	Insulin isophane human	100.000unit/1.000ml + 100.000unit/1.000ml	6010102		isophane	Intermediate insulin
1616041000033115	3311311000001101	Humulin S 100units/ml solution for injection 3ml cartridges (Eli Lilly and Company Ltd)	Humulin S 100units/ml solution for injection 3ml cartridges	Solution for injection	Subcutaneous/ Intravenous	Insulin soluble human	100.000unit/1.000ml + 100.000unit/1.000ml	6010101		humulin s	Bolus insulin
1616141000033116		Humulin M1 Cartridges (3 Ml)	Humulin M1 Cartridges (3 Ml)							humulin m	Intermediate insulin
1616241000033111	3263611000001100	Humulin M2 100units/ml suspension for injection 3ml cartridges (Eli Lilly and Company Ltd)	Humulin M2 100units/ml suspension for injection 3ml cartridges	Suspension for injection	Subcutaneous	Insulin isophane human/ Insulin soluble human	80.000unit/1.000ml + 80.000unit/1.000ml + 20.000unit/1.000ml + 20.000unit/1.000ml			isophane	Intermediate insulin
1616341000033118	3273611000001105	Humulin M3 100units/ml suspension for injection 3ml cartridges (Eli Lilly and Company Ltd)	Humulin M3 100units/ml suspension for injection 3ml cartridges	Suspension for injection	Subcutaneous	Insulin isophane human/ Insulin soluble human	70.000unit/1.000ml + 70.000unit/1.000ml + 30.000unit/1.000ml + 30.000unit/1.000ml	6010102		isophane	Intermediate insulin
1616441000033112		Humulin M4 Cartridges (3 Ml)	Humulin M4 Cartridges (3 Ml)							humulin m	Intermediate insulin
1620641000033115		Isophane Insulin (Human Pyr) Injection 100 units/ml, 10 ml vial	Isophane Insulin (Human Pyr) Injection 100 units/ml, 10 ml vial							isophane	Intermediate insulin
1621141000033118		Isophane Insulin (Human Pyr) Penfill Cartridges (1.5 Ml) 100 units/ml	Isophane Insulin (Human Pyr) Penfill Cartridges (1.5 Ml) 100 units/ml							isophane	Intermediate insulin
1621241000033113		Isophane Insulin (Human Pyr) Penfill cartridges (3 ml) 100 units/ml	Isophane Insulin (Human Pyr) Penfill cartridges (3 ml) 100 units/ml							isophane	Intermediate insulin
1621341000033115		Isophane Insulin (Human Pyr) Preloaded pen 100 units/ml	Isophane Insulin (Human Pyr) Preloaded pen 100 units/ml							isophane	Intermediate insulin
1714041000033116	3259411000001107	Human Insulatard Penfill 100units/ml suspension for injection 1.5ml cartridges (Novo Nordisk Ltd)	Human Insulatard Penfill 100units/ml suspension for injection 1.5ml cartridges	Suspension for injection	Subcutaneous	Insulin isophane human	100.000unit/1.000ml + 100.000unit/1.000ml	6010102		isophane	Intermediate insulin
1736841000033114	3284311000001105	Humalog 100units/ml solution for injection 3ml cartridges (Eli Lilly and Company Ltd)	Humalog 100units/ml solution for injection 3ml cartridges	Solution for injection	Intravenous/ Intramuscular/ Subcutaneous	Insulin lispro	100.000unit/1.000ml + 100.000unit/1.000ml	6010101		lispro	Bolus insulin
1736941000033118	3275711000001100	Humalog Mix25 100units/ml suspension for injection 3ml cartridges (Eli Lilly and Company Ltd)	Humalog Mix25 100units/ml suspension for injection 3ml cartridges	Suspension for injection	Subcutaneous	Insulin lispro/ Insulin lispro protamine	25.000unit/1.000ml + 25.000unit/1.000ml + 75.000unit/1.000ml + 75.000unit/1.000ml	6010102		lispro	Bolus insulin
1737041000033117	5268611000001103	Humalog Mix25 Pen 100units/ml suspension for injection 3ml pre-filled pens (Waymade Healthcare Plc)	Humalog Mix25 Pen 100units/ml suspension for injection 3ml pre-filled pens	Suspension for injection	Subcutaneous	Insulin lispro/ Insulin lispro protamine	25.000unit/1.000ml + 25.000unit/1.000ml + 75.000unit/1.000ml + 75.000unit/1.000ml			lispro	Bolus insulin
1739941000033110	36047711000001107	Insulin lispro 100units/ml solution for injection 3ml cartridges	Insulin lispro 100units/ml solution for injection 3ml cartridges	Solution for injection	Intramuscular/ Subcutaneous/ Intravenous	Insulin lispro	100.000unit/1.000ml + 100.000unit/1.000ml	6010101		lispro	Bolus insulin
1749441000033116	3285611000001104	Pork Actrapid 100units/ml solution for injection 10ml vials (Novo Nordisk Ltd)	Pork Actrapid 100units/ml solution for injection 10ml vials	Solution for injection	Intramuscular/ Subcutaneous/ Intravenous	Insulin soluble porcine	100.000unit/1.000ml + 100.000unit/1.000ml			actrapid	Bolus insulin
1818141000033110	3268711000001103	Human Mixtard 10 Penfill 100units/ml suspension for injection 1.5ml cartridges (Novo Nordisk Ltd)	Human Mixtard 10 Penfill 100units/ml suspension for injection 1.5ml cartridges	Suspension for injection	Subcutaneous	Insulin isophane human/ Insulin soluble human	90.000unit/1.000ml + 90.000unit/1.000ml + 10.000unit/1.000ml + 10.000unit/1.000ml			isophane	Intermediate insulin
1818241000033115	3267811000001107	Human Mixtard 20 Penfill 100units/ml suspension for injection 1.5ml cartridges (Novo Nordisk Ltd)	Human Mixtard 20 Penfill 100units/ml suspension for injection 1.5ml cartridges	Suspension for injection	Subcutaneous	Insulin isophane human/ Insulin soluble human	80.000unit/1.000ml + 80.000unit/1.000ml + 20.000unit/1.000ml + 20.000unit/1.000ml			isophane	Intermediate insulin
1818341000033113	3275311000001104	Human Mixtard 30 Penfill 100units/ml suspension for injection 1.5ml cartridges (Novo Nordisk Ltd)	Human Mixtard 30 Penfill 100units/ml suspension for injection 1.5ml cartridges	Suspension for injection	Subcutaneous	Insulin isophane human/ Insulin soluble human	70.000unit/1.000ml + 70.000unit/1.000ml + 30.000unit/1.000ml + 30.000unit/1.000ml			isophane	Intermediate insulin
1818441000033119	3285511000001103	Human Mixtard 40 Penfill 100units/ml suspension for injection 1.5ml cartridges (Novo Nordisk Ltd)	Human Mixtard 40 Penfill 100units/ml suspension for injection 1.5ml cartridges	Suspension for injection	Subcutaneous	Insulin isophane human/ Insulin soluble human	60.000unit/1.000ml + 60.000unit/1.000ml + 40.000unit/1.000ml + 40.000unit/1.000ml			isophane	Intermediate insulin
1818541000033118	3273411000001107	Human Mixtard 50 Penfill 100units/ml suspension for injection 1.5ml cartridges (Novo Nordisk Ltd)	Human Mixtard 50 Penfill 100units/ml suspension for injection 1.5ml cartridges	Suspension for injection	Subcutaneous	Insulin isophane human/ Insulin soluble human	50.000unit/1.000ml + 50.000unit/1.000ml + 50.000unit/1.000ml + 50.000unit/1.000ml			isophane	Intermediate insulin
1821441000033116	3473011000001104	Insulin isophane porcine 100units/ml suspension for injection 10ml vials	Insulin isophane porcine 100units/ml suspension for injection 10ml vials	Suspension for injection	Intramuscular/ Subcutaneous	Insulin isophane porcine	100.000unit/1.000ml + 100.000unit/1.000ml	6010102		isophane	Intermediate insulin
1821541000033115	4053611000001100	Insulin isophane porcine 100units/ml suspension for injection 3ml cartridges	Insulin isophane porcine 100units/ml suspension for injection 3ml cartridges	Suspension for injection	Subcutaneous/ Intramuscular	Insulin isophane porcine	100.000unit/1.000ml + 100.000unit/1.000ml	6010102		isophane	Intermediate insulin
1821641000033119	3472311000001106	Insulin isophane bovine 100units/ml suspension for injection 10ml vials	Insulin isophane bovine 100units/ml suspension for injection 10ml vials	Suspension for injection	Intramuscular/ Subcutaneous	Insulin isophane bovine	100.000unit/1.000ml + 100.000unit/1.000ml	6010102		isophane	Intermediate insulin
1821741000033111	4033211000001103	Insulin isophane bovine 100units/ml suspension for injection 3ml cartridges	Insulin isophane bovine 100units/ml suspension for injection 3ml cartridges	Suspension for injection	Intramuscular/ Subcutaneous	Insulin isophane bovine	100.000unit/1.000ml + 100.000unit/1.000ml	6010102		isophane	Intermediate insulin
1861941000033119	36047011000001105	Insulin aspart 100units/ml solution for injection 10ml vials	Insulin aspart 100units/ml solution for injection 10ml vials	Solution for injection	Intravenous/ Subcutaneous	Insulin aspart	100.000unit/1.000ml + 100.000unit/1.000ml	6010101		insulin aspart	Bolus insulin
1862041000033113	3468611000001108	Insulin aspart 100units/ml solution for injection 3ml cartridges	Insulin aspart 100units/ml solution for injection 3ml cartridges	Solution for injection	Subcutaneous/ Intravenous	Insulin aspart	100.000unit/1.000ml + 100.000unit/1.000ml	6010101		insulin aspart	Bolus insulin
1862141000033112		Insulin Aspart Prefilled syringes 100 units/ml	Insulin Aspart Prefilled syringes 100 units/ml							insulin aspart	Bolus insulin
1862241000033117	3280711000001103	NovoRapid 100units/ml solution for injection 10ml vials (Novo Nordisk Ltd)	NovoRapid 100units/ml solution for injection 10ml vials	Solution for injection	Intravenous/ Subcutaneous	Insulin aspart	100.000unit/1.000ml + 100.000unit/1.000ml	6010101		insulin aspart	Bolus insulin
1862341000033110	3279211000001105	NovoRapid Penfill 100units/ml solution for injection 3ml cartridges (Novo Nordisk Ltd)	NovoRapid Penfill 100units/ml solution for injection 3ml cartridges	Solution for injection	Subcutaneous	Insulin aspart	100.000unit/1.000ml + 100.000unit/1.000ml	6010101		insulin aspart	Bolus insulin
1862441000033116	3281611000001102	NovoRapid Novolet 100units/ml solution for injection (Novo Nordisk Ltd)	NovoRapid Novolet 100units/ml solution for injection	Solution for injection	Subcutaneous	Insulin aspart	100.000unit/1.000ml + 100.000unit/1.000ml	6010101		insulin aspart	Bolus insulin
2018841000033116	3266811000001105	Hypurin Porcine 30/70 Mix 100units/ml suspension for injection 10ml vials (Wockhardt UK Ltd)	Hypurin Porcine 30/70 Mix 100units/ml suspension for injection 10ml vials	Suspension for injection	Intramuscular/ Subcutaneous	Insulin isophane porcine/ Insulin soluble porcine	70.000unit/1.000ml + 70.000unit/1.000ml + 30.000unit/1.000ml + 30.000unit/1.000ml	6010102		isophane	Intermediate insulin
2018941000033112	3277711000001106	Hypurin Porcine 30/70 Mix 100units/ml suspension for injection 1.5ml cartridges (C P Pharmaceuticals Ltd)	Hypurin Porcine 30/70 Mix 100units/ml suspension for injection 1.5ml cartridges	Suspension for injection	Intramuscular/ Subcutaneous	Insulin isophane porcine/ Insulin soluble porcine	70.000unit/1.000ml + 70.000unit/1.000ml + 30.000unit/1.000ml + 30.000unit/1.000ml	6010102		isophane	Intermediate insulin
2034441000033116	3294911000001105	Insuman Rapid 100units/ml solution for injection 5ml vials (Aventis Pharma)	Insuman Rapid 100units/ml solution for injection 5ml vials	Solution for injection	Subcutaneous/ Intravenous	Insulin soluble human	100.000unit/1.000ml + 100.000unit/1.000ml			insuman rapid	Bolus insulin
2034641000033119	3311611000001106	Insuman Rapid 100units/ml solution for injection 3ml cartridges (Sanofi)	Insuman Rapid 100units/ml solution for injection 3ml cartridges	Solution for injection	Intravenous/ Subcutaneous	Insulin soluble human	100.000unit/1.000ml + 100.000unit/1.000ml	6010101		insuman rapid	Bolus insulin
2035241000033118	3258411000001104	Insuman Basal 100units/ml suspension for injection 5ml vials (Sanofi)	Insuman Basal 100units/ml suspension for injection 5ml vials	Suspension for injection	Subcutaneous	Insulin isophane human	100.000unit/1.000ml + 100.000unit/1.000ml	6010102		isophane	Basal insulin
2035441000033117	3265011000001108	Insuman Basal 100units/ml suspension for injection 3ml cartridges (Sanofi)	Insuman Basal 100units/ml suspension for injection 3ml cartridges	Suspension for injection	Subcutaneous	Insulin isophane human	100.000unit/1.000ml + 100.000unit/1.000ml	6010102		isophane	Basal insulin
2035541000033116	3263011000001107	Insuman Comb 25 100units/ml suspension for injection 5ml vials (Sanofi)	Insuman Comb 25 100units/ml suspension for injection 5ml vials	Suspension for injection	Subcutaneous	Insulin isophane human/ Insulin soluble human	75.000unit/1.000ml + 75.000unit/1.000ml + 25.000unit/1.000ml + 25.000unit/1.000ml	6010102		isophane	Intermediate insulin
2035641000033115	3264111000001105	Insuman Comb 25 100units/ml suspension for injection 3ml cartridges (Sanofi)	Insuman Comb 25 100units/ml suspension for injection 3ml cartridges	Suspension for injection	Subcutaneous	Insulin isophane human/ Insulin soluble human	75.000unit/1.000ml + 75.000unit/1.000ml + 25.000unit/1.000ml + 25.000unit/1.000ml	6010102		isophane	Intermediate insulin
2158441000033118	3271711000001102	Insuman Comb 15 100units/ml suspension for injection 5ml vials (Aventis Pharma)	Insuman Comb 15 100units/ml suspension for injection 5ml vials	Suspension for injection	Subcutaneous	Insulin isophane human/ Insulin soluble human	85.000unit/1.000ml + 85.000unit/1.000ml + 15.000unit/1.000ml + 15.000unit/1.000ml	6010102		isophane	Intermediate insulin
2158541000033117	3273911000001104	Insuman Comb 15 100units/ml suspension for injection 3ml cartridges (Sanofi)	Insuman Comb 15 100units/ml suspension for injection 3ml cartridges	Suspension for injection	Subcutaneous	Insulin isophane human/ Insulin soluble human	85.000unit/1.000ml + 85.000unit/1.000ml + 15.000unit/1.000ml + 15.000unit/1.000ml	6010102		isophane	Intermediate insulin
2158641000033116	3274511000001109	Insuman Comb 50 100units/ml suspension for injection 5ml vials (Aventis Pharma)	Insuman Comb 50 100units/ml suspension for injection 5ml vials	Suspension for injection	Subcutaneous	Insulin isophane human/ Insulin soluble human	50.000unit/1.000ml + 50.000unit/1.000ml + 50.000unit/1.000ml + 50.000unit/1.000ml	6010102		isophane	Intermediate insulin
2158741000033113	3272411000001103	Insuman Comb 50 100units/ml suspension for injection 3ml cartridges (Sanofi)	Insuman Comb 50 100units/ml suspension for injection 3ml cartridges	Suspension for injection	Subcutaneous	Insulin isophane human/ Insulin soluble human	50.000unit/1.000ml + 50.000unit/1.000ml + 50.000unit/1.000ml + 50.000unit/1.000ml	6010102		isophane	Intermediate insulin
2182141000033117	14248811000001102	Humalog Mix50 Pen 100units/ml suspension for injection 3ml pre-filled pens (Sigma Pharmaceuticals Plc)	Humalog Mix50 Pen 100units/ml suspension for injection 3ml pre-filled pens	Suspension for injection	Subcutaneous	Insulin lispro/ Insulin lispro protamine	50.000unit/1.000ml + 50.000unit/1.000ml + 50.000unit/1.000ml + 50.000unit/1.000ml			lispro	Bolus insulin
2182241000033112	36047811000001104	Insulin lispro 100units/ml solution for injection 3ml pre-filled disposable devices	Insulin lispro 100units/ml solution for injection 3ml pre-filled disposable devices	Solution for injection	Intravenous/ Subcutaneous/ Intramuscular	Insulin lispro	100.000unit/1.000ml + 100.000unit/1.000ml	6010101		lispro	Bolus insulin
2182341000033119	14249011000001103	Humalog Pen 100units/ml solution for injection 3ml pre-filled pens (Sigma Pharmaceuticals Plc)	Humalog Pen 100units/ml solution for injection 3ml pre-filled pens	Solution for injection	Intravenous/ Subcutaneous/ Intramuscular	Insulin lispro	100.000unit/1.000ml + 100.000unit/1.000ml			lispro	Bolus insulin
