medcodeid	term_medcode	category
4533361000006116	Drinker of hard liquor	AlcoholConsumptionLevel1
250332015	Beer drinker	AlcoholConsumptionLevel1
250333013	Drinks beer and spirits	AlcoholConsumptionLevel1
4533391000006112	Drinks beer and hard liquor	AlcoholConsumptionLevel1
250334019	Drinks wine	AlcoholConsumptionLevel1
47085011	Social drinker	AlcoholConsumptionLevel1
250340014	Alcohol intake within recommended sensible limits	AlcoholConsumptionLevel1
342320016	Light drinker	AlcoholConsumptionLevel1
4533141000006118	Alcohol intake	AlcoholConsumptionLevel1
4533171000006114	ETOH - Alcohol intake	AlcoholConsumptionLevel1
4533161000006119	Ethanol intake	AlcoholConsumptionLevel1
476411000006118	Alcohol consumption NOS	AlcoholConsumptionLevel1
4533151000006116	AI - Alcohol intake	AlcoholConsumptionLevel1
4533191000006110	Alcoholic drink intake	AlcoholConsumptionLevel1
1221271018	Alcohol consumption	AlcoholConsumptionLevel1
459715013	Pain in lymph nodes after alcohol consumption	AlcoholConsumptionLevel1
11929141000006119	Five-shot questionnaire on heavy drinking	AlcoholConsumptionLevel1
7301021000006114	Five shot questionnaire on heavy drinking	AlcoholConsumptionLevel1
240741000006114	Education about alcohol consumption	AlcoholConsumptionLevel1
936001000006111	Advice relating to alcohol consumption	AlcoholConsumptionLevel1
1724531000000116	Advised to abstain from alcohol consumption	AlcoholConsumptionLevel1
461292011	Screening for alcohol abuse	AlcoholConsumptionLevel1
379981000006116	[X]Evid alcoh invl determ by levl intox very sev alcoh intox	AlcoholConsumptionLevel1
2911271000006113	Acute alcoholism	AlcoholConsumptionLevel1
379971000006119	[X]Evid alch invl detrm by levl intox alch invl not oth spec	AlcoholConsumptionLevel1
380011000006110	[X]Evid alcoh invol determ by levl of intox mild alcoh intox	AlcoholConsumptionLevel1
2911291000006114	Acute alcohol intoxication	AlcoholConsumptionLevel1
380021000006119	[X]Evid alcoh invol detrm by pres alcoh in bld levl not spec	AlcoholConsumptionLevel1
2911301000006110	Drunk	AlcoholConsumptionLevel1
379991000006118	[X]Evid alcoh invol determ by level of intox mod alcoh intox	AlcoholConsumptionLevel1
380001000006112	[X]Evid alcoh invol determ by level of intox sev alcoh intox	AlcoholConsumptionLevel1
380031000006116	[X]Evid of alcohol involv determind by level of intoxication	AlcoholConsumptionLevel1
3024491000006118	Hangover	AlcoholConsumptionLevel1
3024501000006114	Hangover effect	AlcoholConsumptionLevel1
2502091000006118	Current drinker of alcohol	AlcoholConsumptionLevel1
2502081000006116	Drinks alcohol	AlcoholConsumptionLevel1
2502101000006112	Drinks	AlcoholConsumptionLevel1
2502061000006114	Current drinker	AlcoholConsumptionLevel1
2502071000006119	Alcohol user	AlcoholConsumptionLevel1
451082013	[V] Alcohol use	AlcoholConsumptionLevel1
4978261000006110	Isolated drinker	AlcoholConsumptionLevel1
4978271000006115	Lone drinker	AlcoholConsumptionLevel1
4978251000006113	Drinks alone	AlcoholConsumptionLevel1
4978281000006117	Drinks in company	AlcoholConsumptionLevel1
4978291000006119	Drinks with family	AlcoholConsumptionLevel1
4978321000006111	Drinks with friends	AlcoholConsumptionLevel1
4978331000006114	Drinks with work colleagues	AlcoholConsumptionLevel1
4978341000006116	Drinks with business associates	AlcoholConsumptionLevel1
4978351000006119	Drinks with acquaintances	AlcoholConsumptionLevel1
4978361000006117	Drinks with strangers	AlcoholConsumptionLevel1
4978021000006113	Hidden drinker	AlcoholConsumptionLevel1
4978011000006117	Secret drinker	AlcoholConsumptionLevel1
4978121000006114	Drinks at home	AlcoholConsumptionLevel1
4978131000006112	Home drinker	AlcoholConsumptionLevel1
4978431000006119	Weekend drinker	AlcoholConsumptionLevel1
4978161000006115	Park drinker	AlcoholConsumptionLevel1
4978511000006114	Habitual drinker	AlcoholConsumptionLevel1
4979021000006116	Ashamed of drinking	AlcoholConsumptionLevel1
2532935011	Alcohol questionnaire completed	AlcoholConsumptionLevel1
2692396019	Alcohol consumption screening test declined	AlcoholConsumptionLevel1
5547211000006112	ADS - Alcohol dependence scale	AlcoholConsumptionLevel1
5547201000006114	Alcohol dependence scale	AlcoholConsumptionLevel1
5556101000006115	SADD - Short alcohol dependence data	AlcoholConsumptionLevel1
5556091000006114	Short alcohol dependence data	AlcoholConsumptionLevel1
5566231000006110	Finding of alcohol in blood	AlcoholConsumptionLevel1
380081000006115	Finding of alcohol in blood	AlcoholConsumptionLevel1
1738421000000111	Lower risk drinking	AlcoholConsumptionLevel1
11928611000006119	FAST - Fast Alcohol Screening Test	AlcoholConsumptionLevel1
2437261000000112	Family wellbeing discussion about alcohol	AlcoholConsumptionLevel1
1590901000006110	Alcohol screen - alcohol use disorder identification test consumption questions completed	AlcoholConsumptionLevel1
1590881000006113	Alcohol screen - alcohol use disorder identification test completed	AlcoholConsumptionLevel1
622791000000112	Single alcohol screening questionnaire	AlcoholConsumptionLevel1
8107541000006115	SASQ - single alcohol screening questionnaire	AlcoholConsumptionLevel1
8107561000006116	AUDIT-C questionnaire	AlcoholConsumptionLevel1
11928751000006111	Alcohol use disorder identification test consumption questionnaire	AlcoholConsumptionLevel1
2998891000006117	Drinking	AlcoholConsumptionLevel1
4082231000006118	Feeling intoxicated	AlcoholConsumptionLevel1
4082241000006111	Feeling drunk	AlcoholConsumptionLevel1
4082251000006113	Feeling groggy	AlcoholConsumptionLevel1
476431000006112	Alcohol consumption screening	AlcoholConsumptionLevel1
476421000006114	Alcohol consumption screen	AlcoholConsumptionLevel1
4978141000006119	Drinks at other people's homes	AlcoholConsumptionLevel1
4978151000006117	Drinks in public places	AlcoholConsumptionLevel1
4978191000006111	Drinks in licensed premises	AlcoholConsumptionLevel1
4978201000006114	Drinks in public houses	AlcoholConsumptionLevel1
4978211000006112	Drinks at restaurants	AlcoholConsumptionLevel1
4978221000006116	Drinks at hotels	AlcoholConsumptionLevel1
4978231000006118	Drinks at night clubs	AlcoholConsumptionLevel1
4978241000006111	Company when drinking	AlcoholConsumptionLevel1
4978301000006118	Drinks with spouse	AlcoholConsumptionLevel1
4978311000006115	Drinks with children	AlcoholConsumptionLevel1
11928741000006114	Alcohol use disorders identification test	AlcoholConsumptionLevel1
5547231000006118	AUDIT - Alcohol use disorders identification test	AlcoholConsumptionLevel1
5552891000006118	Michigan alcoholism screening test	AlcoholConsumptionLevel1
5552901000006119	MAST - Michigan alcoholism screening test	AlcoholConsumptionLevel1
5552911000006116	Brief Michigan alcoholism screening test	AlcoholConsumptionLevel1
5552921000006112	BMAST - Brief Michigan alcoholism screening test	AlcoholConsumptionLevel1
5552941000006117	SMAST - Short Michigan alcoholism screening test	AlcoholConsumptionLevel1
5552931000006110	Short Michigan alcoholism screening test	AlcoholConsumptionLevel1
5553401000006115	MALT - Munich alcoholism test	AlcoholConsumptionLevel1
5553391000006117	Munich alcoholism test	AlcoholConsumptionLevel1
6282101000006116	Alcohol intake - finding	AlcoholConsumptionLevel1
6282111000006118	Finding of alcohol intake	AlcoholConsumptionLevel1
6282161000006115	Company when drinking - finding	AlcoholConsumptionLevel1
6282171000006110	Finding of company when drinking	AlcoholConsumptionLevel1
5549991000006116	DPS - Drinking problem scale	AlcoholConsumptionLevel1
5549981000006119	Drinking problem scale	AlcoholConsumptionLevel1
5552231000006118	Last six months of drinking questionnaire	AlcoholConsumptionLevel1
6006201000006119	Ingestible alcohol	AlcoholConsumptionLevel1
6006211000006116	Drinking alcohol	AlcoholConsumptionLevel1
7084901000006118	Alcohol intake within recommended daily limit	AlcoholConsumptionLevel1
7275011000006117	AUDIT (alcohol use disorders identification test) score	AlcoholConsumptionLevel1
408548014	Alcohol use disorders identification test score	AlcoholConsumptionLevel1
7275001000006115	Alcohol use disorders identification test score	AlcoholConsumptionLevel1
7334611000006118	Cider drinker	AlcoholConsumptionLevel1
7334621000006114	Drinks cider	AlcoholConsumptionLevel1
7334601000006116	Drinks alcoholic cider	AlcoholConsumptionLevel1
7382961000006113	Assessment using alcohol use disorders identification test	AlcoholConsumptionLevel1
7382971000006118	Assessment using AUDIT (alcohol use disorders identification test)	AlcoholConsumptionLevel1
12001651000006110	Alcohol Use Disorders Identification Test - Consumption score	AlcoholConsumptionLevel1
1660411000006112	AUDIT-C (Alcohol Use Disorders Identification Test - Consumption) score	AlcoholConsumptionLevel1
12002341000006114	Assessment using AUDIT-C (Alcohol Use Disorders Identification Test - Consumption)	AlcoholConsumptionLevel1
12002351000006111	Assessment using Alcohol Use Disorders Identification Test - Consumption	AlcoholConsumptionLevel1
538891000000111	FAST (Fast Alcohol Screening Test) score	AlcoholConsumptionLevel1
1168961000000110	Five-Shot questionnaire score	AlcoholConsumptionLevel1
8042621000006114	Parasomnia due to alcohol	AlcoholConsumptionLevel2
8042611000006118	Parasomnia caused by alcohol	AlcoholConsumptionLevel2
8042641000006119	Insomnia due to alcohol	AlcoholConsumptionLevel2
8042631000006112	Insomnia caused by alcohol	AlcoholConsumptionLevel2
8042661000006115	Hypersomnia due to alcohol	AlcoholConsumptionLevel2
8042651000006117	Hypersomnia caused by alcohol	AlcoholConsumptionLevel2
8042671000006110	Circadian rhythm sleep disorder caused by alcohol	AlcoholConsumptionLevel2
4978171000006110	Street drinker	AlcoholConsumptionLevel2
4978181000006113	Drinks at work	AlcoholConsumptionLevel2
4978731000006113	Ability to control drinking	AlcoholConsumptionLevel2
4978741000006115	Capacity to control drinking	AlcoholConsumptionLevel2
4978751000006118	Able to control drinking	AlcoholConsumptionLevel2
4978811000006111	Use of stratagems to control drinking	AlcoholConsumptionLevel2
4978821000006115	Has no stratagem to control drinking	AlcoholConsumptionLevel2
4978831000006117	Uses stratagems to control drinking	AlcoholConsumptionLevel2
4978841000006110	Makes rules about drinking	AlcoholConsumptionLevel2
4978851000006112	Tolerance to alcohol	AlcoholConsumptionLevel2
4978861000006114	Behavioural tolerance to alcohol	AlcoholConsumptionLevel2
4978871000006119	Behavioral tolerance to alcohol	AlcoholConsumptionLevel2
4978881000006116	Physical tolerance to alcohol	AlcoholConsumptionLevel2
4978891000006118	Psychological tolerance to alcohol	AlcoholConsumptionLevel2
4978901000006119	Reverse tolerance to alcohol	AlcoholConsumptionLevel2
4978981000006111	After effect of drinking	AlcoholConsumptionLevel2
4978971000006113	Persistent effect of alcohol	AlcoholConsumptionLevel2
4978991000006114	Feels effect of alcohol at work	AlcoholConsumptionLevel2
4979001000006114	Difficulty getting up after drinking	AlcoholConsumptionLevel2
4979061000006110	Craving for alcohol	AlcoholConsumptionLevel2
4979071000006115	Urge for alcohol	AlcoholConsumptionLevel2
5110241000006114	Alcohol-induced hypoglycemia	AlcoholConsumptionLevel2
5110231000006116	Alcohol-induced hypoglycaemia	AlcoholConsumptionLevel2
5612351000006115	Alcoholic macrocytosis	AlcoholConsumptionLevel2
8088731000006112	Disorder due to alcohol abuse	AlcoholConsumptionLevel2
3062791000006112	Alcohol-induced anxiety disorder	AlcoholConsumptionLevel2
3062801000006113	Alcohol induced anxiety disorder	AlcoholConsumptionLevel2
6282281000006117	Finding of tolerance to alcohol	AlcoholConsumptionLevel2
6282271000006115	Tolerance to alcohol - finding	AlcoholConsumptionLevel2
3161691000006118	Alcohol-induced sleep disorder	AlcoholConsumptionLevel2
3161701000006118	Alcohol induced sleep disorder	AlcoholConsumptionLevel2
3374891000006116	Alcohol induced mood disorder	AlcoholConsumptionLevel2
3374881000006119	Alcohol-induced mood disorder	AlcoholConsumptionLevel2
3402371000006118	Alcohol induced ketoacidosis	AlcoholConsumptionLevel2
3402351000006111	Ketoacidosis due to acute alcohol intoxication	AlcoholConsumptionLevel2
3402381000006115	Ketoacidosis due to acute alcoholic intoxication	AlcoholConsumptionLevel2
3402361000006113	Alcoholic ketoacidosis	AlcoholConsumptionLevel2
420981000006119	[X]Poisoning by and exposure to alcohol, occurrence at sports and athletics area, undetermined intent	AlcoholConsumptionLevel2
420991000006116	[X]Poisoning by and exposure to alcohol, occurrence at school, other institution and public administrative area, undetermined intent	AlcoholConsumptionLevel2
421531000006115	[X]Poisoning by and exposure to alcohol, occurrence at trade and service area, undetermined intent	AlcoholConsumptionLevel2
421801000006113	[X]Poisoning by and exposure to alcohol, occurrence at unspecified place, undetermined intent	AlcoholConsumptionLevel2
324489011	Alcohol causing toxic effect NOS	AlcoholConsumptionLevel2
421381000006110	[X]Poisoning by and exposure to alcohol, occurrence at other specified place, undetermined intent	AlcoholConsumptionLevel2
421791000006112	[X]Poisoning by and exposure to alcohol, occurrence in residential institution, undetermined intent	AlcoholConsumptionLevel2
422131000006119	[X]Poisoning by and exposure to alcohol, occurrence on farm, undetermined intent	AlcoholConsumptionLevel2
421521000006118	[X]Poisoning by and exposure to alcohol, occurrence on street and highway, undetermined intent	AlcoholConsumptionLevel2
422121000006117	[X]Poisoning by and exposure to alcohol, occurrence at home, undetermined intent	AlcoholConsumptionLevel2
422381000006116	[X]Poisoning by and exposure to alcohol, occurrence at industrial and construction area, undetermined intent	AlcoholConsumptionLevel2
422801000006118	[X]Poisoning by and exposure to alcohol, undetermined intent	AlcoholConsumptionLevel2
7706231000006114	Mild alcohol dependence	AlcoholConsumptionLevel2
7725141000006111	Moderate alcohol dependence	AlcoholConsumptionLevel2
7848901000006118	Duodenitis caused by ingestible alcohol	AlcoholConsumptionLevel2
7848911000006115	Alcoholic duodenitis	AlcoholConsumptionLevel2
7849311000006113	Alcohol-induced mood disorder with depressive symptoms	AlcoholConsumptionLevel2
7849301000006110	Mood disorder with depressive symptoms caused by alcohol	AlcoholConsumptionLevel2
3777361000006113	Alcohol induced sexual dysfunction	AlcoholConsumptionLevel2
3777351000006111	Alcohol-induced sexual dysfunction	AlcoholConsumptionLevel2
3779961000006118	Titubant ataxic gait	AlcoholConsumptionLevel2
3779981000006111	Reeling gait	AlcoholConsumptionLevel2
3779971000006113	Drunken gait	AlcoholConsumptionLevel2
3779951000006115	Titubation	AlcoholConsumptionLevel2
317123010	Staggering gait	AlcoholConsumptionLevel2
3834171000006114	Diarrhea caused by alcohol intake	AlcoholConsumptionLevel2
3834151000006116	Diarrhoea due to alcohol intake	AlcoholConsumptionLevel2
3834181000006112	Diarrhoea caused by alcohol intake	AlcoholConsumptionLevel2
3834161000006119	Diarrhea due to alcohol intake	AlcoholConsumptionLevel2
3903691000006115	Non megaloblastic anemia due to alcoholism	AlcoholConsumptionLevel2
3903681000006118	Non megaloblastic anaemia due to alcoholism	AlcoholConsumptionLevel2
3927041000006118	Megaloblastic anemia due to alcoholism	AlcoholConsumptionLevel2
3927061000006119	Megaloblastic anemia caused by alcoholism	AlcoholConsumptionLevel2
3927051000006116	Megaloblastic anaemia caused by alcoholism	AlcoholConsumptionLevel2
3927031000006111	Megaloblastic anaemia due to alcoholism	AlcoholConsumptionLevel2
250313014	Moderate drinker - 3-6u/day	AlcoholConsumptionLevel2
342421016	Feels should cut down drinking	AlcoholConsumptionLevel2
250335018	Alcohol intake above recommended sensible limits	AlcoholConsumptionLevel2
4533451000006113	Excessive alcohol consumption	AlcoholConsumptionLevel2
4533421000006116	XS - Excessive ethanol consumption	AlcoholConsumptionLevel2
4533431000006118	Excessive ethanol consumption	AlcoholConsumptionLevel2
4533441000006111	XS - Excessive alcohol consumption	AlcoholConsumptionLevel2
4533461000006110	Excessive alcohol use	AlcoholConsumptionLevel2
73012011	Moderate drinker	AlcoholConsumptionLevel2
4978451000006114	Bout drinker	AlcoholConsumptionLevel2
342366014	Binge drinker	AlcoholConsumptionLevel2
4978461000006111	Episodic drinker	AlcoholConsumptionLevel2
7265801000006115	Heaviest drinking day	AlcoholConsumptionLevel2
750721000000118	Number of alcohol units consumed on heaviest drinking day	AlcoholConsumptionLevel2
254305017	O/E - breath - alcohol smell	AlcoholConsumptionLevel2
254306016	O/E - alcoholic breath	AlcoholConsumptionLevel2
4559361000006118	On examination - breath - alcohol smell	AlcoholConsumptionLevel2
11929541000006113	SADQ - Severity of alcohol dependence questionnaire	AlcoholConsumptionLevel2
11929551000006110	Severity of alcohol dependence questionnaire	AlcoholConsumptionLevel2
6769931000006114	Teach alcohol abuse control	AlcoholConsumptionLevel2
6769921000006111	Alcohol abuse prevention education	AlcoholConsumptionLevel2
817981000006115	Health education - alcohol	AlcoholConsumptionLevel2
6769941000006116	Teach alcohol abuse prevention	AlcoholConsumptionLevel2
283028013	Alcohol leaflet given	AlcoholConsumptionLevel2
1484890014	Referral to community alcohol team	AlcoholConsumptionLevel2
622961000000116	Referral to specialist alcohol treatment service	AlcoholConsumptionLevel2
2532939017	Alcohol consumption counselling	AlcoholConsumptionLevel2
6841801000006118	Counselling about alcohol consumption	AlcoholConsumptionLevel2
6841781000006117	Alcohol consumption counseling	AlcoholConsumptionLevel2
6841791000006119	Counseling about alcohol consumption	AlcoholConsumptionLevel2
216585018	Under care of community alcohol team	AlcoholConsumptionLevel2
4525015	Alcoholic gastritis	AlcoholConsumptionLevel2
83834016	Alcoholic fatty liver	AlcoholConsumptionLevel2
3315041000006111	Alcoholic steatosis	AlcoholConsumptionLevel2
3315061000006110	Alcoholic fatty liver disease	AlcoholConsumptionLevel2
17390014	Acute alcoholic hepatitis	AlcoholConsumptionLevel2
2658601000006116	Acute alcoholic liver disease	AlcoholConsumptionLevel2
3165691000006115	ALD - Alcoholic liver disease	AlcoholConsumptionLevel2
303399018	Alcoholic liver damage	AlcoholConsumptionLevel2
3165681000006118	Alcoholic liver disease	AlcoholConsumptionLevel2
353687012	Alcohol-induced acute pancreatitis	AlcoholConsumptionLevel2
380101000006111	[X]Eviden of alcohl involv blood alcohl level 40-59mg/100ml	AlcoholConsumptionLevel2
380091000006117	[X]Eviden of alcohl involv blood alcohl level 20-39mg/100ml	AlcoholConsumptionLevel2
380111000006114	[X]Eviden of alcohl involv blood alcohl level 60-79mg/100ml	AlcoholConsumptionLevel2
317636014	High ethanol level in blood	AlcoholConsumptionLevel2
380131000006115	[X]Evidence of alcohl involv determin by blood alcohl level	AlcoholConsumptionLevel2
7253631000006117	Ethanol in blood specimen above reference range	AlcoholConsumptionLevel2
2934681000006118	Poisoning caused by alcohol deterrent	AlcoholConsumptionLevel2
2934661000006111	Poisoning by alcohol deterrent	AlcoholConsumptionLevel2
1225183017	Alcohol deterrent poisoning	AlcoholConsumptionLevel2
3846821000006114	Alcohol poisoning	AlcoholConsumptionLevel2
3846791000006117	Toxic effect of ethanol	AlcoholConsumptionLevel2
3846801000006116	Ethyl alcohol poisoning	AlcoholConsumptionLevel2
324467012	Ethyl alcohol causing toxic effect NOS	AlcoholConsumptionLevel2
1234742013	Ethanol causing toxic effect	AlcoholConsumptionLevel2
3846781000006115	Toxic effect of grain alcohol	AlcoholConsumptionLevel2
3846811000006118	Ethanol poisoning	AlcoholConsumptionLevel2
649311000006115	Toxic effect of ethyl alcohol	AlcoholConsumptionLevel2
899421000006119	Ethyl alcohol - toxic effect	AlcoholConsumptionLevel2
2885451000006111	Alcoholism counseling	AlcoholConsumptionLevel2
7613321000006119	Alcohol reduction programme	AlcoholConsumptionLevel2
7613331000006116	Alcohol reduction program	AlcoholConsumptionLevel2
6455201000006114	Substance use treatment: alcohol withdrawal	AlcoholConsumptionLevel2
4978031000006111	Problem drinker	AlcoholConsumptionLevel2
4978051000006116	Boozer	AlcoholConsumptionLevel2
4978061000006119	Dependent drinker	AlcoholConsumptionLevel2
4978041000006118	Alcoholic	AlcoholConsumptionLevel2
4978591000006116	Binge drinking	AlcoholConsumptionLevel2
4978571000006117	Drinking binge	AlcoholConsumptionLevel2
4978581000006119	Alcohol binge	AlcoholConsumptionLevel2
4978471000006116	Alcoholic binges exceeding sensible amounts	AlcoholConsumptionLevel2
4978501000006111	Drinks alcohol daily	AlcoholConsumptionLevel2
4978491000006115	Daily drinker	AlcoholConsumptionLevel2
4979011000006112	Attitude to drinking	AlcoholConsumptionLevel2
4978701000006117	Drinking takes priority over social obligations	AlcoholConsumptionLevel2
4978711000006119	Drinking takes priority over family obligations	AlcoholConsumptionLevel2
4978721000006110	Drinking takes priority over financial obligations	AlcoholConsumptionLevel2
4979051000006113	Feels afraid of being an alcoholic	AlcoholConsumptionLevel2
4978761000006116	Unable to control drinking	AlcoholConsumptionLevel2
4978771000006111	Unable to abstain from drinking	AlcoholConsumptionLevel2
4978781000006114	Unable to control drinking once started	AlcoholConsumptionLevel2
4978791000006112	Unable to control spontaneous drinking bouts	AlcoholConsumptionLevel2
4978801000006113	Unable to stop drinking before intoxication	AlcoholConsumptionLevel2
5980921000006111	Alcohol-induced flushes	AlcoholConsumptionLevel2
5980911000006115	Alcohol-induced flushing	AlcoholConsumptionLevel2
5497641000006113	Drinks continuously	AlcoholConsumptionLevel2
5497631000006115	Cannot stop drinking	AlcoholConsumptionLevel2
5497651000006110	Finding of excessive fluid intake	AlcoholConsumptionLevel2
217631000000113	Excessive fluid intake - finding	AlcoholConsumptionLevel2
5497621000006118	Drinks a lot - fluids	AlcoholConsumptionLevel2
5549231000006112	CDP - Comprehensive drinker profile	AlcoholConsumptionLevel2
5549221000006114	Comprehensive drinker profile	AlcoholConsumptionLevel2
7267761000006117	Alcohol in blood specimen above reference range	AlcoholConsumptionLevel2
7267751000006119	High alcohol level in blood	AlcoholConsumptionLevel2
3073921000006112	Alcohol rehabilitation	AlcoholConsumptionLevel2
4978481000006118	Alcoholic binges exceeding safe amounts	AlcoholConsumptionLevel2
4979041000006111	Feels drinking is out of control	AlcoholConsumptionLevel2
1738341000000110	Increasing risk drinking	AlcoholConsumptionLevel2
1738381000000119	Higher risk drinking	AlcoholConsumptionLevel2
299061000000117	Hazardous alcohol use	AlcoholConsumptionLevel2
480271000000113	Disqualified from driving due to excess alcohol	AlcoholConsumptionLevel2
1792751000000118	Cycle of change stage, alcohol	AlcoholConsumptionLevel2
2419601000000110	Specialist alcohol treatment service signposted	AlcoholConsumptionLevel2
1704281000006117	Brief intervention for excessive alcohol consumption declined	AlcoholConsumptionLevel2
750531000000113	Declined referral to specialist alcohol treatment service	AlcoholConsumptionLevel2
1746481000000112	Referral to community alcohol team declined	AlcoholConsumptionLevel2
2364891000000111	Hospital alcohol liaison team report received	AlcoholConsumptionLevel2
2534258017	Alcohol counselling by other agencies	AlcoholConsumptionLevel2
8197801000006118	Counselling about alcohol by other agencies	AlcoholConsumptionLevel2
1680121000006110	Brief intervention for excessive alcohol consumption completed	AlcoholConsumptionLevel2
1947501000006118	Emergency department attendance related to personal alcohol consumption	AlcoholConsumptionLevel2
2454281000000112	Hospital attendance related to personal alcohol consumption	AlcoholConsumptionLevel2
393861000006111	[X]Intentional self poisoning by and exposure to alcohol	AlcoholConsumptionLevel2
12456651000006117	[V]Alcohol rehabilitation	AlcoholConsumptionLevel2
1926131000006117	Referral to mental health services deferred until alcohol misuse resolved	AlcoholConsumptionLevel2
236441000000113	Alcohol misuse enhanced services administration	AlcoholConsumptionLevel2
8066881000006119	Discussion about maternal wellbeing - alcohol	AlcoholConsumptionLevel2
739501000000112	Advised to contact primary care alcohol worker	AlcoholConsumptionLevel2
500729017	Alcohol causing toxic effect	AlcoholConsumptionLevel2
324488015	Other alcohol causing toxic effect	AlcoholConsumptionLevel2
391351000006115	[X]Intentional self poisoning by and exposure to alcohol, occurrence at industrial and construction area	AlcoholConsumptionLevel2
391521000006119	[X]Intentional self poisoning by and exposure to alcohol, occurrence at school, other institution and public administrative area	AlcoholConsumptionLevel2
391941000006118	[X]Intentional self poisoning by and exposure to alcohol, occurrence at home	AlcoholConsumptionLevel2
391951000006116	[X]Intentional self poisoning by and exposure to alcohol, occurrence on farm	AlcoholConsumptionLevel2
393321000006113	[X]Intentional self poisoning by and exposure to alcohol, occurrence at trade and service area	AlcoholConsumptionLevel2
391511000006110	[X]Intentional self poisoning by and exposure to alcohol, occurrence at other specified place	AlcoholConsumptionLevel2
391501000006112	[X]Intentional self poisoning by and exposure to alcohol, occurrence at sports and athletics area	AlcoholConsumptionLevel2
393311000006117	[X]Intentional self poisoning by and exposure to alcohol, occurrence on street and highway	AlcoholConsumptionLevel2
393591000006118	[X]Intentional self poisoning by and exposure to alcohol, occurrence in residential institution	AlcoholConsumptionLevel2
991151000006114	Alcohol NOS - toxic effect	AlcoholConsumptionLevel2
899411000006110	Toxic effects of alcohol	AlcoholConsumptionLevel2
325596018	Toxic effect of alcohol	AlcoholConsumptionLevel2
393601000006114	[X]Intentional self poisoning by and exposure to alcohol, occurrence at unspecified place	AlcoholConsumptionLevel2
250323017	Ex-moderate drinker - (3-6u/d)	AlcoholConsumptionLevel2
324466015	Grain alcohol causing toxic effect	AlcoholConsumptionLevel2
4977991000006113	Fairly heavy drinker	AlcoholConsumptionLevel2
4978911000006116	Drink driving	AlcoholConsumptionLevel2
4978921000006112	Drunk driving	AlcoholConsumptionLevel2
4978931000006110	Charged with drink driving offence	AlcoholConsumptionLevel2
4978941000006117	Charged with drunk driving offence	AlcoholConsumptionLevel2
4978951000006115	Convicted of drink driving	AlcoholConsumptionLevel2
4978961000006118	Convicted of drunk driving	AlcoholConsumptionLevel2
5720641000006112	Ex-problem drinker	AlcoholConsumptionLevel2
2950191000006118	Smell of alcohol on breath	AlcoholConsumptionLevel2
6282291000006119	Attitude to drinking - finding	AlcoholConsumptionLevel2
6282301000006118	Finding of attitude to drinking	AlcoholConsumptionLevel2
4978531000006115	Drinking episode	AlcoholConsumptionLevel2
4978541000006113	Drinking bout	AlcoholConsumptionLevel2
