ProdCodeId	dmdid	TermFromEMIS	ProductName	Formulation	RouteOfAdministration	DrugSubstanceName	SubstanceStrength	BNFChapter
917941000033116	42111000001107	Microgynon 30 tablets (Bayer Plc)	Microgynon 30 tablets	Tablet/ Oral Tablet	Oral	Ethinylestradiol/ Levonorgestrel	30.000microgram + 150.000microgram	NA
921441000033113	3048611000001106	Minulet tablets (Wyeth Pharmaceuticals)	Minulet tablets	Tablet/ Oral Tablet	Oral	Ethinylestradiol/ Gestodene	30.000microgram + 75.000microgram	NA
987341000033118	403611000001106	Norimin 1mg/35microgram tablets (Pfizer Ltd)	Norimin 1mg/35microgram tablets	Tablet/ Oral Tablet	Oral	Ethinylestradiol/ Norethisterone	35.000microgram + 1.000mg	NA
989041000033112	3831411000001104	Norinyl-1 tablets (Pfizer Ltd)	Norinyl-1 tablets	Tablet/ Oral Tablet	Oral	Mestranol/ Norethisterone	50.000microgram + 1.000mg	NA
999041000033113	3414911000001105	Oestrogel Pump-Pack 0.06% gel (Besins Healthcare (UK) Ltd)	Oestrogel Pump-Pack 0.06% gel	Gel/ Transdermal gel	Transdermal	Estradiol	600.000microgram/1.000gram	NA
1015241000033113	416511000001102	Ortho-Gynest 500microgram pessaries (Janssen-Cilag Ltd)	Ortho-Gynest 500microgram pessaries	 Pessary	Vaginal	Estriol	500.000microgram	NA
1021441000033115	623311000001109	Ovestin 1mg cream (Aspen Pharma Trading Ltd)	Ovestin 1mg cream	Cream/ Vaginal cream	Vaginal	Estriol	1.000mg/1.000gram	NA
1021541000033119	4547311000001103	Ovran tablets (Wyeth Pharmaceuticals)	Ovran tablets	Tablet/ Oral Tablet	Oral	Ethinylestradiol/ Levonorgestrel	50.000microgram + 250.000microgram	NA
1021641000033118	492611000001103	Ovranette 150microgram/30microgram tablets (Pfizer Ltd)	Ovranette 150microgram/30microgram tablets	Tablet/ Oral Tablet	Oral	Ethinylestradiol/ Levonorgestrel	30.000microgram + 150.000microgram	NA
1021741000033110	235311000001105	Ovysmen 500microgram/35microgram tablets (Janssen-Cilag Ltd)	Ovysmen 500microgram/35microgram tablets	Tablet/ Oral Tablet	Oral	Ethinylestradiol/ Norethisterone	35.000microgram + 500.000microgram	NA
1021841000033117	3876411000001107	Ovestin 1mg tablets (Organon Laboratories Ltd)	Ovestin 1mg tablets	Tablet/ Oral Tablet	Oral	Estriol	1.000mg	NA
1112641000033111	3053511000001101	Premarin 0.625mg/g vaginal cream (Pfizer Ltd)	Premarin 0.625mg/g vaginal cream	Cream/ Vaginal cream	Vaginal/ Cutaneous	Conjugated oestrogens	625.000microgram/1.000gram	NA
1132341000033110	546511000001102	Premarin 1.25mg tablets (Pfizer Ltd)	Premarin 1.25mg tablets	Tablet/ Oral Tablet	Oral	Conjugated oestrogens	1.250mg	NA
1132441000033116	34911000001102	Premarin 0.625mg tablets (Pfizer Ltd)	Premarin 0.625mg tablets	Tablet/ Oral Tablet	Oral	Conjugated oestrogens	625.000microgram	NA
1134041000033118	2846111000001106	Progynova 1mg tablets (Bayer Plc)	Progynova 1mg tablets	Tablet/ Oral Tablet	Oral	Estradiol valerate	1.000mg	NA
1134141000033119	2845411000001105	Progynova 2mg tablets (Bayer Plc)	Progynova 2mg tablets	Tablet/ Oral Tablet	Oral	Estradiol valerate	2.000mg	NA
1136041000033114	679511000001100	Premique 0.625mg/5mg tablets (Pfizer Ltd)	Premique 0.625mg/5mg tablets	Tablet/ Oral Tablet	Oral	Conjugated oestrogens/ Medroxyprogesterone acetate	625.000microgram + 5.000mg	NA
1140041000033113	4548011000001100	Premarin 2.5mg tablets (Wyeth Pharmaceuticals)	Premarin 2.5mg tablets	Tablet/ Oral Tablet	Oral	Conjugated oestrogens	2.500mg	NA
1239041000033116	3658611000001104	Sandrena 1mg gel sachets (Orion Pharma (UK) Ltd)	Sandrena 1mg gel sachets	Gel/ Transdermal gel	Transdermal	Estradiol hemihydrate	1.000mg	NA
1239141000033117	3657811000001104	Sandrena 500microgram gel sachets (Orion Pharma (UK) Ltd)	Sandrena 500microgram gel sachets	Gel/ Transdermal gel	Transdermal	Estradiol hemihydrate	500.000microgram	NA
1267141000033118	4547111000001100	Schering PC4 tablets (Schering Health Care Ltd)	Schering PC4 tablets	Tablet/ Oral Tablet	Oral	Ethinylestradiol/ Levonorgestrel	50.000microgram + 250.000microgram	NA
1444741000033117	41882911000001100	Tibolone 2.5mg tablets	Tibolone 2.5mg tablets	Tablet/ Oral Tablet	Oral	Tibolone	2.500mg	06040101
1505641000033111	71211000001107	Vagifem 25microgram vaginal tablets (Novo Nordisk Ltd)	Vagifem 25microgram vaginal tablets	 Pessary	Vaginal	Estradiol	25.000microgram	NA
1563841000033112	2838411000001101	Zumenon 2mg tablets (Viatris UK Healthcare Ltd)	Zumenon 2mg tablets	Tablet/ Oral Tablet	Oral	Estradiol	2.000mg	NA
1563941000033116	2842511000001103	Zumenon 1mg tablets (Viatris UK Healthcare Ltd)	Zumenon 1mg tablets	Tablet/ Oral Tablet	Oral	Estradiol	1.000mg	NA
1594241000033112	41873111000001100	Conjugated oestrogens 2.5mg tablets	Conjugated oestrogens 2.5mg tablets	Tablet/ Oral Tablet	Oral	Conjugated oestrogens	2.500mg	06040101
1609141000033111	239811000001103	Evista 60mg tablets (Daiichi Sankyo UK Ltd)	Evista 60mg tablets	Tablet/ Oral Tablet	Oral	Raloxifene hydrochloride	60.000mg	NA
1625541000033112	3038811000001109	Kliovance tablets (Novo Nordisk Ltd)	Kliovance tablets	Tablet/ Oral Tablet	Oral	Estradiol/ Norethisterone acetate	1.000mg + 500.000microgram	NA
1671641000033110	42088011000001101	Raloxifene 60mg tablets	Raloxifene 60mg tablets	Tablet/ Oral Tablet	Oral	Raloxifene hydrochloride	60.000mg	06040101
1798141000033113	2911111000001100	Estraderm MX 75 patches (Norgine Pharmaceuticals Ltd)	Estraderm MX 75 patches	Transdermal patch	Transdermal	Estradiol	75.000microgram/24.000hour	NA
1798241000033118	3049911000001108	Nuvelle Continuous tablets (Bayer Plc)	Nuvelle Continuous tablets	Tablet/ Oral Tablet	Oral	Estradiol/ Norethisterone acetate	2.000mg + 1.000mg	NA
1855641000033116	41876211000001104	Estropipate 1.5mg tablets	Estropipate 1.5mg tablets	Tablet/ Oral Tablet	Oral	Estropipate	1.500mg	06040101
1890341000033111	3049211000001104	Femodette tablets (Bayer Plc)	Femodette tablets	Tablet/ Oral Tablet	Oral	Ethinylestradiol/ Gestodene	20.000microgram + 75.000microgram	NA
1922141000033113	519311000001107	Femoston-conti 1mg/5mg tablets (Viatris UK Healthcare Ltd)	Femoston-conti 1mg/5mg tablets	Tablet/ Oral Tablet	Oral	Dydrogesterone/ Estradiol	5.000mg + 1.000mg	NA
2173841000033114	2838711000001107	Adgyn Estro 2mg tablets (Kyowa Kirin Ltd)	Adgyn Estro 2mg tablets	Tablet/ Oral Tablet	Oral	Estradiol	2.000mg	NA
2215241000033115	3780211000001102	Indivina 1mg/2.5mg tablets (Orion Pharma (UK) Ltd)	Indivina 1mg/2.5mg tablets	Tablet/ Oral Tablet	Oral	Estradiol valerate/ Medroxyprogesterone acetate	1.000mg + 2.500mg	NA
2215341000033113	3853711000001105	Indivina 1mg/5mg tablets (Orion Pharma (UK) Ltd)	Indivina 1mg/5mg tablets	Tablet/ Oral Tablet	Oral	Estradiol valerate/ Medroxyprogesterone acetate	1.000mg + 5.000mg	NA
2215441000033119	3779911000001106	Indivina 2mg/5mg tablets (Orion Pharma (UK) Ltd)	Indivina 2mg/5mg tablets	Tablet/ Oral Tablet	Oral	Estradiol valerate/ Medroxyprogesterone acetate	2.000mg + 5.000mg	NA
2217041000033117	2947811000001109	Dermestril - Septem 50 patches (Kyowa Kirin Ltd)	Dermestril - Septem 50 patches	Transdermal patch	Transdermal	Estradiol	50.000microgram/24.000hour	NA
2217141000033118	2911411000001105	Dermestril - Septem 75 patches (Kyowa Kirin Ltd)	Dermestril - Septem 75 patches	Transdermal patch	Transdermal	Estradiol	75.000microgram/24.000hour	NA
2261641000033115	41872911000001109	Co-cyprindiol 2000microgram/35microgram tablets	Co-cyprindiol 2000microgram/35microgram tablets	Tablet/ Oral Tablet	Oral	Cyproterone acetate/ Ethinylestradiol	2.000mg + 35.000microgram	13060200
2289241000033116	3649411000001108	Aerodiol 150micrograms/dose nasal spray (Servier Laboratories Ltd)	Aerodiol 150micrograms/dose nasal spray	Spray	Nasal	Estradiol hemihydrate	150.000microgram/1.000dose	NA
2602341000033117	2836011000001106	Menoring 50 vaginal ring (Galen Ltd)	Menoring 50 vaginal ring	Vaginal device	Vaginal	Estradiol acetate	1.250mg	NA
2731641000033115	439011000001108	Yasmin tablets (Bayer Plc)	Yasmin tablets	Tablet/ Oral Tablet	Oral	Drospirenone/ Ethinylestradiol	3.000mg + 30.000microgram	NA
2739341000033112	2949711000001109	Progynova TS 50micrograms/24hours transdermal patches (Bayer Plc)	Progynova TS 50micrograms/24hours transdermal patches	Transdermal patch	Transdermal	Estradiol	50.000microgram/24.000hour	NA
2739441000033118	2939611000001104	Progynova TS 100micrograms/24hours transdermal patches (Bayer Plc)	Progynova TS 100micrograms/24hours transdermal patches	Transdermal patch	Transdermal	Estradiol	100.000microgram/24.000hour	NA
2846541000033110	4338711000001100	FemSeven Conti patches (Theramex HQ UK Ltd)	FemSeven Conti patches	Transdermal patch	Transdermal	Estradiol/ Levonorgestrel	50.000microgram/24.000hour + 7.000microgram/24.000hour	NA
2922841000033115	4608311000001102	Evra transdermal patches (Gedeon Richter (UK) Ltd)	Evra transdermal patches	Transdermal patch	Transdermal	Ethinylestradiol/ Norelgestromin	33.900microgram/24.000hour + 203.000microgram/24.000hour	NA
2950941000033111	4501211000001106	FemTab 1mg tablets (Merck Serono Ltd)	FemTab 1mg tablets	Tablet/ Oral Tablet	Oral	Estradiol valerate	1.000mg	NA
2951041000033118	4501411000001105	FemTab 2mg tablets (Merck Serono Ltd)	FemTab 2mg tablets	Tablet/ Oral Tablet	Oral	Estradiol valerate	2.000mg	NA
2951241000033114	4501811000001107	FemTab Continuous tablets (Merck Serono Ltd)	FemTab Continuous tablets	Tablet/ Oral Tablet	Oral	Estradiol/ Norethisterone acetate	2.000mg + 1.000mg	NA
3076041000033112	7340311000001105	Premique Low Dose 0.3mg/1.5mg modified-release tablets (Pfizer Ltd)	Premique Low Dose 0.3mg/1.5mg modified-release tablets	Modified-release tablet	Oral	Conjugated oestrogens/ Medroxyprogesterone acetate	300.000microgram + 1.500mg	NA
3090041000033118	41876311000001107	Ethinylestradiol 10microgram tablets	Ethinylestradiol 10microgram tablets	Tablet/ Oral Tablet	Oral	Ethinylestradiol	10.000microgram	06040101
3090141000033119	41877711000001109	Ethinylestradiol 50microgram tablets	Ethinylestradiol 50microgram tablets	Tablet/ Oral Tablet	Oral	Ethinylestradiol	50.000microgram	06040101
3090241000033114	41876411000001100	Ethinylestradiol 1mg tablets	Ethinylestradiol 1mg tablets	Tablet/ Oral Tablet	Oral	Ethinylestradiol	1.000mg	06040101
3090341000033116	11738011000001105	Ethinylestradiol 2microgram tablets	Ethinylestradiol 2microgram tablets	Tablet/ Oral Tablet	Oral	Ethinylestradiol	2.000microgram	06040101
3097641000033113	41739711000001100	Estradiol 0.06% transdermal gel (750microgram per actuation)	Estradiol 0.06% transdermal gel (750microgram per actuation)	Gel/ Transdermal gel	Transdermal	Estradiol	600.000microgram/1.000gram	06040101
3097741000033116	41874611000001106	Estradiol 100mg implant	Estradiol 100mg implant	Implant/ Prolonged-release subcutaneous implant	Subcutaneous	Estradiol	100.000mg	06040101
3097841000033114	41875011000001100	Estradiol 25mg implant	Estradiol 25mg implant	Implant/ Prolonged-release subcutaneous implant	Subcutaneous	Estradiol	25.000mg	06040101
3097941000033118	41875511000001108	Estradiol 50mg implant	Estradiol 50mg implant	Implant/ Prolonged-release subcutaneous implant	Subcutaneous	Estradiol	50.000mg	06040101
3098041000033115	41874911000001100	Estradiol 1mg tablets	Estradiol 1mg tablets	Tablet/ Oral Tablet	Oral	Estradiol	1.000mg	06040101
3098141000033116	41875211000001105	Estradiol 2mg tablets	Estradiol 2mg tablets	Tablet/ Oral Tablet	Oral	Estradiol	2.000mg	06040101
3098341000033118	36064811000001103	Estradiol 100micrograms/24hours transdermal patches	Estradiol 100micrograms/24hours transdermal patches	Transdermal patch	Transdermal	Estradiol	100.000microgram/24.000hour	06040101
3098441000033112	36064911000001108	Estradiol 25micrograms/24hours transdermal patches	Estradiol 25micrograms/24hours transdermal patches	Transdermal patch	Transdermal	Estradiol	25.000microgram/24.000hour	06040101
3098541000033113	36065111000001109	Estradiol 40micrograms/24hours transdermal patches	Estradiol 40micrograms/24hours transdermal patches	Transdermal patch	Transdermal	Estradiol	40.000microgram/24.000hour	06040101
3098641000033114	39112011000001100	Estradiol 50micrograms/24hours transdermal patches	Estradiol 50micrograms/24hours transdermal patches	Transdermal patch	Transdermal	Estradiol	50.000microgram/24.000hour	06040101
3098741000033117	36065411000001104	Estradiol 75micrograms/24hours transdermal patches	Estradiol 75micrograms/24hours transdermal patches	Transdermal patch	Transdermal	Estradiol	75.000microgram/24.000hour	06040101
3098841000033110	36065511000001100	Estradiol 80micrograms/24hours transdermal patches	Estradiol 80micrograms/24hours transdermal patches	Transdermal patch	Transdermal	Estradiol	80.000microgram/24.000hour	06040101
3099341000033113	3405311000001106	Estradiol 25microgram pessaries	Estradiol 25microgram pessaries	 Pessary	Vaginal	Estradiol	25.000microgram	07020100
3099441000033119	3407711000001104	Estradiol acetate 1.25mg vaginal ring	Estradiol acetate 1.25mg vaginal ring	Vaginal device	Vaginal	Estradiol acetate	1.250mg	07020100
3099541000033118	3664111000001108	Estradiol 1mg transdermal gel sachets	Estradiol 1mg transdermal gel sachets	Gel/ Transdermal gel	Transdermal	Estradiol hemihydrate	1.000mg	06040101
3099641000033117	3664211000001102	Estradiol 500microgram transdermal gel sachets	Estradiol 500microgram transdermal gel sachets	Gel/ Transdermal gel	Transdermal	Estradiol hemihydrate	500.000microgram	06040101
3099741000033114	41874711000001102	Estradiol 150micrograms/dose nasal spray	Estradiol 150micrograms/dose nasal spray	Spray	Nasal	Estradiol hemihydrate	150.000microgram/1.000dose	06040101
3099841000033116	24580611000001102	Estradiol 7.5micrograms/24hours vaginal delivery system	Estradiol 7.5micrograms/24hours vaginal delivery system	Vaginal delivery system/	Vaginal	Estradiol hemihydrate	7.500microgram/24.000hour	07020100
3099941000033112	41875611000001107	Estradiol valerate 1mg tablets	Estradiol valerate 1mg tablets	Tablet/ Oral Tablet	Oral	Estradiol valerate	1.000mg	06040101
3100041000033111	41875911000001101	Estradiol valerate 2mg tablets	Estradiol valerate 2mg tablets	Tablet/ Oral Tablet	Oral	Estradiol valerate	2.000mg	06040101
3100441000033119	41876011000001109	Estriol 1mg tablets	Estriol 1mg tablets	Tablet/ Oral Tablet	Oral	Estriol	1.000mg	06040101
3100541000033118	41896911000001100	Estriol 1mg/g vaginal cream	Estriol 1mg/g vaginal cream	Cream/ Vaginal cream	Vaginal	Estriol	1.000mg/1.000gram	07020100
3100841000033116	41876111000001105	Estriol 500microgram pessaries	Estriol 500microgram pessaries	 Pessary	Vaginal	Estriol	500.000microgram	07020100
3159641000033119	7944611000001101	Acnocin 2000microgram/35microgram tablets (Sandoz Ltd)	Acnocin 2000microgram/35microgram tablets	Tablet/ Oral Tablet	Oral	Cyproterone acetate/ Ethinylestradiol	2.000mg + 35.000microgram	NA
3191541000033110	41875811000001106	Estradiol valerate 2mg / Norethisterone 700microgram tablets	Estradiol valerate 2mg / Norethisterone 700microgram tablets	Tablet/ Oral Tablet	Oral	Estradiol valerate/ Norethisterone	2.000mg + 700.000microgram	06040101
3191741000033119	41875111000001104	Estradiol 2mg / Norethisterone acetate 1mg tablets	Estradiol 2mg / Norethisterone acetate 1mg tablets	Tablet/ Oral Tablet	Oral	Estradiol/ Norethisterone acetate	2.000mg + 1.000mg	06040101
3191841000033112	36065211000001103	Estradiol 50micrograms/24hours / Norethisterone 170micrograms/24hours transdermal patches	Estradiol 50micrograms/24hours / Norethisterone 170micrograms/24hours transdermal patches	Transdermal patch	Transdermal	Estradiol/ Norethisterone acetate	50.000microgram/24.000hour + 170.000microgram/24.000hour	06040101
3192241000033119	3369311000001103	Estradiol 1mg / Dydrogesterone 5mg tablets	Estradiol 1mg / Dydrogesterone 5mg tablets	Tablet/ Oral Tablet	Oral	Dydrogesterone/ Estradiol	5.000mg + 1.000mg	06040101
3192341000033112	3788211000001104	Estradiol valerate 1mg / Medroxyprogesterone 2.5mg tablets	Estradiol valerate 1mg / Medroxyprogesterone 2.5mg tablets	Tablet/ Oral Tablet	Oral	Estradiol valerate/ Medroxyprogesterone acetate	1.000mg + 2.500mg	06040101
3192441000033118	3864111000001104	Estradiol valerate 1mg / Medroxyprogesterone 5mg tablets	Estradiol valerate 1mg / Medroxyprogesterone 5mg tablets	Tablet/ Oral Tablet	Oral	Estradiol valerate/ Medroxyprogesterone acetate	1.000mg + 5.000mg	06040101
3192541000033117	3788311000001107	Estradiol valerate 2mg / Medroxyprogesterone 5mg tablets	Estradiol valerate 2mg / Medroxyprogesterone 5mg tablets	Tablet/ Oral Tablet	Oral	Estradiol valerate/ Medroxyprogesterone acetate	2.000mg + 5.000mg	06040101
3192641000033116	41874811000001105	Estradiol 1mg / Norethisterone acetate 500microgram tablets	Estradiol 1mg / Norethisterone acetate 500microgram tablets	Tablet/ Oral Tablet	Oral	Estradiol/ Norethisterone acetate	1.000mg + 500.000microgram	06040101
3192741000033113	39689411000001101	Conjugated oestrogens 625microgram / Medroxyprogesterone 5mg tablets	Conjugated oestrogens 625microgram / Medroxyprogesterone 5mg tablets	Tablet/ Oral Tablet	Oral	Conjugated oestrogens/ Medroxyprogesterone acetate	625.000microgram + 5.000mg	06040101
3192841000033115	15621411000001104	Conjugated oestrogens 300microgram / Medroxyprogesterone 1.5mg modified-release tablets	Conjugated oestrogens 300microgram / Medroxyprogesterone 1.5mg modified-release tablets	Modified-release tablet	Oral	Conjugated oestrogens/ Medroxyprogesterone acetate	300.000microgram + 1.500mg	06040101
3193141000033119	41877411000001103	Ethinylestradiol 35microgram / Norethisterone 500microgram tablets	Ethinylestradiol 35microgram / Norethisterone 500microgram tablets	Tablet/ Oral Tablet	Oral	Ethinylestradiol/ Norethisterone	35.000microgram + 500.000microgram	07030100
