MedCodeId	Observations	OriginalReadCode	CleansedReadCode	Term	SnomedCTConceptId	SnomedCTDescriptionId	Release	EmisCodeCategoryId
7960911000006117	27	^ESCTHB796091	NA	HbA1c - Glycated hemoglobin-A1c	733830002	3474736019	NA	31
7960921000006113	6	^ESCTHB796092	NA	HbA1c - Glycated haemoglobin-A1c	733830002	3474737011	NA	31
8121171000006116	70	^ESCTHB812117	NA	Hb A1c (Haemoglobin A1c) measurement - IFCC (International Federation of Clinical Chemistry and Laboratory Medicine) standardised	371981000000106	730981000000118	NA	31
8121181000006118	544	^ESCTHB812118	NA	Hb A1c (Haemoglobin A1c) level - IFCC (International Federation of Clinical Chemistry and Laboratory Medicine) standardised	371981000000106	732081000000118	NA	31
12622041000006111	4	^ESCT1262204	NA	HbA1c (haemoglobin A1c) molar concentration in blood	1107481000000106	2773291000000116	NA	31
14368911000006117	3	^ESCT1436891	NA	Haemoglobin A1c measurement - International Federation of Clinical Chemistry and Laboratory Medicine standardised	371981000000106	1826141000000114	NA	31
14500411000006110	471	^ESCT1450041	NA	Haemoglobin A1c less than 7 percent indicating good diabetic control	165679005	4578225017	NA	11
14500421000006119	637	^ESCT1450042	NA	Haemoglobin A1c between 7 percent to 10 percent indicating borderline diabetic control	165680008	4578415013	NA	11
14500431000006116	178	^ESCT1450043	NA	Haemoglobin A1c greater than 10 percent indicating poor diabetic control	165681007	4578059010	NA	11
15098421000006111	2	^ESCT1509842	NA	Haemoglobin A1 mass concentration in whole blood	2281000237104	11971000237117	NA	11
15099641000006113	460	^ESCT1509964	NA	HbA1c (glycated haemoglobin A1c)/HbA1 (haemoglobin A1) percent in blood	3531000237106	9191000237116	NA	11
4595401000006118	NA	^ESCTHE459540	NA	Hemoglobin A1c (HbA1c) greater than 10% indicating poor diabetic control	165681007	2773408014	NA	11
4595381000006118	NA	^ESCTHA459538	NA	Haemoglobin A1c (HbA1c) greater than 10% indicating poor diabetic control	165681007	2767753013	NA	11
4595331000006119	NA	^ESCTHE459533	NA	Hemoglobin A1c between 7%-10% indicating borderline diabetic control	165680008	2768431010	NA	11
6280411000006114	NA	^ESCTHE628041	NA	Hemoglobin A1C - diabetic control finding	365845005	489331011	NA	11
4595301000006110	NA	^ESCTHA459530	NA	Haemoglobin A1c (HbA1c) less than 7% indicating good diabetic control	165679005	2773783018	NA	11
4595341000006112	NA	^ESCTHE459534	NA	Hemoglobin A1c (HbA1c) between 7%-10% indicating borderline diabetic control	165680008	2770714019	NA	11
4595391000006115	NA	^ESCTHE459539	NA	Hemoglobin A1c greater than 10% indicating poor diabetic control	165681007	2767755018	NA	11
4595261000006118	NA	^ESCTHA459526	NA	Haemoglobin A1c less than 7% indicating good diabetic control	165679005	4595261000006118	NA	11
4595351000006114	NA	^ESCTHA459535	NA	Haemoglobin A1c (HbA1c) between 7%-10% indicating borderline diabetic control	165680008	2772787010	NA	11
4595291000006114	NA	^ESCTHE459529	NA	Hemoglobin A1c (HbA1c) less than 7% indicating good diabetic control	165679005	2772122013	NA	11
3199201000006111	NA	^ESCTHA319920	NA	Haemoglobin A1c level	43396009	129761000000114	NA	31
11926761000006112	NA	^ESCT1192676	NA	Hemoglobin A1c less than 7% indicating good diabetic control	165679005	2769803019	NA	11
