MedCodeId	Term	SnomedCTConceptId
938331000006118	Exudative maculopathy with type 2 diabetes mellitus	421779007
6977971000006119	Exudative maculopathy associated with type II diabetes mellitus	421779007
14084001000006112	Exudative maculopathy due to type 2 diabetes mellitus	421779007
84621000006117	Type 2 diabetes mellitus with retinopathy	422034002
84991000006112	Type II diabetes mellitus with retinopathy	422034002
641581000006115	Non-insulin-dependent diabetes mellitus with retinopathy	422034002
914151000006112	Retinopathy with type 2 diabetes mellitus	422034002
914161000006114	Type II diabetes mellitus with retinopathy	422034002
6982521000006119	Diabetes type 2 with retinopathy	422034002
14084061000006113	Retinopathy due to type 2 diabetes mellitus	422034002
9093013	Diabetic retinopathy	4855003
297758012	Diabetic retinopathy NOS	4855003
169731000006118	Retinal abnormality - diabetes-related	4855003
771411000006117	Insulin dependent diabetes mellitus with retinopathy	4855003
913651000006115	Insulin dependent diabetes mellitus with retinopathy	4855003
2576431000006117	DR - Diabetic retinopathy	4855003
12166111000006116	Retinopathy due to diabetes mellitus	4855003
8019521000006112	Nonproliferative diabetic retinopathy due to type 1 diabetes mellitus	60961000119107
7841331000006118	Background retinopathy due to impaired glucose regulation	723169001
12085071000006114	Mild nonproliferative diabetic retinopathy of right eye	769183005
12085081000006112	Mild non proliferative retinopathy of right eye	769183005
12085091000006110	Mild non-proliferative diabetic retinopathy of right eye	769183005
12085101000006116	Mild nonproliferative retinopathy of right eye	769183005
12085121000006114	Mild nonproliferative diabetic retinopathy of left eye	769184004
12085131000006112	Mild nonproliferative retinopathy of left eye	769184004
12085141000006119	Mild non-proliferative diabetic retinopathy of left eye	769184004
12085161000006115	Mild non proliferative retinopathy of left eye	769184004
12085211000006112	Moderate nonproliferative diabetic retinopathy of left eye	769186002
12085231000006118	Moderate non-proliferative diabetic retinopathy of left eye	769186002
12085241000006111	Moderate nonproliferative retinopathy of left eye due to diabetes mellitus	769186002
12085721000006110	Diabetic macular oedema of right eye	769217008
12085731000006113	Diabetic macular edema of right eye	769217008
12085761000006116	Diabetic macular oedema of left eye	769218003
12085791000006112	Diabetic macular edema of left eye	769218003
12085801000006113	Macular oedema due to type 1 diabetes mellitus	769219006
12085841000006110	Macular oedema due to type 2 diabetes mellitus	769220000
2532967014	Clinically significant macular oedema of right eye due to diabetes mellitus	769221001
12085891000006118	Clinically significant macular oedema of right eye co-occurrent and due to diabetes mellitus	769221001
12705021000006112	Clinically significant macular oedema of right eye due to diabetes mellitus	769221001
2532971012	O/E - left eye clinically significant macular oedema	769222008
12085921000006112	Clinically significant macular oedema of left eye due to diabetes mellitus	769222008
12085931000006110	Clinically significant macular oedema of left eye co-occurrent and due to diabetes mellitus	769222008
2159979014	Maculopathy of right eye with diabetes mellitus	769244003
12086281000006113	Diabetic maculopathy of right eye	769244003
14092431000006119	Disorder of right macula due to diabetes mellitus	769244003
2159980012	Maculopathy of left eye with diabetes mellitus	769245002
12086321000006119	Maculopathy of left eye due to diabetes mellitus	769245002
12086331000006116	Diabetic maculopathy of left eye	769245002
12086341000006114	Disorder of left macula co-occurrent and due to diabetes mellitus	769245002
14092441000006112	Disorder of left macula due to diabetes mellitus	769245002
12102571000006117	Clinically significant macular oedema with diabetes mellitus	770097006
12102611000006110	Clinically significant macular oedema due to diabetes mellitus	770097006
8242331000006114	Diabetic retinopathy detected by national screening programme	775841000000109
13488541000006117	Nonproliferative retinopathy of left eye due to diabetes mellitus	816177009
13488551000006115	Nonproliferative retinopathy of right eye due to diabetes mellitus	816178004
13949711000006112	Diabetic maculopathy of bilateral eyes present	860712005
13949731000006118	Bilateral maculopathy due to diabetes mellitus present	860712005
13973601000006116	Centrally involved macular oedema due to diabetes mellitus	871778008
8030601000006119	Macular oedema and retinopathy due to type 2 diabetes mellitus	97331000119101
