MedCodeId	Term	SnomedCTConceptId
12085021000006113	Preproliferative diabetic retinopathy of right eye	769181007
12085031000006111	Preproliferative retinopathy of right eye co-occurrent and due to diabetes mellitus	769181007
12085051000006116	Preproliferative diabetic retinopathy of left eye	769182000
12085171000006110	Moderate nonproliferative diabetic retinopathy of right eye	769185003
12085181000006113	Moderate non-proliferative diabetic retinopathy of right eye	769185003
12085251000006113	Severe nonproliferative diabetic retinopathy of right eye	769187006
12085271000006115	Severe nonproliferative retinopathy of right eye due to diabetes mellitus	769187006
12085281000006117	Severe NPDR (nonproliferative diabetic retinopathy) of right eye	769187006
12085291000006119	Severe nonproliferative diabetic retinopathy of left eye	769188001
12085351000006119	Very severe nonproliferative diabetic retinopathy of right eye	769190000
12085411000006113	Very severe NPDR (nonproliferative diabetic retinopathy) of left eye	769191001
13965721000006114	Severe nonproliferative diabetic retinopathy with venous beading	870420005
733161000000116	Impaired vision due to diabetic retinopathy	373041000000101
297755010	Advanced diabetic maculopathy	193350004
14071371000006113	Advanced maculopathy due to diabetes mellitus	193350004
5990541000006113	Advanced retinal disease	309594000
455408014	Advanced diabetic retinal disease	311782002
14077471000006114	Advanced retinal disease due to diabetes mellitus	311782002
1488434016	O/E - Laser photocoagulation scars	394718001
6546981000006111	On examination - Laser photocoagulation scars	394718001
6020121000006112	Panretinal photocoagulation	312713003
6020131000006110	Scatter retinal photocoagulation	312713003
6020141000006117	PRP	312713003
6020151000006115	Panretinal laser photocoagulation	312713003
6020161000006118	Scatter retinal laser photocoagulation	312713003
255339014	On examination - retinal vascular proliferation	163989008
2549896013	O/E - sight threatening diabetic retinopathy	417677008
