ProdCodeId	dmdid	TermFromEMIS	ProductName	Formulation	RouteOfAdministration	DrugSubstanceName	SubstanceStrength	BNFChapter	DrugIssues
2969541000033118	786911000001102	Candiden 500mg pessaries (Akita Pharmaceuticals Ltd)	Candiden 500mg pessaries	 Pessary	Vaginal	Clotrimazole	500.000mg	NA	673
3201841000033112	4094311000001104	Ecostatin-1 pessaries 150mg (Bristol-Myers Squibb Pharmaceuticals Ltd)	Ecostatin-1 pessaries 150mg	 Pessary	Vaginal	Econazole nitrate	150.000mg	NA	488
6035641000033116	18171311000001101	Gynoxin 200mg vaginal capsules (Recordati Pharmaceuticals Ltd)	Gynoxin 200mg vaginal capsules	Capsule/ Vaginal capsule	Vaginal	Fenticonazole nitrate	200.000mg	NA	99
6035741000033113	18171611000001106	Gynoxin 600mg vaginal capsules (Recordati Pharmaceuticals Ltd)	Gynoxin 600mg vaginal capsules	Capsule/ Vaginal capsule	Vaginal	Fenticonazole nitrate	600.000mg	NA	26
6035841000033115	18170711000001105	Gynoxin 2% vaginal cream (Recordati Pharmaceuticals Ltd)	Gynoxin 2% vaginal cream	Cream/ Vaginal cream	Vaginal	Fenticonazole nitrate	20.000mg/1.000gram	NA	62
8115441000033114	21119311000001103	Canesten Combi 500mg Soft Gel pessary and 2% cream (Bayer Plc)	Canesten Combi 500mg Soft Gel pessary and External 2% cream	Not applicable	NA	NA	NA	NA	7988
8115541000033110	21119711000001104	Canesten 500mg Soft Gel pessaries (Bayer Plc)	Canesten Thrush 500mg Soft Gel pessaries	 Pessary	Vaginal	Clotrimazole	500.000mg	NA	3277
14265141000033118	321911000001104	Canesten Thrush 500mg pessaries (Bayer Plc)	Canesten Thrush 500mg pessaries	 Pessary	Vaginal	Clotrimazole	500.000mg	NA	47
14266341000033111	7389311000001109	Canesten Thrush Duo 150mg Oral capsules & External 2% cream (Bayer Plc)	Canesten Thrush Duo 150mg Oral capsules & External 2% cream	Not applicable	NA	NA	NA	NA	34
14276441000033112	42526411000001101	Canesten Thrush Combi Internal 10% & External 2% cream (Bayer Plc)	Canesten Thrush Combi Internal 10% & External 2% cream	Not applicable	NA	NA	NA	NA	4
266341000033117	36565511000001102	Clotrimazole 10% vaginal cream	Clotrimazole 10% vaginal cream	Cream/ Vaginal cream	Vaginal	Clotrimazole	100.000mg/1.000gram	07020200	362678
266441000033111	NA	Clotrimazole 1%+500 Mg  Cream+ pessary  	NA	NA	NA	NA	NA	NA	26179
288441000033112	NA	Clotrimazole  Vaginal cream  2 %	NA	NA	NA	NA	NA	NA	18047
288541000033113	39705511000001107	Clotrimazole 200mg pessaries	Clotrimazole 200mg pessaries	 Pessary	Vaginal	Clotrimazole	200.000mg	07020200	822801
288741000033117	39705211000001109	Clotrimazole 100mg pessaries	Clotrimazole 100mg pessaries	 Pessary	Vaginal	Clotrimazole	100.000mg	07020200	137156
288841000033110	39705811000001105	Clotrimazole 500mg pessaries	Clotrimazole 500mg pessaries	 Pessary	Vaginal	Clotrimazole	500.000mg	07020200	1266867
494241000033116	NA	Econazole 1% +150Mg  Cream+ pessary  	NA	NA	NA	NA	NA	NA	7689
495141000033112	NA	Econazole Nitrate 1  Pessary  150 mg	NA	NA	NA	NA	NA	NA	8484
495441000033116	41786011000001102	Econazole 150mg pessaries	Econazole 150mg pessaries	 Pessary	Vaginal	Econazole nitrate	150.000mg	07020200	56044
568641000033117	NA	Fenticonazole Nitrate  Pessaries  200 mg	NA	NA	NA	NA	NA	NA	2195
568741000033114	NA	Fenticonazole Nitrate  Pessaries  600 mg	NA	NA	NA	NA	NA	NA	2247
788241000033119	NA	Isoconazole Nitrate  Vaginal tablets  300 mg	NA	NA	NA	NA	NA	NA	139
906641000033110	39719011000001100	Miconazole 100mg pessaries and Miconazole 2% cream	Miconazole 100mg pessaries and Miconazole 2% cream	Not applicable	Route of administration not applicable	NA	NA	07020200	14064
912541000033113	41903411000001106	Miconazole 2% vaginal cream	Miconazole 2% vaginal cream	Cream/ Vaginal cream	Vaginal	Miconazole nitrate	20.000mg/1.000gram	07020200	84387
916341000033117	36036011000001108	Miconazole 1.2g vaginal capsules	Miconazole 1.2g vaginal capsules	Capsule/ Vaginal capsule	Vaginal	Miconazole nitrate	1.200gram	07020200	29193
916641000033113	41792211000001105	Miconazole 100mg pessaries	Miconazole 100mg pessaries	 Pessary	Vaginal	Miconazole nitrate	100.000mg	07020200	26297
920541000033115	NA	Miconazole Nitrate  Tampons  100 mg	NA	NA	NA	NA	NA	NA	91
996241000033114	39720111000001103	Nystatin 100,000unit pessaries	Nystatin 100,000unit pessaries	 Pessary	Vaginal	Nystatin	100000.000unit + 100000.000unit	07020200	24589
997341000033119	41904311000001102	Nystatin 100,000units/4g application vaginal cream	Nystatin 100,000units/4g application vaginal cream	Cream/ Vaginal cream	Vaginal	Nystatin	25000.000unit/1.000gram + 25000.000unit/1.000gram	07020200	15455
1721041000033110	NA	Clotrimazole  Pessary and cream  	NA	NA	NA	NA	NA	NA	11336
2147941000033114	39706111000001109	Clotrimazole 500mg pessary and Clotrimazole 2% cream	Clotrimazole 500mg pessary and Clotrimazole 2% cream	Not applicable	Route of administration not applicable	NA	NA	07020200	2780000
2827241000033114	NA	Miconazole Nitrate  Vaginal Capsules  400 mg	NA	NA	NA	NA	NA	NA	146
3191241000033113	NA	Econazole Nitrate 1  Pessary and cream  150 mg + 1 %	NA	NA	NA	NA	NA	NA	1271
6035341000033112	18172211000001102	Fenticonazole 600mg vaginal capsules	Fenticonazole 600mg vaginal capsules	Capsule/ Vaginal capsule	Vaginal	Fenticonazole nitrate	600.000mg	07020200	125
6035441000033118	18172111000001108	Fenticonazole 200mg vaginal capsules	Fenticonazole 200mg vaginal capsules	Capsule/ Vaginal capsule	Vaginal	Fenticonazole nitrate	200.000mg	07020200	493
6035541000033117	18172011000001107	Fenticonazole 2% vaginal cream	Fenticonazole 2% vaginal cream	Cream/ Vaginal cream	Vaginal	Fenticonazole nitrate	20.000mg/1.000gram	07020200	270
14254541000033116	42368911000001103	Econazole 1% vaginal cream	Econazole 1% vaginal cream	Cream/ Vaginal cream	Vaginal	Econazole nitrate	10.000mg/1.000gram	07020200	33
2827341000033116	NA	Gyno-Daktarin Vaginal Capsules 400 mg	NA	NA	NA	NA	NA	NA	0
5144441000033110	NA	Gyno-Daktarin Vaginal Capsules 200 mg	NA	NA	NA	NA	NA	NA	0
188541000033111	NA	Canesten 10% Vc Vaginal cream 10 %	NA	NA	NA	NA	NA	NA	0
5123741000033115	NA	Lomexin T Ovule 1000 mg	NA	NA	NA	NA	NA	NA	0
