drug_class,generic_name,brand_name
MFN,Metformin,Glucorex
MFN,Metformin,Glyformin
MFN,Metformin,Janumet
MFN,Metformin,Jentadueto
MFN,Metformin,Jesacrin
MFN,Metformin,Kazano
MFN,Metformin,Kombiglyze
MFN,Metformin,Komboglyze
MFN,Metformin,Ledermetin
MFN,Metformin,Meijumet
MFN,Metformin,Metabet
MFN,Metformin,Metformin
MFN,Metformin,Metsol
MFN,Metformin,Metuxtan
MFN,Metformin,Milform
MFN,Metformin,Ristfor
MFN,Metformin,Segluromet
MFN,Metformin,Sukkarto
MFN,Metformin,Synjardy
MFN,Metformin,Vipdomet
MFN,Metformin,Vokanamet
MFN,Metformin,Xigduo
MFN,Metformin,Yaltormin
PFN,Phenformin,Dibotin
PFN,Phenformin,Phenformin
SGLT2,Canagliflozin,Canagliflozin
SGLT2,Canagliflozin,Invokana
SGLT2,Canagliflozin,Silusent
SGLT2,Canagliflozin,Vokanamet
SGLT2,Dapagliflozin,Dapagliflozin
SGLT2,Dapagliflozin,Forxiga
SGLT2,Dapagliflozin,Qtern
SGLT2,Dapagliflozin,Xigduo
SGLT2,Empagliflozin,Empagliflozin
SGLT2,Empagliflozin,Glyxambi
SGLT2,Empagliflozin,Jardiance
SGLT2,Empagliflozin,Synjardy
SGLT2,Ertugliflozin,Ertugliflozin
SGLT2,Ertugliflozin,Segluromet
SGLT2,Ertugliflozin,Steglatro
SU,Acetohexamide,Acetohexamide
SU,Acetohexamide,Dimelor
SU,Chlorpropamide,Chlorpropamide
SU,Chlorpropamide,Diabemide
SU,Chlorpropamide,Diabinese
SU,Chlorpropamide,Glymese
SU,Chlorpropamide,Melitase
SU,Glibenclamide,Abbenclamide
SU,Glibenclamide,Amglidia
SU,Glibenclamide,Calabren
SU,Glibenclamide,Daonil
SU,Glibenclamide,Diabetamide
SU,Glibenclamide,Euglucon
SU,Glibenclamide,Glibenclamide
SU,Glibenclamide,Gliken
SU,Glibenclamide,Lederglib
SU,Glibenclamide,Libanil
SU,Glibenclamide,Malix
SU,Glibornuride,Glibornuride
SU,Glibornuride,Glutril
SU,Gliclazide,Bilxona
SU,Gliclazide,Dacadis
SU,Gliclazide,Diaglyk
SU,Gliclazide,Diamicron
SU,Gliclazide,Edicil
SU,Gliclazide,Gliclazide
SU,Gliclazide,Glimil
SU,Gliclazide,Glydex
SU,Gliclazide,Laaglyda
SU,Gliclazide,Lamzarin
SU,Gliclazide,Nazdol
SU,Gliclazide,Vamju
SU,Gliclazide,Vitile
SU,Gliclazide,Vivazide
SU,Gliclazide,Ziclaseg
SU,Gliclazide,Zicron
SU,Glimepiride,Amaryl
SU,Glimepiride,Amaryl M
SU,Glimepiride,Avandaryl
SU,Glimepiride,Glimepiride
SU,Glimepiride,Niddaryl
SU,Glipizide,Glibenese
SU,Glipizide,Glipizide
SU,Glipizide,Minodiab
SU,Gliquidone,Gliquidone
SU,Gliquidone,Glurenorm
SU,Glymidine,Glymidine
SU,Glymidine,Gondafon
SU,Glymidine,Redul
SU,Grenamide,Grenamide
SU,Tolazamide,Tolanase
SU,Tolazamide,Tolazamide
SU,Tolbutamide,Glyconon
SU,Tolbutamide,Orabet
SU,Tolbutamide,Pramidex
SU,Tolbutamide,Rastinon
SU,Tolbutamide,Tolbutamide
TZD,Pioglitazone,Actos
TZD,Pioglitazone,Competact
TZD,Pioglitazone,Diabiom
TZD,Pioglitazone,Glidipion
TZD,Pioglitazone,Glizofar
TZD,Pioglitazone,Pioglitazone
TZD,Rosiglitazone,Avandamet
TZD,Rosiglitazone,Avandaryl
TZD,Rosiglitazone,Avandia
TZD,Rosiglitazone,Rosiglitazone
TZD,Troglitazone,Rezulin
TZD,Troglitazone,Romozin
TZD,Troglitazone,Troglitazone
