Generic_name,Brand_name,Drug_class1,Drug_class2,Drug_class3
Hydrochlorothiazide / Lisinopril,Carace 10 Plus,thiazide,ACEi,
Hydrochlorothiazide / Lisinopril,Carace 20 Plus,thiazide,ACEi,
Hydrochlorothiazide / Lisinopril,Caralpha,thiazide,ACEi,
Hydrochlorothiazide / Lisinopril,Lisicostad,thiazide,ACEi,
Hydrochlorothiazide / Lisinopril,Lisoretic,thiazide,ACEi,
Hydrochlorothiazide / Lisinopril,Zestoretic,thiazide,ACEi,
Hydrochlorothiazide / Losartan,Cozaar-Comp,thiazide,ARB,
Hydrochlorothiazide / Metoprolol,Co-betaloc,thiazide,bb,
Hydrochlorothiazide / Olmesartan,Olmetec Plus,thiazide,ARB,
Hydrochlorothiazide / Quinapril,Accuretic,thiazide,ACEi,
Hydrochlorothiazide / Telmisartan,Actelsar HCT,thiazide,ARB,
Hydrochlorothiazide / Telmisartan,MicardisPlus,thiazide,ARB,
Hydrochlorothiazide / Telmisartan,Tolucombi,thiazide,ARB,
Hydrochlorothiazide / Triamterene,Co-triamterzide,thiazide,k-sparing,
Hydrochlorothiazide / Triamterene,Dyazide,thiazide,k-sparing,
Hydrochlorothiazide / Triamterene,Triam-Co,thiazide,k-sparing,
Hydrochlorothiazide / Triamterene,Triamaxco,thiazide,k-sparing,
Hydrochlorothiazide / Valsartan,Co-diovan,thiazide,ARB,
Hydroflumethiazide,Hydroflumethiazide,thiazide,,
Hydroflumethiazide / Spironolactone,Aldactide,thiazide,k-sparing,
Hydroflumethiazide / Spironolactone,Co-flumactone,thiazide,k-sparing,
Hydroflumethiazide / Spironolactone,Spiro-co,thiazide,k-sparing,
Indapamide,Indapamide,thiazide,,
Indapamide,Alkapamid,thiazide,,
Indapamide,Cardide,thiazide,,
Indapamide,Ethibide,thiazide,,
Indapamide,Indipam,thiazide,,
Indapamide,Lorvacs,thiazide,,
Indapamide,Mapemid,thiazide,,
Indapamide,Natrilix,thiazide,,
Indapamide,Nindaxa,thiazide,,
Indapamide,Rawel,thiazide,,
Indapamide,Tensaid,thiazide,,
Indapamide,Varbim,thiazide,,
Indapamide / Perindopril,Coversyl Arginine Plus,thiazide,ACEi,
Indapamide / Perindopril,Coversyl Plus,thiazide,ACEi,
Mefruside,Mefruside,thiazide,,
Mefruside,Baycaron,thiazide,,
Methyclothiazide,Methyclothiazide,thiazide,,
Metolazone,Metolazone,thiazide,,
Metolazone,Metenix,thiazide,,
Metolazone,Xaqua,thiazide,,
Metolazone,Zaroxolyn,thiazide,,
Piretanide,Piretanide,loop,,
Piretanide,Arelix,loop,,
Polythiazide,Polythiazide,thiazide,,
Polythiazide,Nephril,thiazide,,
Spirolactone / Propranolol,Spiroprop,k-sparing,bb,
Spironolactone,Spironolactone,k-sparing,,
Spironolactone,Aldactone,k-sparing,,
Spironolactone,Diatensec,k-sparing,,
Spironolactone,Spiretic,k-sparing,,
Spironolactone,Spiroctan,k-sparing,,
Spironolactone,Spirolone,k-sparing,,
Spironolactone,Spirospare,k-sparing,,
Torasemide,Torasemide,loop,,
Torasemide,Torem,loop,,
Torasemide,Torsemide,loop,,
Triamterene,Triamterene,k-sparing,,
Triamterene,Dytac,k-sparing,,
Xipamide,Xipamide,thiazide,,
Xipamide,Diurexan,thiazide,,
Bendroflumethiazide / Reserpine,Abicol,thiazide,,
Benzthiazide,Benthiazide,thiazide,,
Bendroflumethiazide,Berkozide,thiazide,,
Hydrochlorothiazide / Captopril,Capto-co,thiazide,ACEi,
Benzthiazide / Methoserpidine,Decaserpyl plus,thiazide,,
Hydrochlorothiazide / Amiloride,Hypertane,thiazide,k-sparing,
Chlorothiazide,Diuril,thiazide,,
Chlorothiazide,Saluric,thiazide,,
Hydrochlorothiazide / Sotalol,Sotazide,thiazide,bb,
Hydrochlorothiazide / Sotalol,Tolerzide,thiazide,bb,
Methyclothiazide,Enduron,thiazide,,
Hydrochlorothiazide,Esidrex,thiazide,,
Hydrochlorothiazide,Hydrenox,thiazide,,
Bendroflumethiazide / Meprobamate,Tenavoid,thiazide,,
Indapamide,Natramid,thiazide,,
Indapamide,Opumide,thiazide,,
Bendroflumethiazide,Neo-bendromax,thiazide,,
Chlortalidone / Atenolol,Totaretic,thiazide,bb,
Chlortalidone / Metoprolol,Lopresoretic,thiazide,bb,
Metolazone,Xuret,thiazide,,
Hydrochlorothiazide / Amiloride,Midamor,thiazide,k-sparing,
