readcode,term_readcode,CodingSystem,Category,MedCodeId,Term,OriginalReadCode,CleansedReadCode,SnomedCTConceptId,SnomedCTDescriptionId,Release,EmisCodeCategoryId,final_readcode
Ub0mi#,Ashamed of drinking,CTV3,AlcoholConsumptionLevel1,NA#,NA,NA,NA,NA,NA,NA,NA,Ub0mi#
X007p#,Hangover from alcohol,CTV3,AlcoholConsumptionLevel1,NA#,NA,NA,NA,NA,NA,NA,NA,X007p#
X00Rm#,Acute alcohol intoxication,CTV3,AlcoholConsumptionLevel1,NA#,NA,NA,NA,NA,NA,NA,NA,X00Rm#
X00Rn#,Inebriety NOS,CTV3,AlcoholConsumptionLevel1,NA#,NA,NA,NA,NA,NA,NA,NA,X00Rn#
X00Ro#,Drunkenness NOS,CTV3,AlcoholConsumptionLevel1,NA#,NA,NA,NA,NA,NA,NA,NA,X00Ro#
XacHR#,Family wellbeing discussion about alcohol,CTV3,AlcoholConsumptionLevel1,NA#,NA,NA,NA,NA,NA,NA,NA,XacHR#
XaFvp#,Patient advised about alcohol,CTV3,AlcoholConsumptionLevel1,NA#,NA,NA,NA,NA,NA,NA,NA,XaFvp#
XaFw4#,Pain in lymph nodes after alcohol consumption,CTV3,AlcoholConsumptionLevel1,NA#,NA,NA,NA,NA,NA,NA,NA,XaFw4#
XaJIr#,Lifestyle advice regarding alcohol,CTV3,AlcoholConsumptionLevel1,NA#,NA,NA,NA,NA,NA,NA,NA,XaJIr#
XaKAn#,Alcohol questionnaire completed,CTV3,AlcoholConsumptionLevel1,NA#,NA,NA,NA,NA,NA,NA,NA,XaKAn#
XaMwb#,Alcohol screen - alcohol use disorder identification test consumption questions completed,CTV3,AlcoholConsumptionLevel1,NA#,NA,NA,NA,NA,NA,NA,NA,XaMwb#
XaMwZ#,Alcohol screen - alcohol use disorder identification test completed,CTV3,AlcoholConsumptionLevel1,NA#,NA,NA,NA,NA,NA,NA,NA,XaMwZ#
XaNO9#,FAST - Fast Alcohol Screening Test,CTV3,AlcoholConsumptionLevel1,NA#,NA,NA,NA,NA,NA,NA,NA,XaNO9#
XaNOA#,Alcohol consumption screening test declined,CTV3,AlcoholConsumptionLevel1,NA#,NA,NA,NA,NA,NA,NA,NA,XaNOA#
XaORO#,Single alcohol screening questionnaire,CTV3,AlcoholConsumptionLevel1,NA#,NA,NA,NA,NA,NA,NA,NA,XaORO#
XaORP#,Alcohol use disorder identification test consumption questionnaire,CTV3,AlcoholConsumptionLevel1,NA#,NA,NA,NA,NA,NA,NA,NA,XaORP#
XaRC8#,Five-shot questionnaire on heavy drinking,CTV3,AlcoholConsumptionLevel1,NA#,NA,NA,NA,NA,NA,NA,NA,XaRC8#
XaXan#,Advised to abstain from alcohol consumption,CTV3,AlcoholConsumptionLevel1,NA#,NA,NA,NA,NA,NA,NA,NA,XaXan#
XaXjf#,Lower risk drinking,CTV3,AlcoholConsumptionLevel1,NA#,NA,NA,NA,NA,NA,NA,NA,XaXjf#
XE0of#,Trivial drinker - <1u/day,CTV3,AlcoholConsumptionLevel1,NA#,NA,NA,NA,NA,NA,NA,NA,XE0of#
XM0aC#,Alcohol dependence scale,CTV3,AlcoholConsumptionLevel1,NA#,NA,NA,NA,NA,NA,NA,NA,XM0aC#
XM0il#,Short alcohol dependence data,CTV3,AlcoholConsumptionLevel1,NA#,NA,NA,NA,NA,NA,NA,NA,XM0il#
XM1D0#,Finding of alcohol in blood,CTV3,AlcoholConsumptionLevel1,NA#,NA,NA,NA,NA,NA,NA,NA,XM1D0#
ZV791#,[V]Screening for alcoholism,CTV3,AlcoholConsumptionLevel1,461292011#,Screening for alcohol abuse,ZV791,ZV79100,713107002,3288139019,NA,32,ZV79100#
1362.#,Trivial drinker - <1u/day,READ2,AlcoholConsumptionLevel1,397729013#,Trivial drinker - <1u/day,1362,1362,266917007,397729013,NA,17,1362.00#
1362.#,Trivial drinker - <1u/day,READ2,AlcoholConsumptionLevel1,629811000006113#,Occasional drinker,1362-2,1362.12,228276006,342318019,NA,17,1362.12#
1362.#,Trivial drinker - <1u/day,READ2,AlcoholConsumptionLevel1,629821000006117#,Drinks rarely,1362-1,1362.11,266917007,397729013,NA,17,1362.11#
1363.#,Light drinker - 1-2u/day,READ2,AlcoholConsumptionLevel1,250312016#,Light drinker - 1-2u/day,1363,1363,160575005,250312016,NA,17,1363.00#
136d.#,Lower risk drinking,READ2,AlcoholConsumptionLevel1,1738421000000111#,Lower risk drinking,136d,136d.00,7.77671E+14,1.73842E+15,NA,17,136d.00#
136F.#,Spirit drinker,READ2,AlcoholConsumptionLevel1,250331010#,Spirit drinker,136F,136F.00,160588008,250331010,NA,17,136F.00#
136G.#,Beer drinker,READ2,AlcoholConsumptionLevel1,250332015#,Beer drinker,136G,136G.00,160589000,250332015,NA,17,136G.00#
136H.#,Drinks beer and spirits,READ2,AlcoholConsumptionLevel1,250333013#,Drinks beer and spirits,136H,136H.00,160590009,250333013,NA,17,136H.00#
136I.#,Drinks wine,READ2,AlcoholConsumptionLevel1,250334019#,Drinks wine,136I,136I.00,160591008,250334019,NA,17,136I.00#
136J.#,Social drinker,READ2,AlcoholConsumptionLevel1,47085011#,Social drinker,136J,136J.00,28127009,47085011,NA,17,136J.00#
136L.#,Alcohol intake within recommended sensible limits,READ2,AlcoholConsumptionLevel1,250340014#,Alcohol intake within recommended sensible limits,136L,136L.00,160593006,250340014,NA,17,136L.00#
136N.#,Light drinker,READ2,AlcoholConsumptionLevel1,342320016#,Light drinker,136N,136N.00,228277002,342320016,NA,17,136N.00#
136Z.#,Alcohol consumption NOS,READ2,AlcoholConsumptionLevel1,476411000006118#,Alcohol consumption NOS,136Z,136Z.00,160573003,1221271018,NA,17,136Z.00#
1D19.#,Pain in lymph nodes after alcohol consumption,READ2,AlcoholConsumptionLevel1,459715013#,Pain in lymph nodes after alcohol consumption,1D19,1D19.00,315226008,459715013,NA,27,1D19.00#
388u.#,Fast alcohol screening test,READ2,AlcoholConsumptionLevel1,538891000000111#,FAST (Fast Alcohol Screening Test) score,388u,388u.00,1.0846E+15,2.71772E+15,NA,3,388u.00#
38Df.#,Five-shot questionnaire on heavy drinking,READ2,AlcoholConsumptionLevel1,1168961000000110#,Five-Shot questionnaire score,38Df,38Df.00,763106009,3700227010,NA,3,38Df.00#
67H0.#,Lifestyle advice regarding alcohol,READ2,AlcoholConsumptionLevel1,936001000006111#,Advice relating to alcohol consumption,67H0,67H0.00,281078001,2575919017,NA,17,67H0.00#
8CAM.#,Patient advised about alcohol,READ2,AlcoholConsumptionLevel1,240741000006114#,Education about alcohol consumption,8CAM,8CAM.00,281078001,2871969016,NA,17,8CAM.00#
8CAM0#,Advised to abstain from alcohol consumption,READ2,AlcoholConsumptionLevel1,1724531000000116#,Advised to abstain from alcohol consumption,8CAM0,8CAM000,704106009,3010632015,NA,32,8CAM000#
ZV791#,[V]Screening for alcoholism,READ2,AlcoholConsumptionLevel1,461292011#,Screening for alcohol abuse,ZV791,ZV79100,713107002,3288139019,NA,32,ZV79100#
1364.#,Moderate drinker - 3-6u/day,CTV3,AlcoholConsumptionLevel2,250313014#,Moderate drinker - 3-6u/day,1364,1364,160576006,250313014,NA,17,1364.00#
136K.#,Alcohol intake above recommended sensible limits,CTV3,AlcoholConsumptionLevel2,250335018#,Alcohol intake above recommended sensible limits,136K,136K.00,160592001,250335018,NA,17,136K.00#
2577.#,O/E - breath - alcohol smell,CTV3,AlcoholConsumptionLevel2,254305017#,O/E - breath - alcohol smell,2577,2577,163184002,254305017,NA,27,2577.00#
2577.#,O/E - breath - alcohol smell,CTV3,AlcoholConsumptionLevel2,254306016#,O/E - alcoholic breath,2577-1,2577.11,163184002,254306016,NA,27,2577.11#
6792.#,Health education - alcohol,CTV3,AlcoholConsumptionLevel2,817981000006115#,Health education - alcohol,6792,6792,408947007,2579616015,NA,17,6792.00#
8CE1.#,Alcohol leaflet given,CTV3,AlcoholConsumptionLevel2,283028013#,Alcohol leaflet given,8CE1,8CE1.00,183098002,283028013,NA,32,8CE1.00#
J153.#,Alcoholic gastritis,CTV3,AlcoholConsumptionLevel2,4525015#,Alcoholic gastritis,J153,J153.00,2043009,4525015,NA,32,J153.00#
J610.#,Alcoholic fatty liver,CTV3,AlcoholConsumptionLevel2,83834016#,Alcoholic fatty liver,J610,J610.00,50325005,83834016,NA,32,J610.00#
J611.#,Acute alcoholic hepatitis,CTV3,AlcoholConsumptionLevel2,17390014#,Acute alcoholic hepatitis,J611,J611.00,9953008,17390014,NA,32,J611.00#
J613.#,Alcoholic liver damage unspecified,CTV3,AlcoholConsumptionLevel2,886501000006115#,Alcoholic liver damage NOS,J613-99,J613.99,5.89511E+14,8.86501E+14,NA,32,J613.99#
J613.#,Alcoholic liver damage unspecified,CTV3,AlcoholConsumptionLevel2,303399018#,Alcoholic liver damage,J613,J613.00,41309000,68906017,NA,32,J613.00#
R103.#,[D]Alcohol blood level excessive,CTV3,AlcoholConsumptionLevel2,317636014#,High ethanol level in blood,R103,R103.00,441685000,2817390013,NA,32,R103.00#
SLH3.#,Alcohol deterrent poisoning,CTV3,AlcoholConsumptionLevel2,1225183017#,Alcohol deterrent poisoning,SLH3,SLH3.00,27134008,1225183017,NA,32,SLH3.00#
SM000#,Ethanol causing toxic effect,CTV3,AlcoholConsumptionLevel2,1234742013#,Ethanol causing toxic effect,SM000,SM00000,82782008,1234742013,NA,32,SM00000#
U209.#,[X]Intentional self poisoning by and exposure to alcohol,CTV3,AlcoholConsumptionLevel2,393861000006111#,[X]Intentional self poisoning by and exposure to alcohol,U209,U209.00,271982007,407014015,NA,32,U209.00#
Ua1Ml#,Alcohol reduction programme,CTV3,AlcoholConsumptionLevel2,NA#,NA,NA,NA,NA,NA,NA,NA,Ua1Ml#
Ua1Mm#,Alcohol withdrawal regime,CTV3,AlcoholConsumptionLevel2,NA#,NA,NA,NA,NA,NA,NA,NA,Ua1Mm#
Ub0lM#,Moderate drinker,CTV3,AlcoholConsumptionLevel2,NA#,NA,NA,NA,NA,NA,NA,NA,Ub0lM#
Ub0lR#,Problem drinker,CTV3,AlcoholConsumptionLevel2,NA#,NA,NA,NA,NA,NA,NA,NA,Ub0lR#
Ub0ly#,Binge drinker,CTV3,AlcoholConsumptionLevel2,NA#,NA,NA,NA,NA,NA,NA,NA,Ub0ly#
Ub0lz#,Alcoholic binges exceeding sensible amounts,CTV3,AlcoholConsumptionLevel2,NA#,NA,NA,NA,NA,NA,NA,NA,Ub0lz#
Ub0m1#,Regular drinker,CTV3,AlcoholConsumptionLevel2,NA#,NA,NA,NA,NA,NA,NA,NA,Ub0m1#
Ub0m2#,Daily drinker,CTV3,AlcoholConsumptionLevel2,NA#,NA,NA,NA,NA,NA,NA,NA,Ub0m2#
Ub0mh#,Attitude to drinking,CTV3,AlcoholConsumptionLevel2,NA#,NA,NA,NA,NA,NA,NA,NA,Ub0mh#
Ub0mI#,Drinking takes priority over social obligations,CTV3,AlcoholConsumptionLevel2,NA#,NA,NA,NA,NA,NA,NA,NA,Ub0mI#
Ub0mj#,Feels should cut down drinking,CTV3,AlcoholConsumptionLevel2,NA#,NA,NA,NA,NA,NA,NA,NA,Ub0mj#
Ub0mJ#,Drinking takes priority over family obligations,CTV3,AlcoholConsumptionLevel2,NA#,NA,NA,NA,NA,NA,NA,NA,Ub0mJ#
Ub0mK#,Drinking takes priority over financial obligations,CTV3,AlcoholConsumptionLevel2,NA#,NA,NA,NA,NA,NA,NA,NA,Ub0mK#
Ub0ml#,Feels afraid of being an alcoholic,CTV3,AlcoholConsumptionLevel2,NA#,NA,NA,NA,NA,NA,NA,NA,Ub0ml#
Ub0mN#,Unable to control drinking,CTV3,AlcoholConsumptionLevel2,NA#,NA,NA,NA,NA,NA,NA,NA,Ub0mN#
Ub0mO#,Unable to abstain from drinking,CTV3,AlcoholConsumptionLevel2,NA#,NA,NA,NA,NA,NA,NA,NA,Ub0mO#
Ub0mP#,Unable to control drinking once started,CTV3,AlcoholConsumptionLevel2,NA#,NA,NA,NA,NA,NA,NA,NA,Ub0mP#
Ub0mQ#,Unable to control spontaneous drinking bouts,CTV3,AlcoholConsumptionLevel2,NA#,NA,NA,NA,NA,NA,NA,NA,Ub0mQ#
Ub0mR#,Unable to stop drinking before intoxication,CTV3,AlcoholConsumptionLevel2,NA#,NA,NA,NA,NA,NA,NA,NA,Ub0mR#
X308j#,Alcohol-induced acute pancreatitis,CTV3,AlcoholConsumptionLevel2,NA#,NA,NA,NA,NA,NA,NA,NA,X308j#
Xa7On#,Alcoholism counselling,CTV3,AlcoholConsumptionLevel2,NA#,NA,NA,NA,NA,NA,NA,NA,Xa7On#
XaboV#,Referral to mental health services deferred until alcohol misuse resolved,CTV3,AlcoholConsumptionLevel2,NA#,NA,NA,NA,NA,NA,NA,NA,XaboV#
XabUM#,Hospital alcohol liaison team report received,CTV3,AlcoholConsumptionLevel2,NA#,NA,NA,NA,NA,NA,NA,NA,XabUM#
XaBYL#,Alcohol-induced flushing,CTV3,AlcoholConsumptionLevel2,NA#,NA,NA,NA,NA,NA,NA,NA,XaBYL#
Xac6H#,Specialist alcohol treatment service signposted,CTV3,AlcoholConsumptionLevel2,NA#,NA,NA,NA,NA,NA,NA,NA,Xac6H#
XacTX#,Emergency department attendance related to personal alcohol consumption,CTV3,AlcoholConsumptionLevel2,NA#,NA,NA,NA,NA,NA,NA,NA,XacTX#
XacTY#,Hospital attendance related to personal alcohol consumption,CTV3,AlcoholConsumptionLevel2,NA#,NA,NA,NA,NA,NA,NA,NA,XacTY#
XaIN4#,Under care of community alcohol team,CTV3,AlcoholConsumptionLevel2,NA#,NA,NA,NA,NA,NA,NA,NA,XaIN4#
XaIPn#,Referral to community alcohol team,CTV3,AlcoholConsumptionLevel2,NA#,NA,NA,NA,NA,NA,NA,NA,XaIPn#
XaK9f#,Alcohol misuse enhanced services administration,CTV3,AlcoholConsumptionLevel2,NA#,NA,NA,NA,NA,NA,NA,NA,XaK9f#
XaKAC#,Alcohol consumption counselling,CTV3,AlcoholConsumptionLevel2,NA#,NA,NA,NA,NA,NA,NA,NA,XaKAC#
XaKAo#,Alcohol counselling by other agencies,CTV3,AlcoholConsumptionLevel2,NA#,NA,NA,NA,NA,NA,NA,NA,XaKAo#
XaKvA#,Hazardous alcohol use,CTV3,AlcoholConsumptionLevel2,NA#,NA,NA,NA,NA,NA,NA,NA,XaKvA#
XaLQs#,Discussion about maternal wellbeing - alcohol,CTV3,AlcoholConsumptionLevel2,NA#,NA,NA,NA,NA,NA,NA,NA,XaLQs#
XaMhj#,Disqualified from driving due to excess alcohol,CTV3,AlcoholConsumptionLevel2,NA#,NA,NA,NA,NA,NA,NA,NA,XaMhj#
XaMwb#,Alcohol screen - alcohol use disorder identification test consumption questions completed,CTV3,AlcoholConsumptionLevel2,NA#,NA,NA,NA,NA,NA,NA,NA,XaMwb#
XaMwZ#,Alcohol screen - alcohol use disorder identification test completed,CTV3,AlcoholConsumptionLevel2,NA#,NA,NA,NA,NA,NA,NA,NA,XaMwZ#
XaORP#,Alcohol use disorder identification test consumption questionnaire,CTV3,AlcoholConsumptionLevel2,NA#,NA,NA,NA,NA,NA,NA,NA,XaORP#
XaORR#,Referral to specialist alcohol treatment service,CTV3,AlcoholConsumptionLevel2,NA#,NA,NA,NA,NA,NA,NA,NA,XaORR#
XaPmB#,Advised to contact primary care alcohol worker,CTV3,AlcoholConsumptionLevel2,NA#,NA,NA,NA,NA,NA,NA,NA,XaPmB#
XaPPv#,Brief intervention for excessive alcohol consumption completed,CTV3,AlcoholConsumptionLevel2,NA#,NA,NA,NA,NA,NA,NA,NA,XaPPv#
XaPty#,Brief intervention for excessive alcohol consumption declined,CTV3,AlcoholConsumptionLevel2,NA#,NA,NA,NA,NA,NA,NA,NA,XaPty#
XaPwp#,Declined referral to specialist alcohol treatment service,CTV3,AlcoholConsumptionLevel2,NA#,NA,NA,NA,NA,NA,NA,NA,XaPwp#
XaPwt#,Alcohol units consumed on heaviest drinking day,CTV3,AlcoholConsumptionLevel2,NA#,NA,NA,NA,NA,NA,NA,NA,XaPwt#
XaXjd#,Increasing risk drinking,CTV3,AlcoholConsumptionLevel2,NA#,NA,NA,NA,NA,NA,NA,NA,XaXjd#
XaXje#,Higher risk drinking,CTV3,AlcoholConsumptionLevel2,NA#,NA,NA,NA,NA,NA,NA,NA,XaXje#
XaXkb#,Referral to community alcohol team declined,CTV3,AlcoholConsumptionLevel2,NA#,NA,NA,NA,NA,NA,NA,NA,XaXkb#
XaYLJ#,"Cycle of change stage, alcohol",CTV3,AlcoholConsumptionLevel2,NA#,NA,NA,NA,NA,NA,NA,NA,XaYLJ#
XE0qe#,Excessive fluid intake,CTV3,AlcoholConsumptionLevel2,NA#,NA,NA,NA,NA,NA,NA,NA,XE0qe#
XM0c2#,Comprehensive drinker profile,CTV3,AlcoholConsumptionLevel2,NA#,NA,NA,NA,NA,NA,NA,NA,XM0c2#
XM0ii#,Severity of alcohol dependence questionnaire,CTV3,AlcoholConsumptionLevel2,NA#,NA,NA,NA,NA,NA,NA,NA,XM0ii#
XM0zW#,Alcohol blood elevated   [D],CTV3,AlcoholConsumptionLevel2,NA#,NA,NA,NA,NA,NA,NA,NA,XM0zW#
XSBcu#,Alcohol rehabilitation,CTV3,AlcoholConsumptionLevel2,NA#,NA,NA,NA,NA,NA,NA,NA,XSBcu#
1364.#,Moderate drinker - 3-6u/day,READ2,AlcoholConsumptionLevel2,250313014#,Moderate drinker - 3-6u/day,1364,1364,160576006,250313014,NA,17,1364.00#
136a.#,Increasing risk drinking,READ2,AlcoholConsumptionLevel2,1738341000000110#,Increasing risk drinking,136a,136a.00,7.77631E+14,1.73834E+15,NA,17,136a.00#
136b.#,Feels should cut down drinking,READ2,AlcoholConsumptionLevel2,342421016#,Feels should cut down drinking,136b,136b.00,228362008,342421016,NA,17,136b.00#
136c.#,Higher risk drinking,READ2,AlcoholConsumptionLevel2,1738381000000119#,Higher risk drinking,136c,136c.00,7.77651E+14,1.73838E+15,NA,17,136c.00#
136K.#,Alcohol intake above recommended sensible limits,READ2,AlcoholConsumptionLevel2,250335018#,Alcohol intake above recommended sensible limits,136K,136K.00,160592001,250335018,NA,17,136K.00#
136O.#,Moderate drinker,READ2,AlcoholConsumptionLevel2,73012011#,Moderate drinker,136O,136O.00,43783005,73012011,NA,17,136O.00#
136R.#,Binge drinker,READ2,AlcoholConsumptionLevel2,342366014#,Binge drinker,136R,136R.00,228315001,342366014,NA,17,136R.00#
136S.#,Hazardous alcohol use,READ2,AlcoholConsumptionLevel2,299061000000117#,Hazardous alcohol use,136S,136S.00,1.98421E+14,2.99061E+14,NA,17,136S.00#
136X.#,Alcohol units consumed on heaviest drinking day,READ2,AlcoholConsumptionLevel2,750721000000118#,Number of alcohol units consumed on heaviest drinking day,136X,136X.00,442547005,2819352010,NA,17,136X.00#
13ZY.#,Disqualified from driving due to excess alcohol,READ2,AlcoholConsumptionLevel2,480271000000113#,Disqualified from driving due to excess alcohol,13ZY,13ZY.00,2.79651E+14,4.80271E+14,NA,17,13ZY.00#
2577.#,O/E - breath - alcohol smell,READ2,AlcoholConsumptionLevel2,254305017#,O/E - breath - alcohol smell,2577,2577,163184002,254305017,NA,27,2577.00#
2577.#,O/E - breath - alcohol smell,READ2,AlcoholConsumptionLevel2,254306016#,O/E - alcoholic breath,2577-1,2577.11,163184002,254306016,NA,27,2577.11#
38Dz.#,Severity of alcohol dependence questionnaire,READ2,AlcoholConsumptionLevel2,409424013#,SADQ - Severity of alcohol dependence questionnaire,38Dz-1,38Dz.11,443504004,2839850016,NA,32,38Dz.11#
38Dz.#,Severity of alcohol dependence questionnaire,READ2,AlcoholConsumptionLevel2,409423019#,Severity of alcohol dependence questionnaire score,38Dz,38Dz.00,443504004,2839850016,NA,32,38Dz.00#
6792.#,Health ed. - alcohol,READ2,AlcoholConsumptionLevel2,817981000006115#,Health education - alcohol,6792,6792,408947007,2579616015,NA,17,6792.00#
67K6.#,"Cycle of change stage, alcohol",READ2,AlcoholConsumptionLevel2,1792751000000118#,"Cycle of change stage, alcohol",67K6,67K6.00,8.01811E+14,1.79275E+15,NA,17,67K6.00#
8CdK.#,Specialist alcohol treatment service signposted,READ2,AlcoholConsumptionLevel2,2419601000000110#,Specialist alcohol treatment service signposted,8CdK,8CdK.00,9.46101E+14,2.4196E+15,NA,32,8CdK.00#
8CE1.#,Alcohol leaflet given,READ2,AlcoholConsumptionLevel2,283028013#,Alcohol leaflet given,8CE1,8CE1.00,183098002,283028013,NA,32,8CE1.00#
8H7p.#,Referral to community alcohol team,READ2,AlcoholConsumptionLevel2,1484890014#,Referral to community alcohol team,8H7p,8H7p.00,390857005,1484890014,NA,40,8H7p.00#
8HkG.#,Referral to specialist alcohol treatment service,READ2,AlcoholConsumptionLevel2,622961000000116#,Referral to specialist alcohol treatment service,8HkG,8HkG.00,431260004,2768649019,NA,40,8HkG.00#
8IAF.#,Brief intervention for excessive alcohol consumption declined,READ2,AlcoholConsumptionLevel2,1704281000006117#,Brief intervention for excessive alcohol consumption declined,8IAF,8IAF.00,3.79411E+14,7.47421E+14,NA,32,8IAF.00#
8IAJ.#,Declined referral to specialist alcohol treatment service,READ2,AlcoholConsumptionLevel2,750531000000113#,Declined referral to specialist alcohol treatment service,8IAJ,8IAJ.00,3.80861E+14,7.50531E+14,NA,32,8IAJ.00#
8IEA.#,Referral to community alcohol team declined,READ2,AlcoholConsumptionLevel2,1746481000000112#,Referral to community alcohol team declined,8IEA,8IEA.00,7.81191E+14,1.74648E+15,NA,32,8IEA.00#
9EVD.#,Hospital alcohol liaison team report received,READ2,AlcoholConsumptionLevel2,2364891000000111#,Hospital alcohol liaison team report received,9EVD,9EVD.00,9.21441E+14,2.36489E+15,NA,37,9EVD.00#
