ProdCodeId	dmdid	Term.from.EMIS	ProductName	Formulation	RouteOfAdministration	DrugSubstanceName	SubstanceStrength	BNFChapter	Release
2289141000033111		Oestradiol Hemihydrate Nasal spray 150 micrograms/metered spray	Oestradiol Hemihydrate Nasal spray 150 micrograms/metered spray						
2484341000033114		*Oestriol Tablets	*Oestriol Tablets						
3102141000033111		*Estriol Powder	*Estriol Powder						
1000341000033112		Oestradiol Tablets 2 mg	Oestradiol Tablets 2 mg						
1001341000033116		Oestradiol Transdermal patches 50 micrograms/24 hrs	Oestradiol Transdermal patches 50 micrograms/24 hrs						
1021941000033113		Ovestin Tablets 250 micrograms	Ovestin Tablets 250 micrograms						
3099041000033111		Estradiol Transdermal patches (7 days) 100 micrograms/24 hrs	Estradiol Transdermal patches (7 days) 100 micrograms/24 hrs						
3099241000033115		Estradiol Transdermal patches (7 days) 75 micrograms/24 hrs	Estradiol Transdermal patches (7 days) 75 micrograms/24 hrs						
550641000033110		Ethinyloestradiol Tablets 1 mg	Ethinyloestradiol Tablets 1 mg						
686041000033118		Hormofemin Cream 0.025 %	Hormofemin Cream 0.025 %						
1002141000033110		Oestradiol Hemihydrate Vaginal ring 7.5 micrograms/24 hrs (2 mg ring)	Oestradiol Hemihydrate Vaginal ring 7.5 micrograms/24 hrs (2 mg ring)						
2484641000033118		*Oestriol Powder	*Oestriol Powder						
1141041000033116		Progynova Ts Transdermal patches (7 days) 50 micrograms/24 hrs	Progynova Ts Transdermal patches (7 days) 50 micrograms/24 hrs						
3102241000033116		*Estriol Tablets	*Estriol Tablets						
11882141000033114		Estriol Vaginal applicator Type 1	Estriol Vaginal applicator Type 1						
550741000033118		Ethinyloestradiol Tablets 20 micrograms	Ethinyloestradiol Tablets 20 micrograms						
999841000033118		Oestradiol Benzoate Injection 5 mg/ml	Oestradiol Benzoate Injection 5 mg/ml						
1001041000033118		Oestradiol Valerate Tablets 2 mg	Oestradiol Valerate Tablets 2 mg						
1001641000033112		Oestradiol Transdermal patches 37.5 micrograms/24 hrs	Oestradiol Transdermal patches 37.5 micrograms/24 hrs						
1002041000033111		Oestradiol Transdermal patches (7 days) 75 micrograms/24 hrs	Oestradiol Transdermal patches (7 days) 75 micrograms/24 hrs						
1010741000033110		Ortho-Gynest Intravaginal cream 0.01 % (with applicator)	Ortho-Gynest Intravaginal cream 0.01 % (with applicator)						
1112841000033112		Pro-Gest Cream	Pro-Gest Cream						
2484441000033115		*Oestriol Granules	*Oestriol Granules						
2484541000033119		*Oestriol Liquid	*Oestriol Liquid						
2484741000033110		*Oestriol Pills (Sucrose)	*Oestriol Pills (Sucrose)						
3015141000033113		Ethinyloestradiol Tablets 2 micrograms	Ethinyloestradiol Tablets 2 micrograms						
999741000033111		Oestradiol Benzoate Injection 1 mg/ml	Oestradiol Benzoate Injection 1 mg/ml						
1001441000033110		Oestradiol Transdermal patches 75 micrograms/24 hrs	Oestradiol Transdermal patches 75 micrograms/24 hrs						
1084741000033117		Piperazine Phosphate Elixir 750 mg/5 ml	Piperazine Phosphate Elixir 750 mg/5 ml						
1084841000033110		Piperazine Citrate Elixir 750 mg/5 ml	Piperazine Citrate Elixir 750 mg/5 ml						
1091441000033113		Piperazine Phosphate Tablets 500 mg	Piperazine Phosphate Tablets 500 mg						
1124841000033111		Pro-Gest Oil	Pro-Gest Oil						
2602241000033110		Oestradiol Acetate Vaginal ring 50 micrograms/24 hours (1.25 mg ring)	Oestradiol Acetate Vaginal ring 50 micrograms/24 hours (1.25 mg ring)						
3099141000033110		Estradiol Transdermal patches (7 days) 50 micrograms/24 hrs	Estradiol Transdermal patches (7 days) 50 micrograms/24 hrs						
3101841000033114		*Estriol Liquid	*Estriol Liquid						
2216941000033118		Oestradiol Transdermal patches (7 days) 25 micrograms/24 hrs	Oestradiol Transdermal patches (7 days) 25 micrograms/24 hrs						
999141000033112		Oestradiol Gel 0.06 %	Oestradiol Gel 0.06 %						
999541000033115		Oestradiol Implant 25 mg	Oestradiol Implant 25 mg						
1000441000033118		Oestradiol Benzoate Tablets 1 mg	Oestradiol Benzoate Tablets 1 mg						
1000541000033117		Oestradiol Benzoate Tablets 2 mg	Oestradiol Benzoate Tablets 2 mg						
1000641000033116		Oestriol Tablets 1 mg	Oestriol Tablets 1 mg						
1001741000033115		Oestradiol Transdermal patches 40 micrograms/24 hrs	Oestradiol Transdermal patches 40 micrograms/24 hrs						
1001941000033117		Oestradiol Transdermal patches (7 days) 50 micrograms/24 hrs	Oestradiol Transdermal patches (7 days) 50 micrograms/24 hrs						
1104341000033111		Polyestradiol Phosphate Injection 80 mg vial	Polyestradiol Phosphate Injection 80 mg vial						
755141000033111		Improvera Tablets	Improvera Tablets						
1141141000033117		Progynova Ts Forte Transdermal patches (7 days) 100 micrograms/24 hrs	Progynova Ts Forte Transdermal patches (7 days) 100 micrograms/24 hrs						
3099741000033114	134589003	Estradiol 150micrograms/dose nasal spray	Estradiol 150micrograms/dose nasal spray	Spray	Nasal	Estradiol hemihydrate	150.000microgram/1.000dose		
1846741000033118	324978008	Piperazine 4g / Senna 15.3mg oral powder sachets sugar free	Piperazine 4g / Senna 15.3mg oral powder sachets sugar free	Powder	Oral	Piperazine phosphate/ Senna pod standardised	4.000gram + 15.300mg		
3090041000033118	325480003	Ethinylestradiol 10microgram tablets	Ethinylestradiol 10microgram tablets	Tablet	Oral	Ethinylestradiol	10.000microgram	6040101	
3090141000033119	325481004	Ethinylestradiol 50microgram tablets	Ethinylestradiol 50microgram tablets	Tablet	Oral	Ethinylestradiol	50.000microgram	6040101	
3090241000033114	325482006	Ethinylestradiol 1mg tablets	Ethinylestradiol 1mg tablets	Tablet	Oral	Ethinylestradiol	1.000mg	6040101	
3099941000033112	325505008	Estradiol valerate 1mg tablets	Estradiol valerate 1mg tablets	Tablet	Oral	Estradiol valerate	1.000mg	6040101	
2950941000033111	4501211000001106	FemTab 1mg tablets (Merck Serono Ltd)	FemTab 1mg tablets	Tablet	Oral	Estradiol valerate	1.000mg		
287741000033116	2845811000001107	Climaval 1mg tablets (Novartis Pharmaceuticals UK Ltd)	Climaval 1mg tablets	Tablet	Oral	Estradiol valerate	1.000mg	6040101	
1134041000033118	2846111000001106	Progynova 1mg tablets (Bayer Plc)	Progynova 1mg tablets	Tablet	Oral	Estradiol valerate	1.000mg	6040101	
287841000033114	2845111000001100	Climaval 2mg tablets (Novartis Pharmaceuticals UK Ltd)	Climaval 2mg tablets	Tablet	Oral	Estradiol valerate	2.000mg	6040101	
1134141000033119	2845411000001105	Progynova 2mg tablets (Bayer Plc)	Progynova 2mg tablets	Tablet	Oral	Estradiol valerate	2.000mg	6040101	
2951041000033118	4501411000001105	FemTab 2mg tablets (Merck Serono Ltd)	FemTab 2mg tablets	Tablet	Oral	Estradiol valerate	2.000mg		
3100041000033111	325533008	Estradiol valerate 2mg tablets	Estradiol valerate 2mg tablets	Tablet	Oral	Estradiol valerate	2.000mg	6040101	
3098641000033114	325538004	Estradiol 50micrograms/24hours transdermal patches	Estradiol 50micrograms/24hours transdermal patches	Transdermal patch	Transdermal	Estradiol	50.000microgram/24.000hour	6040101	
558541000033111	2942311000001102	Evorel 50 patches (Theramex HQ UK Ltd)	Evorel 50 patches	Transdermal patch	Transdermal	Estradiol	50.000microgram/24.000hour	6040101	
545441000033117	2942911000001101	Estraderm TTS 50 patches (Novartis Pharmaceuticals UK Ltd)	Estraderm TTS 50 patches	Transdermal patch	Transdermal	Estradiol	50.000microgram/24.000hour	6040101	
905441000033116	2943611000001102	Menorest 50 patches (Novartis Pharmaceuticals UK Ltd)	Menorest 50 patches	Transdermal patch	Transdermal	Estradiol	50.000microgram/24.000hour		
546741000033119	2945011000001105	Estraderm MX 50 patches (Norgine Pharmaceuticals Ltd)	Estraderm MX 50 patches	Transdermal patch	Transdermal	Estradiol	50.000microgram/24.000hour	6040101	
432541000033116	2947611000001105	Dermestril 50 patches (Kyowa Kirin Ltd)	Dermestril 50 patches	Transdermal patch	Transdermal	Estradiol	50.000microgram/24.000hour		
2217041000033117	2947811000001109	Dermestril - Septem 50 patches (Kyowa Kirin Ltd)	Dermestril - Septem 50 patches	Transdermal patch	Transdermal	Estradiol	50.000microgram/24.000hour		
2739341000033112	2949711000001109	Progynova TS 50micrograms/24hours transdermal patches (Bayer Plc)	Progynova TS 50micrograms/24hours transdermal patches	Transdermal patch	Transdermal	Estradiol	50.000microgram/24.000hour	6040101	
575441000033116	2948411000001106	FemSeven 50 patches (Theramex HQ UK Ltd)	FemSeven 50 patches	Transdermal patch	Transdermal	Estradiol	50.000microgram/24.000hour	6040101	
3226041000033117	9045311000001107	Estradot 50micrograms/24hours patches (Novartis Pharmaceuticals UK Ltd)	Estradot 50micrograms/24hours patches	Transdermal patch	Transdermal	Estradiol	50.000microgram/24.000hour	6040101	
3097841000033114	325540009	Estradiol 25mg implant	Estradiol 25mg implant	Implant	Subcutaneous	Estradiol	25.000mg		
3097941000033118	325541008	Estradiol 50mg implant	Estradiol 50mg implant	Implant	Subcutaneous	Estradiol	50.000mg		
3097741000033116	325542001	Estradiol 100mg implant	Estradiol 100mg implant	Implant	Subcutaneous	Estradiol	100.000mg		
3098041000033115	325545004	Estradiol 1mg tablets	Estradiol 1mg tablets	Tablet	Oral	Estradiol	1.000mg	6040101	
1563941000033116	2842511000001103	Zumenon 1mg tablets (Mylan)	Zumenon 1mg tablets	Tablet	Oral	Estradiol	1.000mg	6040101	
508041000033110	2841811000001109	Elleste Solo 1mg tablets (Mylan)	Elleste Solo 1mg tablets	Tablet	Oral	Estradiol	1.000mg	6040101	
508141000033114	2837211000001104	Elleste Solo 2mg tablets (Mylan)	Elleste Solo 2mg tablets	Tablet	Oral	Estradiol	2.000mg	6040101	
1563841000033112	2838411000001101	Zumenon 2mg tablets (Mylan)	Zumenon 2mg tablets	Tablet	Oral	Estradiol	2.000mg	6040101	
2173841000033114	2838711000001107	Adgyn Estro 2mg tablets (Kyowa Kirin Ltd)	Adgyn Estro 2mg tablets	Tablet	Oral	Estradiol	2.000mg		
3908341000033113	10276611000001104	Bedol 2mg tablets (ReSource Medical UK Ltd)	Bedol 2mg tablets	Tablet	Oral	Estradiol	2.000mg	6040101	
3098141000033116	325546003	Estradiol 2mg tablets	Estradiol 2mg tablets	Tablet	Oral	Estradiol	2.000mg	6040101	
3100441000033119	325550005	Estriol 1mg tablets	Estriol 1mg tablets	Tablet	Oral	Estriol	1.000mg		
1021841000033117	3876411000001107	Ovestin 1mg tablets (Organon Laboratories Ltd)	Ovestin 1mg tablets	Tablet	Oral	Estriol	1.000mg		
1132441000033116	34911000001102	Premarin 0.625mg tablets (Pfizer Ltd)	Premarin 0.625mg tablets	Tablet	Oral	Conjugated oestrogens	625.000microgram	6040101	
374441000033117	325556004	Conjugated oestrogens 625microgram tablets	Conjugated oestrogens 625microgram tablets	Tablet	Oral	Conjugated oestrogens	625.000microgram	6040101	
374341000033111	325557008	Conjugated oestrogens 1.25mg tablets	Conjugated oestrogens 1.25mg tablets	Tablet	Oral	Conjugated oestrogens	1.250mg	6040101	
1132341000033110	546511000001102	Premarin 1.25mg tablets (Pfizer Ltd)	Premarin 1.25mg tablets	Tablet	Oral	Conjugated oestrogens	1.250mg	6040101	
662841000033112	86011000001100	Harmogen 1.5mg tablets (Pfizer Ltd)	Harmogen 1.5mg tablets	Tablet	Oral	Estropipate	1.500mg		
1444741000033117	325568008	Tibolone 2.5mg tablets	Tibolone 2.5mg tablets	Tablet	Oral	Tibolone	2.500mg	6040101	
838241000033112	521411000001105	Livial 2.5mg tablets (Merck Sharp & Dohme Ltd)	Livial 2.5mg tablets	Tablet	Oral	Tibolone	2.500mg	6040101	
999041000033113	3414911000001105	Oestrogel Pump-Pack 0.06% gel (Besins Healthcare (UK) Ltd)	Oestrogel Pump-Pack 0.06% gel	Gel	Transdermal	Estradiol	600.000microgram/1.000gram	6040101	
3097641000033113	325577001	Estradiol 0.06% gel (750microgram per actuation)	Estradiol 0.06% gel (750microgram per actuation)	Gel	Transdermal	Estradiol	600.000microgram/1.000gram	6040101	
3191741000033119	325648008	Estradiol 2mg / Norethisterone acetate 1mg tablets	Estradiol 2mg / Norethisterone acetate 1mg tablets	Tablet	Oral	Estradiol/ Norethisterone acetate	2.000mg + 1.000mg	6040101	
508441000033118	3049511000001101	Elleste Duet Conti tablets (Mylan)	Elleste Duet Conti tablets	Tablet	Oral	Estradiol/ Norethisterone acetate	2.000mg + 1.000mg	6040101	
1798241000033118	3049911000001108	Nuvelle Continuous tablets (Bayer Plc)	Nuvelle Continuous tablets	Tablet	Oral	Estradiol/ Norethisterone acetate	2.000mg + 1.000mg	6040101	
805541000033114	3043111000001107	Kliofem tablets (Novo Nordisk Ltd)	Kliofem tablets	Tablet	Oral	Estradiol/ Norethisterone acetate	2.000mg + 1.000mg	6040101	
2951241000033114	4501811000001107	FemTab Continuous tablets (Merck Serono Ltd)	FemTab Continuous tablets	Tablet	Oral	Estradiol/ Norethisterone acetate	2.000mg + 1.000mg		
285441000033116	3040311000001103	Climesse tablets (Novartis Pharmaceuticals UK Ltd)	Climesse tablets	Tablet	Oral	Estradiol valerate/ Norethisterone	2.000mg + 700.000microgram	6040101	
3191541000033110	325655005	Estradiol valerate 2mg / Norethisterone 700microgram tablets	Estradiol valerate 2mg / Norethisterone 700microgram tablets	Tablet	Oral	Estradiol valerate/ Norethisterone	2.000mg + 700.000microgram	6040101	
3192641000033116	325662001	Estradiol 1mg / Norethisterone acetate 500microgram tablets	Estradiol 1mg / Norethisterone acetate 500microgram tablets	Tablet	Oral	Estradiol/ Norethisterone acetate	1.000mg + 500.000microgram	6040101	
1625541000033112	3038811000001109	Kliovance tablets (Novo Nordisk Ltd)	Kliovance tablets	Tablet	Oral	Estradiol/ Norethisterone acetate	1.000mg + 500.000microgram	6040101	
1671641000033110	326075007	Raloxifene 60mg tablets	Raloxifene 60mg tablets	Tablet	Oral	Raloxifene hydrochloride	60.000mg	6040101	
1609141000033111	239811000001103	Evista 60mg tablets (Daiichi Sankyo UK Ltd)	Evista 60mg tablets	Tablet	Oral	Raloxifene hydrochloride	60.000mg	6040101	
316441000033116	326174009	Conjugated oestrogens 625micrograms/g vaginal cream	Conjugated oestrogens 625micrograms/g vaginal cream	Cream	Cutaneous/ Vaginal	Conjugated oestrogens	625.000microgram/1.000gram		
1112641000033111	3053511000001101	Premarin 0.625mg/g vaginal cream (Pfizer Ltd)	Premarin 0.625mg/g vaginal cream	Cream	Cutaneous/ Vaginal	Conjugated oestrogens	625.000microgram/1.000gram		
3193941000033117	326309006	Ethinylestradiol 20microgram / Desogestrel 150microgram tablets	Ethinylestradiol 20microgram / Desogestrel 150microgram tablets	Tablet	Oral	Desogestrel/ Ethinylestradiol	150.000microgram + 20.000microgram	7030100	
3193841000033113	326310001	Ethinylestradiol 30microgram / Desogestrel 150microgram tablets	Ethinylestradiol 30microgram / Desogestrel 150microgram tablets	Tablet	Oral	Desogestrel/ Ethinylestradiol	150.000microgram + 30.000microgram	7030100	
3194041000033115	326324002	Ethinylestradiol 30microgram / Levonorgestrel 150microgram tablets	Ethinylestradiol 30microgram / Levonorgestrel 150microgram tablets	Tablet	Oral	Ethinylestradiol/ Levonorgestrel	30.000microgram + 150.000microgram	7030100	
3193441000033110	326325001	Levonorgestrel 250microgram / Ethinylestradiol 30microgram tablets	Levonorgestrel 250microgram / Ethinylestradiol 30microgram tablets	Tablet	Oral	Ethinylestradiol/ Levonorgestrel	30.000microgram + 250.000microgram		
3193141000033119	326341000	Ethinylestradiol 35microgram / Norethisterone 500microgram tablets	Ethinylestradiol 35microgram / Norethisterone 500microgram tablets	Tablet	Oral	Ethinylestradiol/ Norethisterone	35.000microgram + 500.000microgram	7030100	
3193641000033112	326350003	Ethinylestradiol 20microgram / Norethisterone acetate 1mg tablets	Ethinylestradiol 20microgram / Norethisterone acetate 1mg tablets	Tablet	Oral	Ethinylestradiol/ Norethisterone acetate	20.000microgram + 1.000mg	7030100	
3193741000033115	326351004	Ethinylestradiol 30microgram / Norethisterone acetate 1.5mg tablets	Ethinylestradiol 30microgram / Norethisterone acetate 1.5mg tablets	Tablet	Oral	Ethinylestradiol/ Norethisterone acetate	30.000microgram + 1.500mg	7030100	
3193541000033111	326358005	Ethinylestradiol 30microgram / Gestodene 75microgram tablets	Ethinylestradiol 30microgram / Gestodene 75microgram tablets	Tablet	Oral	Ethinylestradiol/ Gestodene	30.000microgram + 75.000microgram	7030100	
3194541000033113	326361006	Ethinylestradiol 20microgram / Gestodene 75microgram tablets	Ethinylestradiol 20microgram / Gestodene 75microgram tablets	Tablet	Oral	Ethinylestradiol/ Gestodene	20.000microgram + 75.000microgram	7030100	
3193241000033114	326364003	Ethinylestradiol 35microgram / Norgestimate 250microgram tablets	Ethinylestradiol 35microgram / Norgestimate 250microgram tablets	Tablet	Oral	Ethinylestradiol/ Norgestimate	35.000microgram + 250.000microgram	7030100	
3194241000033111	326369008	Mestranol 50microgram / Norethisterone 1mg tablets	Mestranol 50microgram / Norethisterone 1mg tablets	Tablet	Oral	Mestranol/ Norethisterone	50.000microgram + 1.000mg	7030100	
826441000033111	326425002	Levonorgestrel 30microgram tablets	Levonorgestrel 30microgram tablets	Tablet	Oral	Levonorgestrel	30.000microgram	7030201	
822641000033114	326428000	Levonorgestrel 20micrograms/24hours intrauterine device	Levonorgestrel 20micrograms/24hours intrauterine device	Intrauterine device	Intrauterine	Levonorgestrel	20.000microgram/24.000hour	7030203	
1954641000033114	326430003	Levonorgestrel 750microgram tablets	Levonorgestrel 750microgram tablets	Tablet	Oral	Levonorgestrel	750.000microgram		
3100841000033116	353131001	Estriol 500microgram pessaries	Estriol 500microgram pessaries	Pessary	Vaginal	Estriol	500.000microgram		
1015241000033113	416511000001102	Ortho-Gynest 500microgram pessaries (Janssen-Cilag Ltd)	Ortho-Gynest 500microgram pessaries	Pessary	Vaginal	Estriol	500.000microgram		
1021441000033115	623311000001109	Ovestin 1mg cream (Aspen Pharma Trading Ltd)	Ovestin 1mg cream	Cream	Vaginal	Estriol	1.000mg/1.000gram	7020100	
3100541000033118	353132008	Estriol 0.1% cream	Estriol 0.1% cream	Cream	Vaginal	Estriol	1.000mg/1.000gram	7020100	
3194341000033118	377360003	Ethinylestradiol 30microgram / Drospirenone 3mg tablets	Ethinylestradiol 30microgram / Drospirenone 3mg tablets	Tablet	Oral	Drospirenone/ Ethinylestradiol	3.000mg + 30.000microgram	7030100	
3194141000033116	377414004	Ethinylestradiol 35microgram / Norethisterone 1mg tablets	Ethinylestradiol 35microgram / Norethisterone 1mg tablets	Tablet	Oral	Ethinylestradiol/ Norethisterone	35.000microgram + 1.000mg	7030100	
3194841000033110	400430004	Norgestrel 75microgram tablets	Norgestrel 75microgram tablets	Tablet	Oral	Norgestrel	75.000microgram		
3192941000033111	400674006	Conjugated oestrogens 625microgram tablets and Norgestrel 150microgram tablets	Conjugated oestrogens 625microgram tablets and Norgestrel 150microgram tablets	Not applicable	Route of administration not applicable			6040101	
1132541000033115	3470811000001103	Prempak-C 0.625mg/0.15mg tablets (Pfizer Ltd)	Prempak-C 0.625mg/0.15mg tablets	Not applicable				6040101	
4118041000033114	409118006	Conjugated oestrogens 300microgram tablets	Conjugated oestrogens 300microgram tablets	Tablet	Oral	Conjugated oestrogens	300.000microgram		
4118141000033113	11476811000001109	Premarin 0.3mg tablets (Pfizer Ltd)	Premarin 0.3mg tablets	Tablet	Oral	Conjugated oestrogens	300.000microgram		
1136041000033114	679511000001100	Premique 0.625mg/5mg tablets (Pfizer Ltd)	Premique 0.625mg/5mg tablets	Tablet	Oral	Conjugated oestrogens/ Medroxyprogesterone acetate	625.000microgram + 5.000mg	6040101	
3192741000033113	409322009	Conjugated oestrogens 625microgram / Medroxyprogesterone 5mg tablets	Conjugated oestrogens 625microgram / Medroxyprogesterone 5mg tablets	Tablet	Oral	Conjugated oestrogens/ Medroxyprogesterone acetate	625.000microgram + 5.000mg	6040101	
3199441000033113	414606006	Levonorgestrel 1.5mg tablets	Levonorgestrel 1.5mg tablets	Tablet	Oral	Levonorgestrel	1.500mg	7030500	
1594241000033112	428005004	Conjugated oestrogens 2.5mg tablets	Conjugated oestrogens 2.5mg tablets	Tablet	Oral	Conjugated oestrogens	2.500mg		
1140041000033113	4548011000001100	Premarin 2.5mg tablets (Wyeth Pharmaceuticals)	Premarin 2.5mg tablets	Tablet	Oral	Conjugated oestrogens	2.500mg		
3193041000033118	3341011000001106	Conjugated oestrogens 1.25mg tablets and Norgestrel 150microgram tablets	Conjugated oestrogens 1.25mg tablets and Norgestrel 150microgram tablets	Not applicable	Route of administration not applicable			6040101	
1132641000033119	557911000001109	Prempak-C 1.25mg/0.15mg tablets (Pfizer Ltd)	Prempak-C 1.25mg/0.15mg tablets	Not applicable				6040101	
3192241000033119	3369311000001103	Estradiol 1mg / Dydrogesterone 5mg tablets	Estradiol 1mg / Dydrogesterone 5mg tablets	Tablet	Oral	Dydrogesterone/ Estradiol	5.000mg + 1.000mg	6040101	
1922141000033113	519311000001107	Femoston-conti 1mg/5mg tablets (Mylan)	Femoston-conti 1mg/5mg tablets	Tablet	Oral	Dydrogesterone/ Estradiol	5.000mg + 1.000mg	6040101	
285141000033112	3358411000001107	Climagest 1mg tablets (Novartis Pharmaceuticals UK Ltd)	Climagest 1mg tablets	Not applicable				6040101	
285241000033117	3363611000001106	Climagest 2mg tablets (Novartis Pharmaceuticals UK Ltd)	Climagest 2mg tablets	Not applicable				6040101	
393141000033117	3353311000001108	Cyclo-Progynova 1mg tablets (Meda Pharmaceuticals Ltd)	Cyclo-Progynova 1mg tablets	Not applicable				6040101	
394941000033117	3351311000001107	Cyclo-Progynova 2mg tablets (Mylan)	Cyclo-Progynova 2mg tablets	Not applicable				6040101	
3099341000033113	3405311000001106	Estradiol 25microgram pessaries	Estradiol 25microgram pessaries	Pessary	Vaginal	Estradiol	25.000microgram	7020100	
3099441000033119	3407711000001104	Estradiol acetate 1.25mg vaginal ring	Estradiol acetate 1.25mg vaginal ring	Vaginal device	Vaginal	Estradiol acetate	1.250mg		
3100741000033114	3408711000001103	Estriol 0.01% cream with applicator	Estriol 0.01% cream with applicator	Not applicable	Route of administration not applicable			7020100	
1455141000033118	3449411000001106	Trisequens tablets (Novo Nordisk Ltd)	Trisequens tablets	Not applicable				6040101	
1468441000033114	3453611000001109	Trisequens Forte tablets (Novo Nordisk Ltd)	Trisequens Forte tablets	Not applicable					
508341000033112	3367311000001108	Elleste Duet 1mg tablets (Mylan)	Elleste Duet 1mg tablets	Not applicable				6040101	
508241000033119	3455511000001109	Elleste Duet 2mg tablets (Mylan)	Elleste Duet 2mg tablets	Not applicable				6040101	
545141000033113	3215411000001100	Estracombi TTS patches (Novartis Pharmaceuticals UK Ltd)	Estracombi TTS patches	Not applicable					
558941000033117	3217311000001104	Evorel Sequi patches (Theramex HQ UK Ltd)	Evorel Sequi patches	Not applicable				6040101	
572341000033115	3347911000001102	Femoston 1/10mg tablets (Mylan)	Femoston 1/10mg tablets	Not applicable				6040101	
571841000033115	3349811000001104	Femoston 2/10mg tablets (Mylan)	Femoston 2/10mg tablets	Not applicable				6040101	
571941000033111	3346111000001103	Femoston 2/20mg tablets (Abbott Healthcare Products Ltd)	Femoston 2/20mg tablets	Not applicable					
709541000033113	293111000001101	Hormonin tablets (Advanz Pharma)	Hormonin tablets	Tablet	Oral	Estradiol/ Estriol/ Estrone	600.000microgram + 270.000microgram + 1.400mg	6040101	
994041000033114	3210111000001102	Nuvelle TS patches (Schering Health Care Ltd)	Nuvelle TS patches	Not applicable					
993241000033115	3199011000001109	Nuvelle tablets (Bayer Plc)	Nuvelle tablets	Not applicable					
2951141000033119	4521511000001100	FemTab Sequi tablets (Merck Serono Ltd)	FemTab Sequi tablets	Not applicable					
1136141000033113	3456711000001107	Premique Cycle 0.625mg/10mg tablets (Pfizer Ltd)	Premique Cycle 0.625mg/10mg tablets	Not applicable					
1468741000033119	3355511000001103	Tridestra tablets (Orion Pharma (UK) Ltd)	Tridestra tablets	Not applicable				6040101	
3099541000033118	3664111000001108	Estradiol 1mg gel sachets	Estradiol 1mg gel sachets	Gel	Transdermal	Estradiol hemihydrate	1.000mg	6040101	
1239041000033116	3658611000001104	Sandrena 1mg gel sachets (Orion Pharma (UK) Ltd)	Sandrena 1mg gel sachets	Gel	Transdermal	Estradiol hemihydrate	1.000mg	6040101	
1239141000033117	3657811000001104	Sandrena 500microgram gel sachets (Orion Pharma (UK) Ltd)	Sandrena 500microgram gel sachets	Gel	Transdermal	Estradiol hemihydrate	500.000microgram	6040101	
3099641000033117	3664211000001102	Estradiol 500microgram gel sachets	Estradiol 500microgram gel sachets	Gel	Transdermal	Estradiol hemihydrate	500.000microgram	6040101	
