readcode,term,MedCodeId,Term,OriginalReadCode,CleansedReadCode,SnomedCTConceptId,SnomedCTDescriptionId,Release,EmisCodeCategoryId,final_readcode,cancer_site,bladder,other,oral,skin_non_mel,myeloma,brain,breast,cervix,colorectal,headandneck,kidney,leukemia,lung,lymphoma,melanoma,oesophagus,ovary,pancreas,prostate,stomach,testis,urinary,uterus
BA04.#,Neoplasm of unspecified nature of bladder,291300019#,Neoplasm of bladder,BA04,BA04.00,126885006,173010,NA,32,BA04.00#,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
BB47.#,"[M]Transitional cell carcinoma, spindle cell type",317691000006112#,"[M]Transitional cell carcinoma, spindle cell type",BB47,BB47.00,112676006,1219788012,NA,32,BB47.00#,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
B490.#,Malignant neoplasm of trigone of urinary bladder,289262014#,Malignant neoplasm of trigone of urinary bladder,B490,B490.00,188239000,289262014,NA,32,B490.00#,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ByuC5#,[X]2ndry malignant neoplasm/bladder+oth+unsp urinary organs,359271000006110#,Secondary malignant neoplasm of urinary system,ByuC5,ByuC500,94663008,156981017,NA,32,ByuC500#,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
B491.#,Malignant neoplasm of dome of urinary bladder,289267015#,Malignant neoplasm of dome of urinary bladder,B491,B491.00,188240003,289267015,NA,32,B491.00#,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
B497.#,Malignant neoplasm of urachus,720951000006119#,Malignant neoplasm of urachus,B497,B497.00,363456000,482708010,NA,32,B497.00#,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
B496.#,Malignant neoplasm of ureteric orifice,289276010#,Malignant neoplasm of ureteric orifice,B496,B496.00,188245008,289276010,NA,32,B496.00#,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
B495.#,Malignant neoplasm of bladder neck,289275014#,Malignant neoplasm of bladder neck,B495,B495.00,188244007,289275014,NA,32,B495.00#,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
BB4A.#,[M]Papillary transitional cell carcinoma,315031000006113#,Papillary transitional cell carcinoma,BB4A,BB4A.00,12400006,21340019,NA,32,BB4A.00#,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
B49z.#,Malignant neoplasm of urinary bladder NOS,289281018#,Malignant neoplasm of urinary bladder NOS,B49z,B49z.00,399326009,1786811017,NA,32,B49z.00#,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
B49y0#,"Malignant neoplasm, overlapping lesion of bladder",289280017#,"Malignant neoplasm, overlapping lesion of bladder",B49y0,B49y000,188247000,289280017,NA,32,B49y000#,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
BB9K.#,[M]Paget's disease and infiltrating breast duct carcinoma,314671000006116#,Paget's disease and infiltrating duct carcinoma of breast,BB9K,BB9K.00,82591005,137011013,NA,32,BB9K.00#,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B342.#,Malignant neoplasm of upper-inner quadrant of female breast,289142014#,Malignant neoplasm of upper-inner quadrant of female breast,B342,B342.00,188152004,289142014,NA,32,B342.00#,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B342.#,Malignant neoplasm of upper-inner quadrant of female breast,880281000006112#,"Ca breast-upper,inner quadrant",B342-99,B342.99,188152004,8.80281E+14,NA,32,B342.99#,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B343.#,Malignant neoplasm of lower-inner quadrant of female breast,289143016#,Malignant neoplasm of lower-inner quadrant of female breast,B343,B343.00,188153009,289143016,NA,32,B343.00#,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B343.#,Malignant neoplasm of lower-inner quadrant of female breast,880291000006110#,"Ca breast-lower,inner quadrant",B343-99,B343.99,188153009,8.80291E+14,NA,32,B343.99#,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B3500#,Malignant neoplasm of nipple of male breast,155418019#,Malignant neoplasm of nipple of male breast,B3500,B350000,93925009,155418019,NA,32,B350000#,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B34yz#,Malignant neoplasm of other site of female breast NOS,289150017#,Malignant neoplasm of other site of female breast NOS,B34yz,B34yz00,372064008,1210642019,NA,32,B34yz00#,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B341.#,Malignant neoplasm of central part of female breast,289141019#,Malignant neoplasm of central part of female breast,B341,B341.00,188151006,289141019,NA,32,B341.00#,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B3...#,"Malig neop of bone, connective tissue, skin and breast",729331000006116#,"Malignant neoplasm of bone, connective tissue, skin and breast",B3,B3...00,271467005,406262013,NA,32,B3...00#,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B3...#,"Malig neop of bone, connective tissue, skin and breast",380093012#,Sarcoma of bone and connective tissue,B3-2,B3...12,255067005,380093012,NA,32,B3...12#,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B3...#,"Malig neop of bone, connective tissue, skin and breast",380094018#,"Carcinoma of bone, connective tissue, skin and breast",B3-1,B3...11,255068000,380094018,NA,32,B3...11#,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BB911#,[M]Infiltrating duct and lobular carcinoma,1228259019#,[M]Infiltrating duct and lobular carcinoma,BB911,BB91100,35232005,1228260012,NA,32,BB91100#,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B58y0#,Secondary malignant neoplasm of breast,511250010#,Secondary malignant neoplasm of breast,B58y0,B58y000,94297009,511250010,NA,32,B58y000#,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B34y0#,Malignant neoplasm of ectopic site of female breast,289149017#,Malignant neoplasm of ectopic site of female breast,B34y0,B34y000,188159008,289149017,NA,32,B34y000#,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B34..#,Malignant neoplasm of female breast,531851000006119#,Ca female breast,B34-1,B34..11,372064008,1210642019,NA,32,B34..11#,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B34..#,Malignant neoplasm of female breast,990571000006118#,Ca breast - NOS,B34-98,B34..98,372064008,9.90571E+14,NA,32,B34..98#,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B34..#,Malignant neoplasm of female breast,1210642019#,Malignant neoplasm of female breast,B34,B34..00,372064008,1210642019,NA,32,B34..00#,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B34..#,Malignant neoplasm of female breast,880261000006119#,Carcinoma breast,B34-99,B34..99,372064008,8.80261E+14,NA,32,B34..99#,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B340.#,Malignant neoplasm of nipple and areola of female breast,880271000006114#,Ca breast - nipple/central,B340-99,B340.99,188147009,8.80271E+14,NA,32,B340.99#,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B340.#,Malignant neoplasm of nipple and areola of female breast,289137018#,Malignant neoplasm of nipple and areola of female breast,B340,B340.00,188147009,289137018,NA,32,B340.00#,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B5826#,Secondary malignant neoplasm of skin of breast,156699010#,Secondary malignant neoplasm of skin of breast,B5826,B582600,94544002,156699010,NA,32,B582600#,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B34y.#,Malignant neoplasm of other site of female breast,289148013#,Malignant neoplasm of other site of female breast,B34y,B34y.00,372064008,1210642019,NA,32,B34y.00#,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B347.#,"Malignant neoplasm, overlapping lesion of breast",289147015#,"Malignant neoplasm, overlapping lesion of breast",B347,B347.00,188157005,289147015,NA,32,B347.00#,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BB9F.#,[M]Lobular carcinoma NOS,291540014#,Lobular carcinoma,BB9F,BB9F.00,89740008,148778015,NA,32,BB9F.00#,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BA03.#,Neoplasm of unspecified nature of breast,291299010#,Neoplasm of breast,BA03,BA03.00,126926005,214017,NA,32,BA03.00#,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B345.#,Malignant neoplasm of lower-outer quadrant of female breast,289145011#,Malignant neoplasm of lower-outer quadrant of female breast,B345,B345.00,188155002,289145011,NA,32,B345.00#,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B345.#,Malignant neoplasm of lower-outer quadrant of female breast,880311000006114#,"Ca breast-lower,outer quadrant",B345-99,B345.99,188155002,8.80311E+14,NA,32,B345.99#,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B350.#,Malignant neoplasm of nipple and areola of male breast,289153015#,Malignant neoplasm of nipple and areola of male breast,B350,B350.00,188163001,289153015,NA,32,B350.00#,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B34z.#,Malignant neoplasm of female breast NOS,880331000006115#,Ca breast - NOS,B34z-99,B34z.99,5.49521E+14,8.80331E+14,NA,32,B34z.99#,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B34z.#,Malignant neoplasm of female breast NOS,289151018#,Malignant neoplasm of female breast NOS,B34z,B34z.00,372064008,1210642019,NA,32,B34z.00#,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BB94.#,[M]Juvenile breast carcinoma,316311000006112#,[M]Secretory breast carcinoma,BB94-1,BB94.11,41919003,69948016,NA,32,BB94.11#,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BB94.#,[M]Juvenile breast carcinoma,310741000006110#,Juvenile carcinoma of the breast,BB94,BB94.00,41919003,69948016,NA,32,BB94.00#,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B340z#,Malignant neoplasm of nipple or areola of female breast NOS,289140018#,Malignant neoplasm of nipple or areola of female breast NOS,B340z,B340z00,188147009,289137018,NA,32,B340z00#,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B3351#,"Malignant neoplasm of skin of chest, excluding breast",289097019#,"Malignant neoplasm of skin of chest, excluding breast",B3351,B335100,372126009,1210703013,NA,32,B335100#,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B3y..#,"Malig neop of bone, connective tissue, skin and breast OS",729351000006111#,"Malig neop of bone, connective tissue, skin and breast OS",B3y,B3y..00,271467005,406262013,NA,32,B3y..00#,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BB91.#,[M]Infiltrating duct carcinoma,310311000006110#,Infiltrating duct carcinoma,BB91,BB91.00,82711006,137203014,NA,32,BB91.00#,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BB91.#,[M]Infiltrating duct carcinoma,307631000006111#,Duct carcinoma,BB91-1,BB91.11,82711006,137210015,NA,32,BB91.11#,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B35z.#,Malignant neoplasm of other site of male breast,289157019#,Malignant neoplasm of other site of male breast,B35z,B35z.00,372095001,1210673015,NA,32,B35z.00#,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Byu6.#,[X]Malignant neoplasm of breast,292137017#,Malignant tumour of breast,Byu6,Byu6.00,254837009,379664012,NA,32,Byu6.00#,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BB96.#,[M]Noninfiltrating intraductal papillary adenocarcinoma,314091000006113#,[M]Noninfiltrating intraductal papillary adenocarcinoma,BB96,BB96.00,30566004,1227274015,NA,32,BB96.00#,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B346.#,Malignant neoplasm of axillary tail of female breast,289146012#,Malignant neoplasm of axillary tail of female breast,B346,B346.00,188156001,289146012,NA,32,B346.00#,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B346.#,Malignant neoplasm of axillary tail of female breast,880321000006118#,Ca breast - axillary tail,B346-99,B346.99,188156001,8.80321E+14,NA,32,B346.99#,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B3z..#,"Malig neop of bone, connective tissue, skin and breast NOS",729341000006114#,"Malig neop of bone, connective tissue, skin and breast NOS",B3z,B3z..00,271467005,406262013,NA,32,B3z..00#,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B3352#,Malignant neoplasm of skin of breast,155521019#,Malignant neoplasm of skin of breast,B3352,B335200,94012007,155521019,NA,32,B335200#,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B344.#,Malignant neoplasm of upper-outer quadrant of female breast,289144010#,Malignant neoplasm of upper-outer quadrant of female breast,B344,B344.00,188154003,289144010,NA,32,B344.00#,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B344.#,Malignant neoplasm of upper-outer quadrant of female breast,880301000006111#,"Ca breast-upper,outer quadrant",B344-99,B344.99,188154003,8.80301E+14,NA,32,B344.99#,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B35z0#,Malignant neoplasm of ectopic site of male breast,289158012#,Malignant neoplasm of ectopic site of male breast,B35z0,B35z000,188168005,289158012,NA,32,B35z000#,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B35zz#,Malignant neoplasm of male breast NOS,289159016#,Malignant neoplasm of male breast NOS,B35zz,B35zz00,372095001,1210673015,NA,32,B35zz00#,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BB90.#,"[M]Intraductal carcinoma, noninfiltrating NOS",310451000006116#,"[M]Intraductal carcinoma, non-infiltrating NOS",BB90,BB90.00,86616005,143630014,NA,32,BB90.00#,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B3401#,Malignant neoplasm of areola of female breast,155089014#,Malignant neoplasm of areola of female breast,B3401,B340100,93680004,155089014,NA,32,B340100#,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BB9J.#,"[M]Paget's disease, breast",314711000006117#,Mammary Paget's disease,BB9J,BB9J.00,2985005,1226519014,NA,32,BB9J.00#,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BB9J.#,"[M]Paget's disease, breast",314691000006115#,Paget's disease of breast,BB9J-1,BB9J.11,2985005,6068012,NA,32,BB9J.11#,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B3400#,Malignant neoplasm of nipple of female breast,155417012#,Malignant neoplasm of nipple of female breast,B3400,B340000,93924008,155417012,NA,32,B340000#,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B35..#,Malignant neoplasm of male breast,155364013#,Malignant neoplasm of male breast,B35,B35..00,372095001,1210673015,NA,32,B35..00#,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B35..#,Malignant neoplasm of male breast,880341000006113#,Ca breast - male,B35-99,B35..99,93884005,8.80341E+14,NA,32,B35..99#,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B3501#,Malignant neoplasm of areola of male breast,155090017#,Malignant neoplasm of areola of male breast,B3501,B350100,93681000,155090017,NA,32,B350100#,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BB9K0#,[M]Paget's disease and intraductal carcinoma of breast,1231363012#,[M]Paget's disease and intraductal carcinoma of breast,BB9K0,BB9K000,54666007,1231364018,NA,32,BB9K000#,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B412.#,"Malignant neoplasm, overlapping lesion of cervix uteri",289175018#,"Malignant neoplasm, overlapping lesion of cervix uteri",B412,B412.00,188180002,289175018,NA,32,B412.00#,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B4100#,Malignant neoplasm of endocervical canal,289171010#,Malignant neoplasm of endocervical canal,B4100,B410000,188176007,289171010,NA,32,B410000#,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B58y2#,Secondary cancer of the cervix,289553011#,Secondary malignant neoplasm of cervix uteri,B58y2,B58y200,188469005,289553011,NA,32,B58y200#,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B58y2#,Secondary cancer of the cervix,289554017#,Secondary cancer of the cervix,B58y2-1,B58y211,188469005,289554017,NA,32,B58y211#,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B41z.#,Malignant neoplasm of cervix uteri NOS,289182019#,Malignant neoplasm of cervix uteri NOS,B41z,B41z.00,363354003,1228493018,NA,32,B41z.00#,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B4101#,Malignant neoplasm of endocervical gland,289172015#,Malignant neoplasm of endocervical gland,B4101,B410100,188177003,289172015,NA,32,B410100#,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B410z#,Malignant neoplasm of endocervix NOS,289173013#,Malignant neoplasm of endocervix NOS,B410z,B410z00,372097009,1210675010,NA,32,B410z00#,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B410.#,Malignant neoplasm of endocervix,155218017#,Malignant neoplasm of endocervix,B410,B410.00,372097009,1210675010,NA,32,B410.00#,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B410.#,Malignant neoplasm of endocervix,880361000006112#,Ca cervix uteri - endocervix,B410-99,B410.99,93779009,8.80361E+14,NA,32,B410.99#,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B41y0#,Malignant neoplasm of cervical stump,289179012#,Malignant neoplasm of cervical stump,B41y0,B41y000,188183000,289179012,NA,32,B41y000#,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B41..#,Malignant neoplasm of cervix uteri,1228493018#,Malignant neoplasm of cervix uteri,B41,B41..00,363354003,1228493018,NA,32,B41..00#,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B41..#,Malignant neoplasm of cervix uteri,543481000006111#,Malignant tumour of cervix,B41-1,B41..11,363354003,482507015,NA,32,B41..11#,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B411.#,Malignant neoplasm of exocervix,155231010#,Malignant neoplasm of exocervix,B411,B411.00,372099007,1210677019,NA,32,B411.00#,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B411.#,Malignant neoplasm of exocervix,880371000006117#,Ca cervix uteri - exocervix,B411-99,B411.99,93789008,8.80371E+14,NA,32,B411.99#,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B41y.#,Malignant neoplasm of other site of cervix,289178016#,Malignant neoplasm of other site of cervix,B41y,B41y.00,363354003,482507015,NA,32,B41y.00#,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B41yz#,Malignant neoplasm of other site of cervix NOS,289181014#,Malignant neoplasm of other site of cervix NOS,B41yz,B41yz00,363354003,482507015,NA,32,B41yz00#,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B41y1#,Malignant neoplasm of squamocolumnar junction of cervix,289180010#,Malignant neoplasm of squamocolumnar junction of cervix,B41y1,B41y100,188184006,289180010,NA,32,B41y100#,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BB2N.#,"[M]Intraepit neop,grade III,of cervix, vulva and vagina",310521000006112#,"[M]Intraepit neop,grade III,of cervix, vulva and vagina",BB2N,BB2N.00,20365006,1222434015,NA,32,BB2N.00#,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B20y.#,"Malig neop other site nasal cavity, middle ear and sinuses",729571000006113#,"Malig neop other site nasal cavity, middle ear and sinuses",B20y,B20y.00,187828007,288770010,NA,32,B20y.00#,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
B3001#,Malignant neoplasm of frontal bone,155259011#,Malignant neoplasm of frontal bone,B3001,B300100,93806005,155259011,NA,32,B300100#,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
B5504#,Malignant neoplasm of neck NOS,289429015#,Malignant tumour of neck,B5504,B550400,363489000,482765011,NA,32,B550400#,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
B300A#,Malignant neoplasm of maxilla,155370019#,Malignant neoplasm of maxilla,B300A,B300A00,93888008,155370019,NA,32,B300A00#,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
B200z#,Malignant neoplasm of nasal cavities NOS,288776016#,Malignant neoplasm of nasal cavities NOS,B200z,B200z00,363422006,482642012,NA,32,B200z00#,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
B5071#,Malignant neoplasm of nasolacrimal duct,289326011#,Malignant neoplasm of nasolacrimal duct,B5071,B507100,188274004,289326011,NA,32,B507100#,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
B213.#,Malignant neoplasm of laryngeal cartilage,724761000006110#,Malignant neoplasm of laryngeal cartilage,B213,B213.00,363431006,482660012,NA,32,B213.00#,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
B2003#,Malignant neoplasm of vestibule of nose,288775017#,Malignant neoplasm of vestibule of nose,B2003,B200300,187831008,288775017,NA,32,B200300#,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
B502.#,Malignant neoplasm of lacrimal gland,289322013#,Malignant neoplasm of lacrimal gland,B502,B502.00,188272000,289322013,NA,32,B502.00#,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
B07..#,Malignant neoplasm of nasopharynx,288522018#,Malignant neoplasm of nasopharynx,B07,B07..00,187692001,288522018,NA,32,B07..00#,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
B2002#,Malignant neoplasm of septum of nose,721961000006111#,Malignant neoplasm of septum of nose,B2002,B200200,363423001,482644013,NA,32,B200200#,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
B2001#,Malignant neoplasm of nasal conchae,288772019#,Malignant neoplasm of nasal conchae,B2001,B200100,187830009,288772019,NA,32,B200100#,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
