readcode,term_readcode,MedCodeId,Term,OriginalReadCode,CleansedReadCode,SnomedCTConceptId,SnomedCTDescriptionId,Release,EmisCodeCategoryId,final_readcode
66aB.#,Osteoporosis - no treatment response,1485059015#,Osteoporosis - no treatment response,66aB,66aB.00,391030003,1485059015,NA,1,66aB.00#
66aD.#,Xray evidence of poor mineralisation,1476251011#,X-ray evidence of poor mineralisation,66aD,66aD.00,391032006,1476251011,NA,1,66aD.00#
9kj0.#,Bone sparing drug treatment offered for osteoporosis - ESA,1715131000006113#,Bone sparing drug treatment offered for osteoporosis,9kj0,9kj0.00,505171000000102,1152201000000112,NA,37,9kj0.00#
NyuB2#,[X]Osteoporosis in other disorders classified elsewhere,312683018#,[X]Osteoporosis in other disorders classified elsewhere,NyuB2,NyuB200,64859006,107806013,NA,32,NyuB200#
NyuB1#,[X]Other osteoporosis,312682011#,[X]Other osteoporosis,NyuB1,NyuB100,64859006,107806013,NA,32,NyuB100#
NyuB0#,[X]Other osteoporosis with pathological fracture,312681016#,[X]Other osteoporosis with pathological fracture,NyuB0,NyuB000,443165006,2837900019,NA,32,NyuB000#
NyuB8#,[X]Unspecified osteoporosis with pathological fracture,312689019#,[X]Unspecified osteoporosis with pathological fracture,NyuB8,NyuB800,443165006,2837900019,NA,32,NyuB800#
X70At#,Adult idiopathic generalised osteoporosis,NA#,NA,NA,NA,NA,NA,NA,NA,X70At#
XaD2s#,Collapse of cervical vertebra due to osteoporosis,NA#,NA,NA,NA,NA,NA,NA,NA,XaD2s#
XaD4J#,Collapse of thoracic vertebra due to osteoporosis,NA#,NA,NA,NA,NA,NA,NA,NA,XaD4J#
XaD4K#,Collapse of vertebra due to osteoporosis NOS,NA#,NA,NA,NA,NA,NA,NA,NA,XaD4K#
X70Az#,Disappearing bone disease,NA#,NA,NA,NA,NA,NA,NA,NA,X70Az#
X70As#,Idiopathic osteoporosis in pregnancy,NA#,NA,NA,NA,NA,NA,NA,NA,X70As#
X70Au#,Juvenile idiopathic generalised osteoporosis,NA#,NA,NA,NA,NA,NA,NA,NA,X70Au#
XE1GA#,Localised disuse osteoporosis,NA#,NA,NA,NA,NA,NA,NA,NA,XE1GA#
XaIIp#,Minimal trauma fracture due to unspecified osteoporosis,NA#,NA,NA,NA,NA,NA,NA,NA,XaIIp#
XaIP4#,Osteoporosis due to corticosteroids,NA#,NA,NA,NA,NA,NA,NA,NA,XaIP4#
XaC12#,Osteoporosis localised to spine,NA#,NA,NA,NA,NA,NA,NA,NA,XaC12#
XaISX#,Osteoporosis monitoring telephone invitation,NA#,NA,NA,NA,NA,NA,NA,NA,XaISX#
X70B1#,Post-irradiation osteoporosis,NA#,NA,NA,NA,NA,NA,NA,NA,X70B1#
Xa0AZ#,Primary osteoporosis,NA#,NA,NA,NA,NA,NA,NA,NA,Xa0AZ#
X70Aw#,Regional migrating osteoporosis,NA#,NA,NA,NA,NA,NA,NA,NA,X70Aw#
Xa1k0#,Regional osteoporosis,NA#,NA,NA,NA,NA,NA,NA,NA,Xa1k0#
X70Av#,Secondary generalised osteoporosis,NA#,NA,NA,NA,NA,NA,NA,NA,X70Av#
X70B0#,Secondary localised osteoporosis,NA#,NA,NA,NA,NA,NA,NA,NA,X70B0#
X70Ax#,Transient osteoporosis of hip,NA#,NA,NA,NA,NA,NA,NA,NA,X70Ax#
X70Ay#,Transient osteoporosis of hip in pregnancy,NA#,NA,NA,NA,NA,NA,NA,NA,X70Ay#
XaISj#,Osteoporosis - no treatment,NA#,NA,NA,NA,NA,NA,NA,NA,XaISj#
XaISm#,Osteoporosis - exercise advice,NA#,NA,NA,NA,NA,NA,NA,NA,XaISm#
XalSi#,Osteoporosis treatment changed,NA#,NA,NA,NA,NA,NA,NA,NA,XalSi#
XaISg#,Osteoporosis treatment started,NA#,NA,NA,NA,NA,NA,NA,NA,XaISg#
XaISh#,Osteoporosis treatment stopped,NA#,NA,NA,NA,NA,NA,NA,NA,XaISh#
XaISn#,Osteoporosis - falls prevention,NA#,NA,NA,NA,NA,NA,NA,NA,XaISn#
XaISQ#,Attends osteoporosis monitoring,NA#,NA,NA,NA,NA,NA,NA,NA,XaISQ#
XaISI#,Osteoporosis - dietary assessment,NA#,NA,NA,NA,NA,NA,NA,NA,XaISI#
XaISo#,Osteoporosis - treatment response,NA#,NA,NA,NA,NA,NA,NA,NA,XaISo#
XaQRT#,Bone sparing drug treatment offered for osteoporosis,NA#,NA,NA,NA,NA,NA,NA,NA,XaQRT#
