MedCodeId	Term	category
292543014	Type I diabetes mellitus with gangrene	type 1
840951000006119	Insulin treated Type 2 diabetes mellitus	type 2
967701000006116	Lipoatrophic diabetes mellitus	other/unspec genetic inc syndromic
913711000006112	Insulin dependent diabetes maturity onset	unspecified
913891000006113	Insulin dependent diabetes mellitus with diabetic cataract	unspecified
2288061000000111	Type II diabetes mellitus in remission	type 2
1667891000000113	Hyperosmolar non-ketotic state in type II diabetes mellitus	type 2
493774016	Type II diabetes mellitus	type 2
1230929011	Secondary pancreatic diabetes mellitus	secondary
2160090014	Diabetes mellitus induced by non-steroid drugs	secondary
457329019	Type 2 diabetes mellitus without complication	type 2
457330012	Type II diabetes mellitus without complication	type 2
459312014	Type II diabetes mellitus with neuropathic arthropathy	type 2
459313016	Type 2 diabetes mellitus with neuropathic arthropathy	type 2
292538019	Type I diabetes mellitus with ulcer	type 1
292579018	Type 2 diabetes mellitus with ulcer	type 2
292581016	Type II diabetes mellitus with ulcer	type 2
197984010	Type 1 diabetes mellitus	type 1
913591000006110	Skin ulcer associated with diabetes mellitus	unspecified
914071000006115	Neurologic disorder associated with type 2 diabetes mellitus	type 2
914151000006112	Retinopathy with type 2 diabetes mellitus	type 2
928601000006118	Ketoacidotic coma in type 2 diabetes mellitus	type 2
914261000006119	Diabetes type 2 with nephropathy	type 2
967631000006115	Diabetes mellitus induced by non-steroid drugs without complication	secondary
292582011	Type II diabetes mellitus with gangrene	type 2
913901000006112	Type 1 diabetes mellitus with diabetic cataract	type 1
914221000006113	Type 2 diabetes mellitus with mononeuropathy	type 2
457327017	Insulin-dependent diabetes without complication	unspecified
459293018	Insulin dependent diabetes mellitus with arthropathy	unspecified
913771000006115	Insulin dependent diabetes mellitus with mononeuropathy	unspecified
913801000006118	Insulin dependent diabetes mellitus with polyneuropathy	unspecified
913551000006116	Type I diabetes mellitus with multiple complications	type 1
928551000006115	Type II diabetes mellitus with persistent proteinuria	type 2
459295013	Type I diabetes mellitus with neuropathic arthropathy	type 1
1233307015	Wolfram syndrome	other/unspec genetic inc syndromic
459310018	Type 2 diabetes mellitus with arthropathy	type 2
292577016	Type 2 diabetes mellitus with multiple complications	type 2
198461000000116	Diabetes mellitus associated with pancreatic disease	secondary
928561000006118	Persistent microalbuminuria associated with type 2 diabetes mellitus	type 2
938321000006116	Exudative maculopathy associated with type 2 diabetes mellitus	type 2
913791000006119	Type I diabetes mellitus with mononeuropathy	type 1
914311000006114	Type II diabetes mellitus with diabetic cataract	type 2
913491000006111	Type I diabetes mellitus with ophthalmic complications	type 1
913781000006117	Type 1 diabetes mellitus with mononeuropathy	type 1
913441000006119	Insulin-dependent diabetes mellitus with renal complications	unspecified
913461000006115	Type I diabetes mellitus with renal complications	type 1
914391000006116	Insulin treated Type 2 diabetes mellitus	type 2
483886014	Maturity onset diabetes in youth	mody
2288041000000110	Type 1 diabetes mellitus in remission	type 1
913681000006111	Insulin dependent diabetes mellitus - poor control	unspecified
913941000006114	Peripheral angiopathy due to type 1 diabetes mellitus	type 1
913521000006113	Neurological disorder with type 1 diabetes mellitus	type 1
840971000006112	Diabetes mellitus autosomal dominant type II	other/unspec genetic inc syndromic
928501000006119	Ketoacidosis in type 1 diabetes mellitus	type 1
494831000000119	Diabetes mellitus associated with cystic fibrosis	other/unspec genetic inc syndromic
457325013	Type I diabetes mellitus without complication	type 1
459306016	Type II diabetes mellitus with peripheral angiopathy	type 2
121589010	Diabetes mellitus	unspecified
913451000006117	Type 1 diabetes mellitus with renal complications	type 1
914061000006110	Type II diabetes mellitus with ophthalmic complications	type 2
913501000006115	Insulin-dependent diabetes mellitus with neurological comps	unspecified
292583018	Type 2 diabetes mellitus with gangrene	type 2
913511000006117	Type 1 diabetes mellitus with neurological complications	type 1
913821000006111	Type I diabetes mellitus with polyneuropathy	type 1
77727018	Insulin dependent diabetes mellitus	unspecified
913621000006112	Insulin dependent diabetes mellitus with gangrene	unspecified
1223147012	Insulin treated Type II diabetes mellitus	type 2
459161015	Type 1 diabetes mellitus with hypoglycaemic coma	type 1
459296014	Type 1 diabetes mellitus with neuropathic arthropathy	type 1
459311019	Type II diabetes mellitus with arthropathy	type 2
15518018	Secondary diabetes mellitus	secondary
292590011	Type II diabetes mellitus poorly controlled	type 2
914241000006118	Polyneuropathy due to type 2 diabetes mellitus	type 2
928521000006112	Ketoacidotic coma in type 1 diabetes mellitus	type 1
928611000006115	Ketoacidotic coma in type II diabetes mellitus	type 2
429972014	Unstable insulin dependent diabetes mellitus	unspecified
299601000000114	Gastroparesis with type 1 diabetes mellitus	type 1
