MedCodeId	Observations	OriginalReadCode	CleansedReadCode	Term	SnomedCTConceptId	SnomedCTDescriptionId	Release	EmisCodeCategoryId	category
457325013	108	C10EA-1	C10EA11	Type I diabetes mellitus without complication	313435000	457325013	NA	32	type 1
457326014	376	C10EA	C10EA00	Type 1 diabetes mellitus without complication	313435000	457326014	NA	32	type 1
457327017	325	C10EA-2	C10EA12	Insulin-dependent diabetes without complication	111552007	178796018	NA	32	unspecified
457329019	11539	C10F9	C10F900	Type 2 diabetes mellitus without complication	313436004	457329019	NA	32	type 2
457330012	1121	C10F9-1	C10F911	Type II diabetes mellitus without complication	313436004	457330012	NA	32	type 2
459161015	286	C10EE	C10EE00	Type 1 diabetes mellitus with hypoglycaemic coma	314771006	459161015	NA	32	type 1
459162010	128	C10EE-2	C10EE12	Insulin dependent diabetes mellitus with hypoglycaemic coma	237632004	356141011	NA	32	unspecified
459163017	43	C10EE-1	C10EE11	Type I diabetes mellitus with hypoglycaemic coma	314771006	459163017	NA	32	type 1
459167016	221	C10FD	C10FD00	Type 2 diabetes mellitus with hypoglycaemic coma	719216001	3316336015	NA	32	type 2
459169018	67	C10FD-1	C10FD11	Hypoglycaemic coma co-occurrent and due to diabetes mellitus type II	719216001	3316336015	NA	32	type 2
459292011	63	C10EH	C10EH00	Type 1 diabetes mellitus with arthropathy	314893005	459292011	NA	32	type 1
459293018	6	C10EH-2	C10EH12	Insulin dependent diabetes mellitus with arthropathy	39710007	1229552016	NA	32	unspecified
459294012	23	C10EH-1	C10EH11	Type I diabetes mellitus with arthropathy	314893005	459294012	NA	32	type 1
459296014	223	C10EJ	C10EJ00	Type 1 diabetes mellitus with neuropathic arthropathy	71771000119100	3010513018	NA	32	type 1
459306016	64	C10FF-1	C10FF11	Type II diabetes mellitus with peripheral angiopathy	314902007	459306016	NA	32	type 2
459308015	342	C10FF	C10FF00	Type 2 diabetes mellitus with peripheral angiopathy	314902007	459308015	NA	32	type 2
459310018	212	C10FG	C10FG00	Type 2 diabetes mellitus with arthropathy	314903002	459310018	NA	32	type 2
459311019	49	C10FG-1	C10FG11	Type II diabetes mellitus with arthropathy	314903002	459311019	NA	32	type 2
459312014	40	C10FH-1	C10FH11	Type II diabetes mellitus with neuropathic arthropathy	314904008	459312014	NA	32	type 2
459313016	918	C10FH	C10FH00	Type 2 diabetes mellitus with neuropathic arthropathy	314904008	459313016	NA	32	type 2
483882011	1138	C10C	C10C.00	Maturity-onset diabetes of the young	609561005	2967884018	NA	32	mody
483886014	3010	C10C-1	C10C.11	Maturity onset diabetes in youth	609561005	2967884018	NA	32	mody
493774016	677469	C10F-1	C10F.11	Type II diabetes mellitus	44054006	493774016	NA	32	type 2
494564012	82270	C10E-1	C10E.11	Type I diabetes mellitus	46635009	494564012	NA	32	type 1
1223147012	1698	C10FJ-1	C10FJ11	Insulin treated Type II diabetes mellitus	237599002	1223147012	NA	32	type 2
1223148019	1235	C109J-1	C109J11	Insulin treated non-insulin dependent diabetes mellitus	237599002	1223148019	NA	32	unspecified
1230929011	3828	C10G	C10G.00	Secondary pancreatic diabetes mellitus	51002006	1230929011	NA	32	secondary
1233307015	275	PKyP-1	PKyP.11	Wolfram syndrome	70694009	1233307015	NA	32	other/unspec genetic inc syndromic
1488898011	1374	C10FK	C10FK00	Hyperosmolar non-ketotic state in type 2 diabetes mellitus	395204000	1488898011	NA	32	type 2
1780311019	3899	C10EL	C10EL00	Type 1 diabetes mellitus with persistent microalbuminuria	401110002	1780311019	NA	32	type 1
2160090014	263	C10H	C10H.00	Diabetes mellitus induced by non-steroid drugs	408540003	2160090014	NA	32	secondary
2476117016	499	C10C-2	C10C.12	Maturity onset diabetes in youth type 1	609562003	2967867012	NA	32	mody
2674067015	10299	C10ER	C10ER00	Latent autoimmune diabetes mellitus in adult	426875007	2674067015	NA	32	unspecified
189711000000119	5	C10M0	C10M000	Lipoatrophic diabetes mellitus without complication	112991000000101	189711000000119	NA	32	other/unspec genetic inc syndromic
189721000000113	23	C10N0	C10N000	Secondary diabetes mellitus without complication	8801005	15518018	NA	32	secondary
198461000000116	3798	C10G0	C10G000	Diabetes mellitus associated with pancreatic disease	51002006	84990019	NA	32	secondary
299601000000114	7457	C10EQ	C10EQ00	Gastroparesis with type 1 diabetes mellitus	713702000	3698406016	NA	32	type 1
299621000000117	4801	C10FR	C10FR00	Gastroparesis with type 2 diabetes mellitus	713703005	3698412014	NA	32	type 2
494831000000119	2182	C10N1	C10N100	Diabetes mellitus associated with cystic fibrosis	426705001	2674608014	NA	32	other/unspec genetic inc syndromic
622221000000118	207	C10FS	C10FS00	Maternally inherited diabetes mellitus	335621000000101	622221000000118	NA	32	other/unspec genetic inc syndromic
840951000006119	68030	C109J	C109J00	Insulin treated Type 2 diabetes mellitus	237599002	2967820013	NA	32	type 2
840971000006112	823	C10D	C10D.00	Diabetes mellitus autosomal dominant type II	237604008	356082013	NA	32	mody
841351000006110	1603	C109J-2	C109J12	Insulin treated Type II diabetes mellitus	237599002	1223147012	NA	32	type 2
850691000006118	470	C109K	C109K00	Hyperosmolar non-ketotic state in type 2 diabetes mellitus	395204000	1488898011	NA	32	type 2
913441000006119	207	C10E0-2	C10E012	Insulin-dependent diabetes mellitus with renal complications	127013003	301016	NA	32	unspecified
913451000006117	1691	C10E0	C10E000	Type 1 diabetes mellitus with renal complications	421893009	2618211013	NA	32	type 1
913461000006115	20	C10E0-1	C10E011	Type I diabetes mellitus with renal complications	421893009	2623054013	NA	32	type 1
913471000006110	254	C10E1-2	C10E112	Insulin-dependent diabetes mellitus with ophthalmic comps	25093002	3688467012	NA	32	unspecified
913481000006113	409	C10E1	C10E100	Type 1 diabetes mellitus with ophthalmic complications	739681000	3537386015	NA	32	type 1
913491000006111	3	C10E1-1	C10E111	Type I diabetes mellitus with ophthalmic complications	739681000	3698438014	NA	32	type 1
913501000006115	133	C10E2-2	C10E212	Insulin-dependent diabetes mellitus with neurological comps	422088007	3688477014	NA	32	unspecified
913511000006117	140	C10E2	C10E200	Type 1 diabetes mellitus with neurological complications	421468001	2618197018	NA	32	type 1
913521000006113	5	C10E2-1	C10E211	Neurological disorder with type 1 diabetes mellitus	421468001	3695401013	NA	32	type 1
913531000006111	139	C10E3-2	C10E312	Insulin dependent diabetes mellitus with multiple complicat	385041000000108	760111000000115	NA	32	unspecified
913541000006118	1092	C10E3	C10E300	Type 1 diabetes mellitus with multiple complications	422228004	2618232017	NA	32	type 1
913551000006116	14	C10E3-1	C10E311	Type I diabetes mellitus with multiple complications	422228004	2967771016	NA	32	type 1
913591000006110	139	C10E5-2	C10E512	Skin ulcer associated with diabetes mellitus	422183001	2623058011	NA	32	unspecified
913621000006112	24	C10E6-2	C10E612	Insulin dependent diabetes mellitus with gangrene	422275004	2616612015	NA	32	unspecified
913651000006115	186	C10E7-2	C10E712	Insulin dependent diabetes mellitus with retinopathy	4855003	9093013	NA	32	unspecified
913661000006118	2534	C10E7	C10E700	Retinopathy with type 1 diabetes mellitus	420789003	3699407019	NA	32	type 1
913671000006113	63	C10E7-1	C10E711	Type I diabetes mellitus with retinopathy	420789003	3699407019	NA	32	type 1
913681000006111	403	C10E8-2	C10E812	Insulin dependent diabetes mellitus - poor control	268519009	401531012	NA	27	unspecified
913711000006112	986	C10E9-2	C10E912	Insulin dependent diabetes maturity onset	73211009	121589010	NA	32	unspecified
913771000006115	12	C10EB-2	C10EB12	Insulin dependent diabetes mellitus with mononeuropathy	230577008	345492010	NA	32	unspecified
913781000006117	17	C10EB	C10EB00	Type 1 diabetes mellitus with mononeuropathy	420918009	2618199015	NA	32	type 1
913791000006119	7	C10EB-1	C10EB11	Type I diabetes mellitus with mononeuropathy	420918009	3697664014	NA	32	type 1
913801000006118	26	C10EC-2	C10EC12	Insulin dependent diabetes mellitus with polyneuropathy	49455004	82373015	NA	32	unspecified
913811000006115	92	C10EC	C10EC00	Type 1 diabetes mellitus with polyneuropathy	713705003	3297342019	NA	32	type 1
913821000006111	1	C10EC-1	C10EC11	Type I diabetes mellitus with polyneuropathy	713705003	3297390014	NA	32	type 1
913831000006114	54	C10ED-2	C10ED12	Insulin dependent diabetes mellitus with nephropathy	127013003	301016	NA	32	unspecified
913841000006116	1250	C10ED	C10ED00	Renal disorder associated with type 1 diabetes mellitus	421893009	2623054013	NA	32	type 1
913851000006119	20	C10ED-1	C10ED11	Type I diabetes mellitus with nephropathy	421893009	2623054013	NA	32	type 1
913891000006113	14	C10EF-2	C10EF12	Insulin dependent diabetes mellitus with diabetic cataract	43959009	73294018	NA	32	unspecified
913901000006112	41	C10EF	C10EF00	Type 1 diabetes mellitus with diabetic cataract	421920002	2618234016	NA	32	type 1
913911000006110	2	C10EF-1	C10EF11	Type I diabetes mellitus with diabetic cataract	421920002	3688521010	NA	32	type 1
913921000006119	6	C10EG-2	C10EG12	Insulin dependent diab mell with peripheral angiopathy	421895002	2618203015	NA	32	unspecified
913931000006116	28	C10EG	C10EG00	Type 1 diabetes mellitus with peripheral angiopathy	31211000119101	3315042015	NA	32	type 1
913941000006114	3	C10EG-1	C10EG11	Peripheral angiopathy due to type 1 diabetes mellitus	31211000119101	3315042015	NA	32	type 1
913981000006115	41	C10EJ-2	C10EJ12	Insulin dependent diab mell with neuropathic arthropathy	201724008	309740011	NA	32	unspecified
914031000006118	3393	C10F0	C10F000	Renal disorder associated with type II diabetes mellitus	420279001	2618208012	NA	32	type 2
914041000006111	25	C10F0-1	C10F011	Type II diabetes mellitus with renal complications	420279001	3013392012	NA	32	type 2
914051000006113	1415	C10F1	C10F100	Disorder of eye with type 2 diabetes mellitus	422099009	3698440016	NA	32	type 2
914061000006110	12	C10F1-1	C10F111	Type II diabetes mellitus with ophthalmic complications	422099009	3698440016	NA	32	type 2
914071000006115	1783	C10F2	C10F200	Neurologic disorder associated with type 2 diabetes mellitus	421326000	3695406015	NA	32	type 2
914081000006117	14	C10F2-1	C10F211	Type II diabetes mellitus with neurological complications	421326000	3695406015	NA	32	type 2
914151000006112	6715	C10F6	C10F600	Retinopathy with type 2 diabetes mellitus	422034002	3699410014	NA	32	type 2
914161000006114	104	C10F6-1	C10F611	Type II diabetes mellitus with retinopathy	422034002	3699410014	NA	32	type 2
914221000006113	315	C10FA	C10FA00	Type 2 diabetes mellitus with mononeuropathy	420436000	2618201018	NA	32	type 2
914231000006111	38	C10FA-1	C10FA11	Type II diabetes mellitus with mononeuropathy	420436000	3697667019	NA	32	type 2
914241000006118	999	C10FB	C10FB00	Polyneuropathy due to type 2 diabetes mellitus	713706002	3297353013	NA	32	type 2
914251000006116	34	C10FB-1	C10FB11	Type II diabetes mellitus with polyneuropathy	713706002	3297353013	NA	32	type 2
914261000006119	7095	C10FC	C10FC00	Diabetes type 2 with nephropathy	420279001	3035432019	NA	32	type 2
914271000006114	90	C10FC-1	C10FC11	Type II diabetes mellitus with nephropathy	420279001	3013392012	NA	32	type 2
914301000006111	486	C10FE	C10FE00	Type 2 diabetes mellitus with diabetic cataract	420756003	3688522015	NA	32	type 2
914311000006114	102	C10FE-1	C10FE11	Type II diabetes mellitus with diabetic cataract	420756003	3688522015	NA	32	type 2
914391000006116	694796	C10FJ	C10FJ00	Insulin treated Type 2 diabetes mellitus	237599002	2967820013	NA	32	type 2
928461000006119	3625	C10EK	C10EK00	Persistent proteinuria associated with type 1 diabetes mellitus	420514000	2967914011	NA	32	type 1
928471000006114	15	C10EK-1	C10EK11	Type I diabetes mellitus with persistent proteinuria	420514000	2967914011	NA	32	type 1
928491000006110	105	C10EL-1	C10EL11	Type I diabetes mellitus with persistent microalbuminuria	401110002	1780311019	NA	32	type 1
928501000006119	16076	C10EM	C10EM00	Ketoacidosis in type 1 diabetes mellitus	420270002	2967817017	NA	32	type 1
928511000006116	700	C10EM-1	C10EM11	Type I diabetes mellitus with ketoacidosis	420270002	2967817017	NA	32	type 1
928521000006112	842	C10EN	C10EN00	Ketoacidotic coma in type 1 diabetes mellitus	421075007	2967758019	NA	32	type 1
928531000006110	4	C10EN-1	C10EN11	Type I diabetes mellitus with ketoacidotic coma	421075007	2967758019	NA	32	type 1
928541000006117	30083	C10FL	C10FL00	Persistent proteinuria associated with type 2 diabetes mellitus	421986006	2967751013	NA	32	type 2
928551000006115	642	C10FL-1	C10FL11	Type II diabetes mellitus with persistent proteinuria	421986006	2967751013	NA	32	type 2
928561000006118	68258	C10FM	C10FM00	Persistent microalbuminuria associated with type 2 diabetes mellitus	420715001	2967769016	NA	32	type 2
928571000006113	2186	C10FM-1	C10FM11	Type II diabetes mellitus with persistent microalbuminuria	420715001	2967769016	NA	32	type 2
928581000006111	2740	C10FN	C10FN00	Ketoacidosis in type 2 diabetes mellitus	421750000	2967754017	NA	32	type 2
928591000006114	81	C10FN-1	C10FN11	Type II diabetes mellitus with ketoacidosis	421750000	2967754017	NA	32	type 2
928601000006118	42	C10FP	C10FP00	Ketoacidotic coma in type 2 diabetes mellitus	421847006	2618218019	NA	32	type 2
928611000006115	6	C10FP-1	C10FP11	Ketoacidotic coma in type II diabetes mellitus	421847006	2618218019	NA	32	type 2
938301000006114	514	C10EP	C10EP00	Exudative maculopathy with type 1 diabetes mellitus	420486006	3698521013	NA	32	type 1
938311000006112	34	C10EP-1	C10EP11	Type I diabetes mellitus with exudative maculopathy	420486006	2618236019	NA	32	type 1
938321000006116	1403	C10FQ	C10FQ00	Exudative maculopathy associated with type 2 diabetes mellitus	421779007	2618237011	NA	32	type 2
938331000006118	254	C10FQ-1	C10FQ11	Exudative maculopathy with type 2 diabetes mellitus	421779007	3698529010	NA	32	type 2
967631000006115	16	C10H0	C10H000	Diabetes mellitus induced by non-steroid drugs without complication	413183008	2474729016	NA	32	secondary
967701000006116	129	C10M	C10M.00	Lipoatrophic diabetes mellitus	127012008	300015	NA	32	other/unspec genetic inc syndromic
1667891000000113	89	C10FK-1	C10FK11	Hyperosmolar non-ketotic state in type II diabetes mellitus	395204000	1667891000000113	NA	32	type 2
1667921000000117	417	C10FR-1	C10FR11	Type II diabetes mellitus with gastroparesis	713703005	3698412014	NA	32	type 2
1667941000000112	370	C10EQ-1	C10EQ11	Type I diabetes mellitus with gastroparesis	713702000	3698406016	NA	32	type 1
1848531000006116	76	PKyP	PKyP.00	Diabetes insipidus, diabetes mellitus, optic atrophy and deafness	70694009	3028935019	NA	32	other/unspec genetic inc syndromic
1968641000006114	130	C10Q	C10Q.00	Maturity-onset diabetes of the young, type 5	609572000	2967853015	NA	32	mody
2287971000000119	45436	C10P	C10P.00	Diabetes mellitus in remission	703136005	3007272014	NA	32	unspecified
2288011000000114	249	C10P0	C10P000	Type I diabetes mellitus in remission	703137001	3007238018	NA	32	type 1
2288041000000110	155	C10P0-1	C10P011	Type 1 diabetes mellitus in remission	703137001	3007274010	NA	32	type 1
2288061000000111	35150	C10P1	C10P100	Type II diabetes mellitus in remission	703138006	3007241010	NA	32	type 2
2288071000000116	18041	C10P1-1	C10P111	Type 2 diabetes mellitus in remission	703138006	3007259013	NA	32	type 2
302011	3896	G73y0	G73y000	Diabetic peripheral angiopathy	127014009	302011	NA	32	unspecified
9093013	445260	F420	F420.00	Diabetic retinopathy	4855003	9093013	NA	32	unspecified
19931010	1943	66AJ1	66AJ100	Brittle diabetes	11530004	19931010	NA	27	unspecified
73466011	146761	C1001-2	C100112	Non-insulin dependent diabetes mellitus	44054006	493773010	NA	32	unspecified
82373015	2306	F372-1	F372.11	Diabetic polyneuropathy	49455004	82373015	NA	32	unspecified
205225016	39304	C104-1	C104.11	Diabetic nephropathy	127013003	205225016	NA	32	unspecified
264716012	18651	66AJz	66AJz00	Diabetic - poor control NOS	268519009	401531012	NA	27	unspecified
292466013	17955	C100	C100.00	Diabetes mellitus without complication	111552007	178796018	NA	32	unspecified
292475010	5239	C100z	C100z00	Diabetes mellitus NOS with no mention of complication	111552007	178796018	NA	32	unspecified
292495016	141	C104y	C104y00	Other specified diabetes mellitus with renal complications	127013003	301016	NA	32	other type not specified
292496015	1705	C104z	C104z00	Diabetes mellitus with nephropathy NOS	127013003	301016	NA	32	unspecified
292565014	240	C108z	C108z00	Diabetes mellitus with multiple complications	385041000000108	760111000000115	NA	32	unspecified
292621010	50	C10yz	C10yz00	Diabetes mellitus NOS with other specified manifestation	73211009	121589010	NA	32	unspecified
293756010	75	Cyu20	Cyu2000	[X]Other specified diabetes mellitus	73211009	121589010	NA	32	other type not specified
293759015	2308	Cyu23	Cyu2300	Diabetic renal disease	127013003	301016	NA	32	unspecified
297758012	17666	F420z	F420z00	Diabetic retinopathy NOS	4855003	9093013	NA	32	unspecified
345492010	1748	F3y0	F3y0.00	Diabetic mononeuropathy	230577008	345492010	NA	32	unspecified
354316011	314	C314-1	C314.11	Kidney disorder due to diabetes mellitus	127013003	3688488015	NA	32	unspecified
401531012	412453	66AJ	66AJ.00	Diabetic - poor control	268519009	401531012	NA	27	unspecified
411891014	3758	66AJ-1	66AJ.11	Unstable diabetes	11530004	19931010	NA	27	unspecified
457328010	5443	C1099	C109900	Non-insulin-dependent diabetes mellitus without complication	313436004	457328010	NA	32	unspecified
459309011	8	C109G	C109G00	Non-insulin dependent diabetes mellitus with arthropathy	314903002	459309011	NA	32	unspecified
493773010	44907	C109-1	C109.11	NIDDM - Non-insulin dependent diabetes mellitus	44054006	493773010	NA	32	unspecified
13751000006117	354	C108y	C108y00	Other specified diabetes mellitus with multiple comps	385041000000108	760111000000115	NA	32	other type not specified
13781000006113	11	C10yy	C10yy00	Other specified diabetes mellitus with other spec comps	73211009	121589010	NA	32	other type not specified
72651000006114	126	C1084	C108400	Unstable insulin dependent diabetes mellitus	11530004	19931010	NA	27	unspecified
72711000006117	33	C1084-2	C108412	Unstable type 1 diabetes mellitus	290002008	429971019	NA	32	type 1
72721000006113	16	C1084-1	C108411	Unstable type I diabetes mellitus	290002008	429970018	NA	32	type 1
84281000006115	36167	C108-2	C108.12	Type 1 diabetes mellitus	46635009	197984010	NA	32	type 1
84291000006117	798	C1088-2	C108812	Type 1 diabetes mellitus - poor control	444073006	2872487013	NA	32	type 1
84301000006116	34	C1089-2	C108912	Type 1 diabetes mellitus maturity onset	190372001	292553010	NA	32	type 1
84311000006118	11	C108H-2	C108H12	Type 1 diabetes mellitus with arthropathy	314893005	459292011	NA	32	type 1
84321000006114	14	C108F-2	C108F12	Type 1 diabetes mellitus with diabetic cataract	421920002	2618234016	NA	32	type 1
84331000006112	2	C1086-2	C108612	Type 1 diabetes mellitus with gangrene	420825003	2618207019	NA	32	type 1
84341000006119	27	C108E-2	C108E12	Type 1 diabetes mellitus with hypoglycaemic coma	314771006	459161015	NA	32	type 1
84361000006115	12	C1083-2	C108312	Type 1 diabetes mellitus with multiple complications	422228004	2618232017	NA	32	type 1
84371000006110	253	C108D-2	C108D12	Type 1 diabetes mellitus with nephropathy	421893009	2623054013	NA	32	type 1
84381000006113	21	C1082-2	C108212	Type 1 diabetes mellitus with neurological complications	421468001	2618197018	NA	32	type 1
84391000006111	3	C108J-2	C108J12	Type 1 diabetes mellitus with neuropathic arthropathy	71771000119100	3010513018	NA	32	type 1
84401000006113	84	C1081-2	C108112	Type 1 diabetes mellitus with ophthalmic complications	739681000	3537386015	NA	32	type 1
84421000006115	14	C108C-2	C108C12	Type 1 diabetes mellitus with polyneuropathy	713705003	3297342019	NA	32	type 1
84431000006117	52	C1080-2	C108012	Type 1 diabetes mellitus with renal complications	421893009	2618211013	NA	32	type 1
84441000006110	49	C1087-2	C108712	Type 1 diabetes mellitus with retinopathy	420789003	3699407019	NA	32	type 1
84451000006112	30	C1085-2	C108512	Type 1 diabetes mellitus with ulcer	190368000	292540012	NA	32	type 1
84461000006114	13	C108A-2	C108A12	Type 1 diabetes mellitus without complication	313435000	457326014	NA	32	type 1
84471000006119	273171	C109-2	C109.12	Type 2 diabetes mellitus	44054006	197761014	NA	32	type 2
84481000006116	1387	C1097-2	C109712	Type 2 diabetes mellitus - poor control	443694000	2921019012	NA	32	type 2
84491000006118	13	C109G-2	C109G12	Type 2 diabetes mellitus with arthropathy	314903002	459310018	NA	32	type 2
84501000006114	103	C109E-2	C109E12	Type 2 diabetes mellitus with diabetic cataract	420756003	3688522015	NA	32	type 2
84511000006112	18	C1095-2	C109512	Type 2 diabetes mellitus with gangrene	421631007	2618206011	NA	32	type 2
84521000006116	25	C109D-2	C109D12	Type 2 diabetes mellitus with hypoglycaemic coma	719216001	3316336015	NA	32	type 2
84531000006118	18	C109A-2	C109A12	Type 2 diabetes mellitus with mononeuropathy	420436000	2618201018	NA	32	type 2
84541000006111	187	C1093-2	C109312	Type 2 diabetes mellitus with multiple complications	190388001	292577016	NA	32	type 2
84551000006113	810	C109C-2	C109C12	Type 2 diabetes mellitus with nephropathy	420279001	3035432019	NA	32	type 2
84561000006110	119	C1092-2	C109212	Type 2 diabetes mellitus with neurological complications	421326000	3695406015	NA	32	type 2
84571000006115	20	C109H-2	C109H12	Type 2 diabetes mellitus with neuropathic arthropathy	314904008	459313016	NA	32	type 2
84581000006117	192	C1091-2	C109112	Type 2 diabetes mellitus with ophthalmic complications	422099009	3698440016	NA	32	type 2
84591000006119	8	C109F-2	C109F12	Type 2 diabetes mellitus with peripheral angiopathy	314902007	459308015	NA	32	type 2
84601000006110	13	C109B-2	C109B12	Type 2 diabetes mellitus with polyneuropathy	713706002	3297353013	NA	32	type 2
84611000006113	208	C1090-2	C109012	Type 2 diabetes mellitus with renal complications	420279001	2618208012	NA	32	type 2
84621000006117	145	C1096-2	C109612	Type 2 diabetes mellitus with retinopathy	422034002	3699410014	NA	32	type 2
84631000006119	91	C1094-2	C109412	Type 2 diabetes mellitus with ulcer	190389009	292579018	NA	32	type 2
84641000006112	90	C1099-2	C109912	Type 2 diabetes mellitus without complication	313436004	457329019	NA	32	type 2
84651000006114	21304	C108-3	C108.13	Type I diabetes mellitus	46635009	494564012	NA	32	type 1
84661000006111	2139	C1088-1	C108811	Type I diabetes mellitus poorly controlled	444073006	2872487013	NA	32	type 1
84671000006116	239	C1089-1	C108911	Type I diabetes mellitus maturity onset	190372001	292551012	NA	32	type 1
84681000006118	1	C108H-1	C108H11	Type I diabetes mellitus with arthropathy	314893005	459294012	NA	32	type 1
84691000006115	18	C108F-1	C108F11	Cataract due to diabetes mellitus type 1	421920002	3688521010	NA	32	type 1
84701000006115	13	C1086-1	C108611	Type I diabetes mellitus with gangrene	420825003	2618207019	NA	32	type 1
84711000006117	68	C108E-1	C108E11	Type I diabetes mellitus with hypoglycaemic coma	314771006	459163017	NA	32	type 1
84721000006113	4	C108B-1	C108B11	Mononeuropathy with type 1 diabetes mellitus	420918009	3697664014	NA	32	type 1
84731000006111	338	C1083-1	C108311	Multiple complications of type 1 diabetes mellitus	422228004	2967771016	NA	32	type 1
84741000006118	365	C108D-1	C108D11	Type I diabetes mellitus with nephropathy	421893009	2623054013	NA	32	type 1
84751000006116	4	C1082-1	C108211	Type I diabetes mellitus with neurological complications	421468001	3695401013	NA	32	type 1
84761000006119	123	C108J-1	C108J11	Type I diabetes mellitus with neuropathic arthropathy	71771000119100	3010513018	NA	32	type 1
84771000006114	28	C1081-1	C108111	Disorder of eye with type 1 diabetes mellitus	739681000	3698438014	NA	32	type 1
84791000006110	3	C108C-1	C108C11	Polyneuropathy due to diabetes mellitus type I	713705003	3297390014	NA	32	type 1
84801000006111	54	C1080-1	C108011	Type I diabetes mellitus with renal complications	421893009	2623054013	NA	32	type 1
84811000006114	106	C1087-1	C108711	Type I diabetes mellitus with retinopathy	420789003	3699407019	NA	32	type 1
84821000006118	20	C1085-1	C108511	Type I diabetes mellitus with ulcer	190368000	292538019	NA	32	type 1
84831000006115	5	C108A-1	C108A11	Type I diabetes mellitus without complication	313435000	457325013	NA	32	type 1
84841000006113	56476	C109-3	C109.13	Type II diabetes mellitus	44054006	493774016	NA	32	type 2
84851000006110	846	C1097-1	C109711	Type II diabetes mellitus - poor control	443694000	2921019012	NA	32	type 2
84861000006112	3	C109G-1	C109G11	Type II diabetes mellitus with arthropathy	314903002	459311019	NA	32	type 2
84871000006117	167	C109E-1	C109E11	Cataract due to diabetes mellitus type 2	420756003	3688522015	NA	32	type 2
84881000006119	8	C1095-1	C109511	Type II diabetes mellitus with gangrene	421631007	2618206011	NA	32	type 2
84891000006116	5	C109D-1	C109D11	Type II diabetes mellitus with hypoglycaemic coma	719216001	3316336015	NA	32	type 2
84901000006117	28	C109A-1	C109A11	Mononeuropathy with type 2 diabetes mellitus	420436000	3697667019	NA	32	type 2
84911000006119	8	C1093-1	C109311	Type II diabetes mellitus with multiple complications	190388001	292576013	NA	32	type 2
84921000006110	1042	C109C-1	C109C11	Renal disorder due to type 2 diabetes mellitus	420279001	3013392012	NA	32	type 2
84931000006113	48	C1092-1	C109211	Neurological disorder with diabetes type 2	421326000	3695406015	NA	32	type 2
84941000006115	14	C109H-1	C109H11	Type II diabetes mellitus with neuropathic arthropathy	314904008	459312014	NA	32	type 2
84951000006118	46	C1091-1	C109111	Disorder of eye with type 2 diabetes mellitus	422099009	3698440016	NA	32	type 2
