snomedcode,term_snomed,category,id,search_terms,read_mapping,matchtotal,MedCodeId,term_medcode,OriginalReadCode,CleansedReadCode,SnomedCTDescriptionId,Release,EmisCodeCategoryId
105542008#,Non-drinker alcohol,AlcoholConsumptionLevel0,291352018#,1,1,2,217461000000118#,Non - drinker,136M,136M.00,2659856015,NA,17
105542008#,Never drinks,AlcoholConsumptionLevel0,291353011#,1,1,2,291355016#,Teetotaller,1361,1361,291355016,NA,17
105542008#,Never drinks,AlcoholConsumptionLevel0,291353011#,1,1,2,587231000006111#,Non drinker alcohol,1361-1,1361.11,291352018,NA,17
105542008#,Never drinks,AlcoholConsumptionLevel0,291353011#,1,1,2,4120341000006116#,Never drinks,^ESCTNE412034,NA,291353011,NA,17
105542008#,Never drinks,AlcoholConsumptionLevel0,291353011#,1,1,2,4120321000006111#,Abstinent,^ESCTAB412032,NA,291351013,NA,17
105542008#,Never drinks,AlcoholConsumptionLevel0,291353011#,1,1,2,4120381000006110#,Current non-drinker of alcohol,^ESCTCU412038,NA,2659855016,NA,17
105542008#,Never drinks,AlcoholConsumptionLevel0,291353011#,1,1,2,291352018#,Non-drinker alcohol,1361-2,1361.12,291352018,NA,17
105542008#,Never drinks,AlcoholConsumptionLevel0,291353011#,1,1,2,4120351000006119#,Does not drink alcohol,^ESCTDO412035,NA,291354017,NA,17
105542008#,Never drinks,AlcoholConsumptionLevel0,291353011#,1,1,2,4120371000006112#,Non - drinker alcohol,^ESCTNO412037,NA,2659854017,NA,17
105542008#,Never drinks,AlcoholConsumptionLevel0,291353011#,1,1,2,217461000000118#,Non - drinker,136M,136M.00,2659856015,NA,17
105542008#,Does not drink alcohol,AlcoholConsumptionLevel0,291354017#,1,1,2,291355016#,Teetotaller,1361,1361,291355016,NA,17
105542008#,Does not drink alcohol,AlcoholConsumptionLevel0,291354017#,1,1,2,587231000006111#,Non drinker alcohol,1361-1,1361.11,291352018,NA,17
105542008#,Does not drink alcohol,AlcoholConsumptionLevel0,291354017#,1,1,2,4120341000006116#,Never drinks,^ESCTNE412034,NA,291353011,NA,17
105542008#,Does not drink alcohol,AlcoholConsumptionLevel0,291354017#,1,1,2,4120321000006111#,Abstinent,^ESCTAB412032,NA,291351013,NA,17
105542008#,Does not drink alcohol,AlcoholConsumptionLevel0,291354017#,1,1,2,4120381000006110#,Current non-drinker of alcohol,^ESCTCU412038,NA,2659855016,NA,17
105542008#,Does not drink alcohol,AlcoholConsumptionLevel0,291354017#,1,1,2,291352018#,Non-drinker alcohol,1361-2,1361.12,291352018,NA,17
105542008#,Does not drink alcohol,AlcoholConsumptionLevel0,291354017#,1,1,2,4120351000006119#,Does not drink alcohol,^ESCTDO412035,NA,291354017,NA,17
105542008#,Does not drink alcohol,AlcoholConsumptionLevel0,291354017#,1,1,2,4120371000006112#,Non - drinker alcohol,^ESCTNO412037,NA,2659854017,NA,17
105542008#,Does not drink alcohol,AlcoholConsumptionLevel0,291354017#,1,1,2,217461000000118#,Non - drinker,136M,136M.00,2659856015,NA,17
105542008#,Teetotaller,AlcoholConsumptionLevel0,291355016#,1,1,2,291355016#,Teetotaller,1361,1361,291355016,NA,17
105542008#,Teetotaller,AlcoholConsumptionLevel0,291355016#,1,1,2,587231000006111#,Non drinker alcohol,1361-1,1361.11,291352018,NA,17
105542008#,Teetotaller,AlcoholConsumptionLevel0,291355016#,1,1,2,4120341000006116#,Never drinks,^ESCTNE412034,NA,291353011,NA,17
105542008#,Teetotaller,AlcoholConsumptionLevel0,291355016#,1,1,2,4120321000006111#,Abstinent,^ESCTAB412032,NA,291351013,NA,17
105542008#,Teetotaller,AlcoholConsumptionLevel0,291355016#,1,1,2,4120381000006110#,Current non-drinker of alcohol,^ESCTCU412038,NA,2659855016,NA,17
105542008#,Teetotaller,AlcoholConsumptionLevel0,291355016#,1,1,2,291352018#,Non-drinker alcohol,1361-2,1361.12,291352018,NA,17
105542008#,Teetotaller,AlcoholConsumptionLevel0,291355016#,1,1,2,4120351000006119#,Does not drink alcohol,^ESCTDO412035,NA,291354017,NA,17
105542008#,Teetotaller,AlcoholConsumptionLevel0,291355016#,1,1,2,4120371000006112#,Non - drinker alcohol,^ESCTNO412037,NA,2659854017,NA,17
105542008#,Teetotaller,AlcoholConsumptionLevel0,291355016#,1,1,2,217461000000118#,Non - drinker,136M,136M.00,2659856015,NA,17
105542008#,Teetotaller (life style),AlcoholConsumptionLevel0,573008013#,1,1,2,291355016#,Teetotaller,1361,1361,291355016,NA,17
105542008#,Teetotaller (life style),AlcoholConsumptionLevel0,573008013#,1,1,2,587231000006111#,Non drinker alcohol,1361-1,1361.11,291352018,NA,17
105542008#,Teetotaller (life style),AlcoholConsumptionLevel0,573008013#,1,1,2,4120341000006116#,Never drinks,^ESCTNE412034,NA,291353011,NA,17
105542008#,Teetotaller (life style),AlcoholConsumptionLevel0,573008013#,1,1,2,4120321000006111#,Abstinent,^ESCTAB412032,NA,291351013,NA,17
105542008#,Teetotaller (life style),AlcoholConsumptionLevel0,573008013#,1,1,2,4120381000006110#,Current non-drinker of alcohol,^ESCTCU412038,NA,2659855016,NA,17
105542008#,Teetotaller (life style),AlcoholConsumptionLevel0,573008013#,1,1,2,291352018#,Non-drinker alcohol,1361-2,1361.12,291352018,NA,17
105542008#,Teetotaller (life style),AlcoholConsumptionLevel0,573008013#,1,1,2,4120351000006119#,Does not drink alcohol,^ESCTDO412035,NA,291354017,NA,17
105542008#,Teetotaller (life style),AlcoholConsumptionLevel0,573008013#,1,1,2,4120371000006112#,Non - drinker alcohol,^ESCTNO412037,NA,2659854017,NA,17
105542008#,Teetotaller (life style),AlcoholConsumptionLevel0,573008013#,1,1,2,217461000000118#,Non - drinker,136M,136M.00,2659856015,NA,17
105542008#,Current non-drinker of alcohol (finding),AlcoholConsumptionLevel0,1475322016#,1,1,2,291355016#,Teetotaller,1361,1361,291355016,NA,17
105542008#,Current non-drinker of alcohol (finding),AlcoholConsumptionLevel0,1475322016#,1,1,2,587231000006111#,Non drinker alcohol,1361-1,1361.11,291352018,NA,17
105542008#,Current non-drinker of alcohol (finding),AlcoholConsumptionLevel0,1475322016#,1,1,2,4120341000006116#,Never drinks,^ESCTNE412034,NA,291353011,NA,17
105542008#,Current non-drinker of alcohol (finding),AlcoholConsumptionLevel0,1475322016#,1,1,2,4120321000006111#,Abstinent,^ESCTAB412032,NA,291351013,NA,17
105542008#,Current non-drinker of alcohol (finding),AlcoholConsumptionLevel0,1475322016#,1,1,2,4120381000006110#,Current non-drinker of alcohol,^ESCTCU412038,NA,2659855016,NA,17
105542008#,Current non-drinker of alcohol (finding),AlcoholConsumptionLevel0,1475322016#,1,1,2,291352018#,Non-drinker alcohol,1361-2,1361.12,291352018,NA,17
105542008#,Current non-drinker of alcohol (finding),AlcoholConsumptionLevel0,1475322016#,1,1,2,4120351000006119#,Does not drink alcohol,^ESCTDO412035,NA,291354017,NA,17
105542008#,Current non-drinker of alcohol (finding),AlcoholConsumptionLevel0,1475322016#,1,1,2,4120371000006112#,Non - drinker alcohol,^ESCTNO412037,NA,2659854017,NA,17
105542008#,Current non-drinker of alcohol (finding),AlcoholConsumptionLevel0,1475322016#,1,1,2,217461000000118#,Non - drinker,136M,136M.00,2659856015,NA,17
105542008#,Non - drinker alcohol,AlcoholConsumptionLevel0,2659854017#,1,1,2,291355016#,Teetotaller,1361,1361,291355016,NA,17
105542008#,Non - drinker alcohol,AlcoholConsumptionLevel0,2659854017#,1,1,2,587231000006111#,Non drinker alcohol,1361-1,1361.11,291352018,NA,17
105542008#,Non - drinker alcohol,AlcoholConsumptionLevel0,2659854017#,1,1,2,4120341000006116#,Never drinks,^ESCTNE412034,NA,291353011,NA,17
105542008#,Non - drinker alcohol,AlcoholConsumptionLevel0,2659854017#,1,1,2,4120321000006111#,Abstinent,^ESCTAB412032,NA,291351013,NA,17
105542008#,Non - drinker alcohol,AlcoholConsumptionLevel0,2659854017#,1,1,2,4120381000006110#,Current non-drinker of alcohol,^ESCTCU412038,NA,2659855016,NA,17
105542008#,Non - drinker alcohol,AlcoholConsumptionLevel0,2659854017#,1,1,2,291352018#,Non-drinker alcohol,1361-2,1361.12,291352018,NA,17
105542008#,Non - drinker alcohol,AlcoholConsumptionLevel0,2659854017#,1,1,2,4120351000006119#,Does not drink alcohol,^ESCTDO412035,NA,291354017,NA,17
105542008#,Non - drinker alcohol,AlcoholConsumptionLevel0,2659854017#,1,1,2,4120371000006112#,Non - drinker alcohol,^ESCTNO412037,NA,2659854017,NA,17
105542008#,Non - drinker alcohol,AlcoholConsumptionLevel0,2659854017#,1,1,2,217461000000118#,Non - drinker,136M,136M.00,2659856015,NA,17
105542008#,Current non-drinker of alcohol,AlcoholConsumptionLevel0,2659855016#,1,1,2,291355016#,Teetotaller,1361,1361,291355016,NA,17
105542008#,Current non-drinker of alcohol,AlcoholConsumptionLevel0,2659855016#,1,1,2,587231000006111#,Non drinker alcohol,1361-1,1361.11,291352018,NA,17
105542008#,Current non-drinker of alcohol,AlcoholConsumptionLevel0,2659855016#,1,1,2,4120341000006116#,Never drinks,^ESCTNE412034,NA,291353011,NA,17
105542008#,Current non-drinker of alcohol,AlcoholConsumptionLevel0,2659855016#,1,1,2,4120321000006111#,Abstinent,^ESCTAB412032,NA,291351013,NA,17
105542008#,Current non-drinker of alcohol,AlcoholConsumptionLevel0,2659855016#,1,1,2,4120381000006110#,Current non-drinker of alcohol,^ESCTCU412038,NA,2659855016,NA,17
105542008#,Current non-drinker of alcohol,AlcoholConsumptionLevel0,2659855016#,1,1,2,291352018#,Non-drinker alcohol,1361-2,1361.12,291352018,NA,17
105542008#,Current non-drinker of alcohol,AlcoholConsumptionLevel0,2659855016#,1,1,2,4120351000006119#,Does not drink alcohol,^ESCTDO412035,NA,291354017,NA,17
105542008#,Current non-drinker of alcohol,AlcoholConsumptionLevel0,2659855016#,1,1,2,4120371000006112#,Non - drinker alcohol,^ESCTNO412037,NA,2659854017,NA,17
105542008#,Current non-drinker of alcohol,AlcoholConsumptionLevel0,2659855016#,1,1,2,217461000000118#,Non - drinker,136M,136M.00,2659856015,NA,17
105542008#,Non - drinker,AlcoholConsumptionLevel0,2659856015#,1,1,2,291355016#,Teetotaller,1361,1361,291355016,NA,17
105542008#,Non - drinker,AlcoholConsumptionLevel0,2659856015#,1,1,2,587231000006111#,Non drinker alcohol,1361-1,1361.11,291352018,NA,17
105542008#,Non - drinker,AlcoholConsumptionLevel0,2659856015#,1,1,2,4120341000006116#,Never drinks,^ESCTNE412034,NA,291353011,NA,17
105542008#,Non - drinker,AlcoholConsumptionLevel0,2659856015#,1,1,2,4120321000006111#,Abstinent,^ESCTAB412032,NA,291351013,NA,17
105542008#,Non - drinker,AlcoholConsumptionLevel0,2659856015#,1,1,2,4120381000006110#,Current non-drinker of alcohol,^ESCTCU412038,NA,2659855016,NA,17
105542008#,Non - drinker,AlcoholConsumptionLevel0,2659856015#,1,1,2,291352018#,Non-drinker alcohol,1361-2,1361.12,291352018,NA,17
105542008#,Non - drinker,AlcoholConsumptionLevel0,2659856015#,1,1,2,4120351000006119#,Does not drink alcohol,^ESCTDO412035,NA,291354017,NA,17
105542008#,Non - drinker,AlcoholConsumptionLevel0,2659856015#,1,1,2,4120371000006112#,Non - drinker alcohol,^ESCTNO412037,NA,2659854017,NA,17
105542008#,Non - drinker,AlcoholConsumptionLevel0,2659856015#,1,1,2,217461000000118#,Non - drinker,136M,136M.00,2659856015,NA,17
160582009#,Ex-trivial drinker - less than 1 unit/day,AlcoholConsumptionLevel0,250320019#,1,1,2,250321015#,Ex-trivial drinker (<1u/day),136A,136A.00,250321015,NA,17
160582009#,Ex-trivial drinker - less than 1 unit/day,AlcoholConsumptionLevel0,250320019#,1,1,2,4533271000006119#,Ex-trivial drinker - less than 1 unit/day,^ESCTEX453327,NA,250320019,NA,17
160582009#,Ex-trivial drinker (<1u/day),AlcoholConsumptionLevel0,250321015#,1,1,2,250321015#,Ex-trivial drinker (<1u/day),136A,136A.00,250321015,NA,17
160582009#,Ex-trivial drinker (<1u/day),AlcoholConsumptionLevel0,250321015#,1,1,2,4533271000006119#,Ex-trivial drinker - less than 1 unit/day,^ESCTEX453327,NA,250320019,NA,17
160582009#,Ex-trivial drinker - less than 1 unit/day (life style),AlcoholConsumptionLevel0,541511016#,1,1,2,250321015#,Ex-trivial drinker (<1u/day),136A,136A.00,250321015,NA,17
160582009#,Ex-trivial drinker - less than 1 unit/day (life style),AlcoholConsumptionLevel0,541511016#,1,1,2,4533271000006119#,Ex-trivial drinker - less than 1 unit/day,^ESCTEX453327,NA,250320019,NA,17
160582009#,Ex-trivial drinker - less than 1 unit/day (finding),AlcoholConsumptionLevel0,1470231016#,1,1,2,250321015#,Ex-trivial drinker (<1u/day),136A,136A.00,250321015,NA,17
160582009#,Ex-trivial drinker - less than 1 unit/day (finding),AlcoholConsumptionLevel0,1470231016#,1,1,2,4533271000006119#,Ex-trivial drinker - less than 1 unit/day,^ESCTEX453327,NA,250320019,NA,17
228274009#,Lifetime abstainer from drink,AlcoholConsumptionLevel0,342314017#,1,1,2,4977931000006114#,Lifetime teetotaller,^ESCTLI497793,NA,342315016,NA,17
228274009#,Lifetime abstainer from drink,AlcoholConsumptionLevel0,342314017#,1,1,2,4977911000006115#,Lifetime non-drinker,^ESCTLI497791,NA,342316015,NA,17
228274009#,Lifetime abstainer from drink,AlcoholConsumptionLevel0,342314017#,1,1,2,4977921000006111#,Lifetime abstainer from drink,^ESCTLI497792,NA,342314017,NA,17
228274009#,Lifetime teetotaller,AlcoholConsumptionLevel0,342315016#,1,1,2,4977931000006114#,Lifetime teetotaller,^ESCTLI497793,NA,342315016,NA,17
228274009#,Lifetime teetotaller,AlcoholConsumptionLevel0,342315016#,1,1,2,4977911000006115#,Lifetime non-drinker,^ESCTLI497791,NA,342316015,NA,17
228274009#,Lifetime teetotaller,AlcoholConsumptionLevel0,342315016#,1,1,2,4977921000006111#,Lifetime abstainer from drink,^ESCTLI497792,NA,342314017,NA,17
228274009#,Lifetime non-drinker,AlcoholConsumptionLevel0,342316015#,1,1,2,4977931000006114#,Lifetime teetotaller,^ESCTLI497793,NA,342315016,NA,17
228274009#,Lifetime non-drinker,AlcoholConsumptionLevel0,342316015#,1,1,2,4977911000006115#,Lifetime non-drinker,^ESCTLI497791,NA,342316015,NA,17
228274009#,Lifetime non-drinker,AlcoholConsumptionLevel0,342316015#,1,1,2,4977921000006111#,Lifetime abstainer from drink,^ESCTLI497792,NA,342314017,NA,17
228274009#,Lifetime non-drinker (life style),AlcoholConsumptionLevel0,615842018#,1,1,2,4977931000006114#,Lifetime teetotaller,^ESCTLI497793,NA,342315016,NA,17
228274009#,Lifetime non-drinker (life style),AlcoholConsumptionLevel0,615842018#,1,1,2,4977911000006115#,Lifetime non-drinker,^ESCTLI497791,NA,342316015,NA,17
228274009#,Lifetime non-drinker (life style),AlcoholConsumptionLevel0,615842018#,1,1,2,4977921000006111#,Lifetime abstainer from drink,^ESCTLI497792,NA,342314017,NA,17
228274009#,Lifetime non-drinker (finding),AlcoholConsumptionLevel0,1471261015#,1,1,2,4977931000006114#,Lifetime teetotaller,^ESCTLI497793,NA,342315016,NA,17
228274009#,Lifetime non-drinker (finding),AlcoholConsumptionLevel0,1471261015#,1,1,2,4977911000006115#,Lifetime non-drinker,^ESCTLI497791,NA,342316015,NA,17
228274009#,Lifetime non-drinker (finding),AlcoholConsumptionLevel0,1471261015#,1,1,2,4977921000006111#,Lifetime abstainer from drink,^ESCTLI497792,NA,342314017,NA,17
82581004#,Former alcohol drinker,AlcoholConsumptionLevel0,136988017#,1,0,1,3843491000006118#,Ex-drinker,^ESCTEX384349,NA,136989013,NA,17
82581004#,Ex-drinker,AlcoholConsumptionLevel0,136989013#,1,0,1,3843491000006118#,Ex-drinker,^ESCTEX384349,NA,136989013,NA,17
105543003#,Non-drinker for personal reasons,AlcoholConsumptionLevel0,169641011#,1,0,1,4120391000006113#,Non-drinker for personal reasons,^ESCTNO412039,NA,169641011,NA,31
105544009#,Non-drinker for religious reasons,AlcoholConsumptionLevel0,169642016#,1,0,1,4120401000006110#,Non-drinker for religious reasons,^ESCTNO412040,NA,169642016,NA,31
105545005#,Non-drinker for medical reasons,AlcoholConsumptionLevel0,169643014#,1,0,1,4120411000006113#,Non-drinker for medical reasons,^ESCTNO412041,NA,169643014,NA,31
137953007#,Teetotaller,AlcoholConsumptionLevel0,219165010#,1,0,1,"NA#",NA,NA,NA,NA,NA,NA
137959006#,Stopped drinking alcohol,AlcoholConsumptionLevel0,219171016#,1,0,1,"NA#",NA,NA,NA,NA,NA,NA
137962009#,Ex-trivial drinker - less than 1 unit/day,AlcoholConsumptionLevel0,219174012#,1,0,1,"NA#",NA,NA,NA,NA,NA,NA
137963004#,Ex-light drinker - (1-2u/day),AlcoholConsumptionLevel0,219175013#,1,0,1,"NA#",NA,NA,NA,NA,NA,NA
137975009#,Current non-drinker,AlcoholConsumptionLevel0,219188011#,1,0,1,"NA#",NA,NA,NA,NA,NA,NA
160579004#,Stopped drinking alcohol,AlcoholConsumptionLevel0,250317010#,1,0,1,250317010#,Stopped drinking alcohol,1367,1367,250317010,NA,17
160583004#,Ex-light drinker - (1-2u/day),AlcoholConsumptionLevel0,250322010#,1,0,1,250322010#,Ex-light drinker - (1-2u/day),136B,136B.00,250322010,NA,17
160594000#,Current non-drinker,AlcoholConsumptionLevel0,250341013#,1,0,1,"NA#",NA,NA,NA,NA,NA,NA
137953007#,Teetotaller,AlcoholConsumptionLevel0,516360017#,1,0,1,"NA#",NA,NA,NA,NA,NA,NA
137959006#,Stopped drinking alcohol,AlcoholConsumptionLevel0,516367019#,1,0,1,"NA#",NA,NA,NA,NA,NA,NA
137962009#,Ex-trivial drinker - less than 1 unit/day,AlcoholConsumptionLevel0,516370015#,1,0,1,"NA#",NA,NA,NA,NA,NA,NA
137963004#,Ex-light drinker - (1-2u/day),AlcoholConsumptionLevel0,516371016#,1,0,1,"NA#",NA,NA,NA,NA,NA,NA
137975009#,Current non-drinker,AlcoholConsumptionLevel0,516385014#,1,0,1,"NA#",NA,NA,NA,NA,NA,NA
160579004#,Stopped drinking alcohol (life style),AlcoholConsumptionLevel0,541508017#,1,0,1,250317010#,Stopped drinking alcohol,1367,1367,250317010,NA,17
