snomedcode,term_snomed,category,id,search_terms,read_mapping,matchtotal,MedCodeId,term_medcode,OriginalReadCode,CleansedReadCode,SnomedCTDescriptionId,Release,EmisCodeCategoryId,qof
266920004#,Trivial cigarette smoker (less than one cigarette/day),Active smoker,397735013#,1,1,2,88471000006112#,Trivial cigarette smoker (less than one cigarette/day),1372,1372,397735013,NA,17,1
266920004#,Trivial cigarette smoker (less than one cigarette/day),Active smoker,397735013#,1,1,2,5495951000006111#,Occasional cigarette smoker (less than one cigarette/day),^ESCTOC549595,NA,397734012,NA,17,1
266920004#,Trivial cigarette smoker (less than one cigarette/day) (life style),Active smoker,659472013#,1,1,2,5495941000006114#,Occasional smoker,^ESCTOC549594,NA,397733018,NA,17,1
266920004#,Trivial cigarette smoker (less than one cigarette/day) (life style),Active smoker,659472013#,1,1,2,88471000006112#,Trivial cigarette smoker (less than one cigarette/day),1372,1372,397735013,NA,17,1
266920004#,Trivial cigarette smoker (less than one cigarette/day) (life style),Active smoker,659472013#,1,1,2,5495951000006111#,Occasional cigarette smoker (less than one cigarette/day),^ESCTOC549595,NA,397734012,NA,17,1
266920004#,Trivial cigarette smoker (less than one cigarette/day) (finding),Active smoker,1472195011#,1,1,2,5495941000006114#,Occasional smoker,^ESCTOC549594,NA,397733018,NA,17,1
266920004#,Trivial cigarette smoker (less than one cigarette/day) (finding),Active smoker,1472195011#,1,1,2,88471000006112#,Trivial cigarette smoker (less than one cigarette/day),1372,1372,397735013,NA,17,1
266920004#,Trivial cigarette smoker (less than one cigarette/day) (finding),Active smoker,1472195011#,1,1,2,5495951000006111#,Occasional cigarette smoker (less than one cigarette/day),^ESCTOC549595,NA,397734012,NA,17,1
428041000124106#,Occasional tobacco smoker,Active smoker,3308893017#,1,1,2,8153381000006119#,Occasional smoker,^ESCTOC815338,NA,8.15E+15,NA,17,1
428041000124106#,Occasional tobacco smoker,Active smoker,3308893017#,1,1,2,397733018#,Occasional smoker,1372-1,1372.11,2.72E+15,NA,17,1
428041000124106#,Occasional tobacco smoker,Active smoker,3308893017#,1,1,2,8153371000006117#,Occasional tobacco smoker,^ESCTOC815337,NA,3308893017,NA,17,1
428041000124106#,Occasional tobacco smoker (finding),Active smoker,3308911015#,1,1,2,8153381000006119#,Occasional smoker,^ESCTOC815338,NA,8.15E+15,NA,17,1
428041000124106#,Occasional tobacco smoker (finding),Active smoker,3308911015#,1,1,2,397733018#,Occasional smoker,1372-1,1372.11,2.72E+15,NA,17,1
428041000124106#,Occasional tobacco smoker (finding),Active smoker,3308911015#,1,1,2,8153371000006117#,Occasional tobacco smoker,^ESCTOC815337,NA,3308893017,NA,17,1
160603005#,Light cigarette smoker (1-9 cigs/day),Active smoker,250358015#,1,1,2,743331000006116#,Light cigarette smoker (1-9 cigs/day),1373,1373,250358015,NA,17,1
160603005#,Light cigarette smoker (1-9 cigs/day) (life style),Active smoker,541535014#,1,1,2,743331000006116#,Light cigarette smoker (1-9 cigs/day),1373,1373,250358015,NA,17,1
160603005#,Light cigarette smoker (1-9 cigs/day) (finding),Active smoker,1470241018#,1,1,2,743331000006116#,Light cigarette smoker (1-9 cigs/day),1373,1373,250358015,NA,17,1
160604004#,Moderate cigarette smoker (10-19 cigs/day),Active smoker,250359011#,1,1,2,700121000006118#,Moderate cigarette smoker (10-19 cigs/day),1374,1374,250359011,NA,17,1
160604004#,Moderate cigarette smoker (10-19 cigs/day) (life style),Active smoker,541536010#,1,1,2,700121000006118#,Moderate cigarette smoker (10-19 cigs/day),1374,1374,250359011,NA,17,1
160604004#,Moderate cigarette smoker (10-19 cigs/day) (finding),Active smoker,1470242013#,1,1,2,700121000006118#,Moderate cigarette smoker (10-19 cigs/day),1374,1374,250359011,NA,17,1
160605003#,Heavy cigarette smoker (20-39 cigs/day),Active smoker,250360018#,1,1,2,819331000006110#,Heavy cigarette smoker (20-39 cigs/day),1375,1375,250360018,NA,17,1
160605003#,Heavy cigarette smoker (20-39 cigs/day) (life style),Active smoker,541537018#,1,1,2,819331000006110#,Heavy cigarette smoker (20-39 cigs/day),1375,1375,250360018,NA,17,1
160605003#,Heavy cigarette smoker (20-39 cigs/day) (finding),Active smoker,1470243015#,1,1,2,819331000006110#,Heavy cigarette smoker (20-39 cigs/day),1375,1375,250360018,NA,17,1
160606002#,Very heavy cigarette smoker (40+ cigs/day),Active smoker,250362014#,1,1,2,67621000006112#,Very heavy cigarette smoker (40+ cigs/day),1376,1376,250362014,NA,17,1
160606002#,Very heavy cigarette smoker (40+ cigs/day) (life style),Active smoker,541539015#,1,1,2,67621000006112#,Very heavy cigarette smoker (40+ cigs/day),1376,1376,250362014,NA,17,1
160606002#,Very heavy cigarette smoker (40+ cigs/day) (finding),Active smoker,1470244014#,1,1,2,67621000006112#,Very heavy cigarette smoker (40+ cigs/day),1376,1376,250362014,NA,17,1
230058003#,Pipe tobacco consumption,Active smoker,344795016#,1,1,2,344795016#,Pipe tobacco consumption,137a,137a.00,344795016,NA,17,1
230058003#,Pipe tobacco consumption (observable entity),Active smoker,617820018#,1,1,2,344795016#,Pipe tobacco consumption,137a,137a.00,344795016,NA,17,1
394872000#,Ready to stop smoking (finding),Active smoker,1468812018#,1,1,2,1488577017#,Ready to stop smoking,137b,137b.00,1488577017,NA,17,1
394872000#,Ready to stop smoking,Active smoker,1488577017#,1,1,2,1488577017#,Ready to stop smoking,137b,137b.00,1488577017,NA,17,1
394871007#,Thinking about stopping smoking (observable entity),Active smoker,1468811013#,1,1,2,1488576014#,Thinking about stopping smoking,137c,137c.00,1488576014,NA,17,1
394871007#,Thinking about stopping smoking,Active smoker,1488576014#,1,1,2,1488576014#,Thinking about stopping smoking,137c,137c.00,1488576014,NA,17,1
394871007#,Thinking about stopping smoking (finding),Active smoker,2529308018#,1,1,2,1488576014#,Thinking about stopping smoking,137c,137c.00,1488576014,NA,17,1
160612007#,Keeps trying to stop smoking,Active smoker,250368013#,1,1,2,250368013#,Keeps trying to stop smoking,137C,137C.00,250368013,NA,17,1
160612007#,Keeps trying to stop smoking (finding),Active smoker,541545011#,1,1,2,250368013#,Keeps trying to stop smoking,137C,137C.00,250368013,NA,17,1
394873005#,Not interested in stopping smoking (finding),Active smoker,1468813011#,1,1,2,1488578010#,Not interested in stopping smoking,137d,137d.00,1488578010,NA,17,1
394873005#,Not interested in stopping smoking,Active smoker,1488578010#,1,1,2,1488578010#,Not interested in stopping smoking,137d,137d.00,1488578010,NA,17,1
308438006#,Smoking restarted - finding,Active smoker,451769012#,1,1,2,137791000006118#,Smoking restarted,137Q-1,137Q.11,2670126018,NA,17,1
308438006#,Smoking restarted - finding,Active smoker,451769012#,1,1,2,2670126018#,Smoking restarted,137e,137e.00,2670126018,NA,17,1
308438006#,Smoking restarted (life style),Active smoker,704975012#,1,1,2,137791000006118#,Smoking restarted,137Q-1,137Q.11,2670126018,NA,17,1
308438006#,Smoking restarted (life style),Active smoker,704975012#,1,1,2,2670126018#,Smoking restarted,137e,137e.00,2670126018,NA,17,1
308438006#,Smoking restarted (finding),Active smoker,1456467018#,1,1,2,137791000006118#,Smoking restarted,137Q-1,137Q.11,2670126018,NA,17,1
308438006#,Smoking restarted (finding),Active smoker,1456467018#,1,1,2,2670126018#,Smoking restarted,137e,137e.00,2670126018,NA,17,1
308438006#,Smoking restarted,Active smoker,2670126018#,1,1,2,137791000006118#,Smoking restarted,137Q-1,137Q.11,2670126018,NA,17,1
308438006#,Smoking restarted,Active smoker,2670126018#,1,1,2,2670126018#,Smoking restarted,137e,137e.00,2670126018,NA,17,1
401159003#,Reason for restarting smoking (observable entity),Active smoker,1769081016#,1,1,2,1780360012#,Reason for restarting smoking,137f,137f.00,1780360012,NA,17,1
401159003#,Reason for restarting smoking,Active smoker,1780360012#,1,1,2,1780360012#,Reason for restarting smoking,137f,137f.00,1780360012,NA,17,1
401201003#,Cigarette pack-years (observable entity),Active smoker,1769123018#,1,1,2,1780396011#,Cigarette pack-years,137g,137g.00,1780396011,NA,17,1
401201003#,Cigarette pack-years,Active smoker,1780396011#,1,1,2,1780396011#,Cigarette pack-years,137g,137g.00,1780396011,NA,17,1
160616005#,Trying to give up smoking,Active smoker,250372012#,1,1,2,250372012#,Trying to give up smoking,137G,137G.00,250372012,NA,17,1
160616005#,Trying to give up smoking (finding),Active smoker,541550017#,1,1,2,250372012#,Trying to give up smoking,137G,137G.00,250372012,NA,17,1
413173009#,Minutes from waking to first tobacco consumption (observable entity),Active smoker,2468626010#,1,1,2,2474719011#,Minutes from waking to first tobacco consumption,137h,137h.00,2474719011,NA,17,1
413173009#,Minutes from waking to first tobacco consumption,Active smoker,2474719011#,1,1,2,2474719011#,Minutes from waking to first tobacco consumption,137h,137h.00,2474719011,NA,17,1
82302008#,Pipe smoker,Active smoker,136515019#,1,1,2,136515019#,Pipe smoker,137H,137H.00,136515019,NA,17,1
82302008#,Pipe smoker (life style),Active smoker,823697013#,1,1,2,136515019#,Pipe smoker,137H,137H.00,136515019,NA,17,1
82302008#,Pipe smoker (finding),Active smoker,1472637016#,1,1,2,136515019#,Pipe smoker,137H,137H.00,136515019,NA,17,1
59978006#,Cigar smoker,Active smoker,99639019#,1,1,2,99639019#,Cigar smoker,137J,137J.00,99639019,NA,17,1
59978006#,Cigar smoker (life style),Active smoker,798879014#,1,1,2,99639019#,Cigar smoker,137J,137J.00,99639019,NA,17,1
59978006#,Cigar smoker (finding),Active smoker,1470186010#,1,1,2,99639019#,Cigar smoker,137J,137J.00,99639019,NA,17,1
446172000#,Failed attempt to stop smoking (finding),Active smoker,2879887015#,1,1,2,1592611000000110#,Failed attempt to stop smoking,137m,137m.00,2882460017,NA,17,1
446172000#,Failed attempt to stop smoking,Active smoker,2882460017#,1,1,2,1592611000000110#,Failed attempt to stop smoking,137m,137m.00,2882460017,NA,17,1
160619003#,Rolls own cigarettes,Active smoker,250375014#,1,1,2,250375014#,Rolls own cigarettes,137M,137M.00,250375014,NA,17,1
160619003#,Rolls own cigarettes (finding),Active smoker,541553015#,1,1,2,250375014#,Rolls own cigarettes,137M,137M.00,250375014,NA,17,1
65568007#,Cigarette smoker,Active smoker,108938018#,1,1,2,108938018#,Cigarette smoker,137P,137P.00,108938018,NA,17,1
65568007#,"Cigarette smoker, NOS",Active smoker,108939014#,1,1,2,108938018#,Cigarette smoker,137P,137P.00,108938018,NA,17,1
65568007#,Cigarette smoker (life style),Active smoker,805085018#,1,1,2,108938018#,Cigarette smoker,137P,137P.00,108938018,NA,17,1
65568007#,Cigarette smoker (finding),Active smoker,1472492018#,1,1,2,108938018#,Cigarette smoker,137P,137P.00,108938018,NA,17,1
77176002#,Smoker,Active smoker,128130017#,1,1,2,503483019#,Current smoker,137R,137R.00,503483019,NA,17,1
77176002#,Smoker,Active smoker,128130017#,1,1,2,128130017#,Smoker,137P-1,137P.11,128130017,NA,17,1
77176002#,"Smoker, NOS",Active smoker,128131018#,1,1,2,503483019#,Current smoker,137R,137R.00,503483019,NA,17,1
77176002#,"Smoker, NOS",Active smoker,128131018#,1,1,2,128130017#,Smoker,137P-1,137P.11,128130017,NA,17,1
77176002#,Current smoker,Active smoker,503483019#,1,1,2,503483019#,Current smoker,137R,137R.00,503483019,NA,17,1
77176002#,Current smoker,Active smoker,503483019#,1,1,2,128130017#,Smoker,137P-1,137P.11,128130017,NA,17,1
77176002#,Smoker (life style),Active smoker,817977015#,1,1,2,503483019#,Current smoker,137R,137R.00,503483019,NA,17,1
77176002#,Smoker (life style),Active smoker,817977015#,1,1,2,128130017#,Smoker,137P-1,137P.11,128130017,NA,17,1
77176002#,Smoker (finding),Active smoker,1472594019#,1,1,2,503483019#,Current smoker,137R,137R.00,503483019,NA,17,1
77176002#,Smoker (finding),Active smoker,1472594019#,1,1,2,128130017#,Smoker,137P-1,137P.11,128130017,NA,17,1
266929003#,Smoking started - finding,Active smoker,397745010#,1,1,2,2669652019#,Smoking started,137Q,137Q.00,2669652019,NA,17,1
266929003#,Smoking started (life style),Active smoker,659483016#,1,1,2,2669652019#,Smoking started,137Q,137Q.00,2669652019,NA,17,1
266929003#,Smoking started (finding),Active smoker,1472202010#,1,1,2,2669652019#,Smoking started,137Q,137Q.00,2669652019,NA,17,1
266929003#,Smoking started,Active smoker,2669652019#,1,1,2,2669652019#,Smoking started,137Q,137Q.00,2669652019,NA,17,1
134406006#,Smoking reduced,Active smoker,216212011#,1,1,2,216212011#,Smoking reduced,137V,137V.00,216212011,NA,17,1
134406006#,Smoking reduced (observable entity),Active smoker,513985013#,1,1,2,216212011#,Smoking reduced,137V,137V.00,216212011,NA,17,1
134406006#,Smoking reduced (finding),Active smoker,1475461013#,1,1,2,216212011#,Smoking reduced,137V,137V.00,216212011,NA,17,1
230056004#,Cigarette consumption,Active smoker,344793011#,1,1,2,344793011#,Cigarette consumption,137X,137X.00,344793011,NA,17,1
230056004#,Cigarette consumption (observable entity),Active smoker,617818016#,1,1,2,344793011#,Cigarette consumption,137X,137X.00,344793011,NA,17,1
230057008#,Cigar consumption,Active smoker,344794017#,1,1,2,344794017#,Cigar consumption,137Y,137Y.00,344794017,NA,17,1
230057008#,Cigar consumption (observable entity),Active smoker,617819012#,1,1,2,344794017#,Cigar consumption,137Y,137Y.00,344794017,NA,17,1
225323000#,Smoking cessation advice,Active smoker,338608011#,1,1,2,4939241000006115#,Advice on effects of smoking on health,^ESCTAD493924,NA,2693470012,NA,17,1
225323000#,Smoking cessation advice,Active smoker,338608011#,1,1,2,4939251000006118#,Advice on smoking,^ESCTAD493925,NA,2695629019,NA,17,1
225323000#,Smoking cessation advice,Active smoker,338608011#,1,1,2,338608011#,Smoking cessation advice,8CAL,8CAL.00,338608011,NA,17,1
225323000#,Smoking cessation advice,Active smoker,338608011#,1,1,2,818061000006111#,Smoking cessation education,6791,6791,2575784012,NA,17,1
225323000#,Smoking cessation advice (procedure),Active smoker,612554016#,1,1,2,4939241000006115#,Advice on effects of smoking on health,^ESCTAD493924,NA,2693470012,NA,17,1
225323000#,Smoking cessation advice (procedure),Active smoker,612554016#,1,1,2,4939251000006118#,Advice on smoking,^ESCTAD493925,NA,2695629019,NA,17,1
225323000#,Smoking cessation advice (procedure),Active smoker,612554016#,1,1,2,338608011#,Smoking cessation advice,8CAL,8CAL.00,338608011,NA,17,1
225323000#,Smoking cessation advice (procedure),Active smoker,612554016#,1,1,2,818061000006111#,Smoking cessation education,6791,6791,2575784012,NA,17,1
225323000#,Smoking cessation advice (regime/therapy),Active smoker,1471140019#,1,1,2,4939241000006115#,Advice on effects of smoking on health,^ESCTAD493924,NA,2693470012,NA,17,1
225323000#,Smoking cessation advice (regime/therapy),Active smoker,1471140019#,1,1,2,4939251000006118#,Advice on smoking,^ESCTAD493925,NA,2695629019,NA,17,1
225323000#,Smoking cessation advice (regime/therapy),Active smoker,1471140019#,1,1,2,338608011#,Smoking cessation advice,8CAL,8CAL.00,338608011,NA,17,1
225323000#,Smoking cessation advice (regime/therapy),Active smoker,1471140019#,1,1,2,818061000006111#,Smoking cessation education,6791,6791,2575784012,NA,17,1
225323000#,Smoking cessation education (procedure),Active smoker,2569777013#,1,1,2,4939241000006115#,Advice on effects of smoking on health,^ESCTAD493924,NA,2693470012,NA,17,1
225323000#,Smoking cessation education (procedure),Active smoker,2569777013#,1,1,2,4939251000006118#,Advice on smoking,^ESCTAD493925,NA,2695629019,NA,17,1
225323000#,Smoking cessation education (procedure),Active smoker,2569777013#,1,1,2,338608011#,Smoking cessation advice,8CAL,8CAL.00,338608011,NA,17,1
225323000#,Smoking cessation education (procedure),Active smoker,2569777013#,1,1,2,818061000006111#,Smoking cessation education,6791,6791,2575784012,NA,17,1
225323000#,Smoking cessation education,Active smoker,2575784012#,1,1,2,4939241000006115#,Advice on effects of smoking on health,^ESCTAD493924,NA,2693470012,NA,17,1
225323000#,Smoking cessation education,Active smoker,2575784012#,1,1,2,4939251000006118#,Advice on smoking,^ESCTAD493925,NA,2695629019,NA,17,1
225323000#,Smoking cessation education,Active smoker,2575784012#,1,1,2,338608011#,Smoking cessation advice,8CAL,8CAL.00,338608011,NA,17,1
225323000#,Smoking cessation education,Active smoker,2575784012#,1,1,2,818061000006111#,Smoking cessation education,6791,6791,2575784012,NA,17,1
225323000#,Advice on effects of smoking on health (regime/therapy),Active smoker,2579189017#,1,1,2,4939241000006115#,Advice on effects of smoking on health,^ESCTAD493924,NA,2693470012,NA,17,1
225323000#,Advice on effects of smoking on health (regime/therapy),Active smoker,2579189017#,1,1,2,4939251000006118#,Advice on smoking,^ESCTAD493925,NA,2695629019,NA,17,1
225323000#,Advice on effects of smoking on health (regime/therapy),Active smoker,2579189017#,1,1,2,338608011#,Smoking cessation advice,8CAL,8CAL.00,338608011,NA,17,1
225323000#,Advice on effects of smoking on health (regime/therapy),Active smoker,2579189017#,1,1,2,818061000006111#,Smoking cessation education,6791,6791,2575784012,NA,17,1
225323000#,Advice on smoking (regime/therapy),Active smoker,2579190014#,1,1,2,4939241000006115#,Advice on effects of smoking on health,^ESCTAD493924,NA,2693470012,NA,17,1
225323000#,Advice on smoking (regime/therapy),Active smoker,2579190014#,1,1,2,4939251000006118#,Advice on smoking,^ESCTAD493925,NA,2695629019,NA,17,1
225323000#,Advice on smoking (regime/therapy),Active smoker,2579190014#,1,1,2,338608011#,Smoking cessation advice,8CAL,8CAL.00,338608011,NA,17,1
225323000#,Advice on smoking (regime/therapy),Active smoker,2579190014#,1,1,2,818061000006111#,Smoking cessation education,6791,6791,2575784012,NA,17,1
225323000#,Advice on effects of smoking on health,Active smoker,2693470012#,1,1,2,4939241000006115#,Advice on effects of smoking on health,^ESCTAD493924,NA,2693470012,NA,17,1
225323000#,Advice on effects of smoking on health,Active smoker,2693470012#,1,1,2,4939251000006118#,Advice on smoking,^ESCTAD493925,NA,2695629019,NA,17,1
225323000#,Advice on effects of smoking on health,Active smoker,2693470012#,1,1,2,338608011#,Smoking cessation advice,8CAL,8CAL.00,338608011,NA,17,1
225323000#,Advice on effects of smoking on health,Active smoker,2693470012#,1,1,2,818061000006111#,Smoking cessation education,6791,6791,2575784012,NA,17,1
225323000#,Advice on smoking,Active smoker,2695629019#,1,1,2,4939241000006115#,Advice on effects of smoking on health,^ESCTAD493924,NA,2693470012,NA,17,1
225323000#,Advice on smoking,Active smoker,2695629019#,1,1,2,4939251000006118#,Advice on smoking,^ESCTAD493925,NA,2695629019,NA,17,1
225323000#,Advice on smoking,Active smoker,2695629019#,1,1,2,338608011#,Smoking cessation advice,8CAL,8CAL.00,338608011,NA,17,1
225323000#,Advice on smoking,Active smoker,2695629019#,1,1,2,818061000006111#,Smoking cessation education,6791,6791,2575784012,NA,17,1
225324006#,Advice on effects of smoking on health,Active smoker,338609015#,1,1,2,4939261000006116#,Smoking effects education,^ESCTSM493926,NA,2575785013,NA,17,0
225324006#,Advice on effects of smoking on health,Active smoker,338609015#,1,1,2,936011000006114#,Advice on effects of smoking on health,67H1,67H1.00,338609015,NA,17,0
225324006#,Advice on effects of smoking on health (procedure),Active smoker,612555015#,1,1,2,4939261000006116#,Smoking effects education,^ESCTSM493926,NA,2575785013,NA,17,0
225324006#,Advice on effects of smoking on health (procedure),Active smoker,612555015#,1,1,2,936011000006114#,Advice on effects of smoking on health,67H1,67H1.00,338609015,NA,17,0
225324006#,Advice on effects of smoking on health (regime/therapy),Active smoker,1471141015#,1,1,2,4939261000006116#,Smoking effects education,^ESCTSM493926,NA,2575785013,NA,17,0
225324006#,Advice on effects of smoking on health (regime/therapy),Active smoker,1471141015#,1,1,2,936011000006114#,Advice on effects of smoking on health,67H1,67H1.00,338609015,NA,17,0
225324006#,Smoking effects education (procedure),Active smoker,2569778015#,1,1,2,4939261000006116#,Smoking effects education,^ESCTSM493926,NA,2575785013,NA,17,0
225324006#,Smoking effects education (procedure),Active smoker,2569778015#,1,1,2,936011000006114#,Advice on effects of smoking on health,67H1,67H1.00,338609015,NA,17,0
225324006#,Smoking effects education,Active smoker,2575785013#,1,1,2,4939261000006116#,Smoking effects education,^ESCTSM493926,NA,2575785013,NA,17,0
225324006#,Smoking effects education,Active smoker,2575785013#,1,1,2,936011000006114#,Advice on effects of smoking on health,67H1,67H1.00,338609015,NA,17,0
395700008#,Referral to smoking cessation advisor (procedure),Active smoker,1469640016#,1,1,2,1489355012#,Referral to smoking cessation advisor,8H7i,8H7i.00,1489355012,NA,40,1
395700008#,Referral to smoking cessation advisor,Active smoker,1489355012#,1,1,2,1489355012#,Referral to smoking cessation advisor,8H7i,8H7i.00,1489355012,NA,40,1
395700008#,Referral: smok cessatn advisor,Active smoker,1494697012#,1,1,2,1489355012#,Referral to smoking cessation advisor,8H7i,8H7i.00,1489355012,NA,40,1
315232003#,Referral to stop-smoking clinic,Active smoker,459722017#,1,1,2,459722017#,Referral to stop-smoking clinic,8HTK,8HTK.00,459722017,NA,40,1
315232003#,Referral to stop-smoking clinic (procedure),Active smoker,712099016#,1,1,2,459722017#,Referral to stop-smoking clinic,8HTK,8HTK.00,459722017,NA,40,1
401068004#,Seen by smoking cessation advisor (finding),Active smoker,1768989013#,1,1,2,1780273014#,Seen by smoking cessation advisor,9N2k,9N2k.00,1780273014,NA,37,1
401068004#,Seen by smoking cessation advisor,Active smoker,1780273014#,1,1,2,1780273014#,Seen by smoking cessation advisor,9N2k,9N2k.00,1780273014,NA,37,1
185789006#,Attends stop smoking monitoring,Active smoker,285791018#,1,1,2,498831000006118#,Attends stop smoking monitoring,9OO1,9OO1.00,285791018,NA,37,0
185789006#,Attends stop smoking monitoring (finding),Active smoker,568822013#,1,1,2,498831000006118#,Attends stop smoking monitoring,9OO1,9OO1.00,285791018,NA,37,0
765001003#,Monitoring of smoking cessation therapy declined,Active smoker,3656019011#,1,1,2,12024761000006112#,Monitoring of smoking cessation therapy declined,^ESCT1202476,NA,3656019011,NA,37,0
765001003#,Monitoring of smoking cessation therapy declined,Active smoker,3656019011#,1,1,2,285792013#,Monitoring of smoking cessation therapy refused,9OO2,9OO2.00,3656021018,NA,37,0
765001003#,Monitoring of smoking cessation therapy refused (situation),Active smoker,3656020017#,1,1,2,12024761000006112#,Monitoring of smoking cessation therapy declined,^ESCT1202476,NA,3656019011,NA,37,0
765001003#,Monitoring of smoking cessation therapy refused (situation),Active smoker,3656020017#,1,1,2,285792013#,Monitoring of smoking cessation therapy refused,9OO2,9OO2.00,3656021018,NA,37,0
765001003#,Monitoring of smoking cessation therapy refused,Active smoker,3656021018#,1,1,2,12024761000006112#,Monitoring of smoking cessation therapy declined,^ESCT1202476,NA,3656019011,NA,37,0
765001003#,Monitoring of smoking cessation therapy refused,Active smoker,3656021018#,1,1,2,285792013#,Monitoring of smoking cessation therapy refused,9OO2,9OO2.00,3656021018,NA,37,0
185791003#,Stop smoking monitor default,Active smoker,285793015#,1,1,2,285793015#,Stop smoking monitor default,9OO3,9OO3.00,285793015,NA,37,0
185791003#,Stop smoking monitor default (finding),Active smoker,568824014#,1,1,2,285793015#,Stop smoking monitor default,9OO3,9OO3.00,285793015,NA,37,0
185792005#,Stop smoking monitoring first letter,Active smoker,285794014#,1,1,2,128311000006112#,Stop smoking monitoring first letter,9OO4,9OO4.00,285794014,NA,37,1
185792005#,Stop smoking monitoring first letter (procedure),Active smoker,568825010#,1,1,2,128311000006112#,Stop smoking monitoring first letter,9OO4,9OO4.00,285794014,NA,37,1
185793000#,Stop smoking monitoring second letter,Active smoker,285795010#,1,1,2,128321000006116#,Stop smoking monitoring second letter,9OO5,9OO5.00,285795010,NA,37,1
185793000#,Stop smoking monitoring second letter (procedure),Active smoker,568826011#,1,1,2,128321000006116#,Stop smoking monitoring second letter,9OO5,9OO5.00,285795010,NA,37,1
185794006#,Stop smoking monitoring third letter,Active smoker,285796011#,1,1,2,128331000006118#,Stop smoking monitoring third letter,9OO6,9OO6.00,285796011,NA,37,1
185794006#,Stop smoking monitoring third letter (procedure),Active smoker,568828012#,1,1,2,128331000006118#,Stop smoking monitoring third letter,9OO6,9OO6.00,285796011,NA,37,1
185795007#,Stop smoking monitoring verbal invite,Active smoker,285797019#,1,1,2,128371000006115#,Stop smoking monitoring verbal invite,9OO7,9OO7.00,285797019,NA,37,1
185795007#,Stop smoking monitoring verbal invite (procedure),Active smoker,568829016#,1,1,2,128371000006115#,Stop smoking monitoring verbal invite,9OO7,9OO7.00,285797019,NA,37,1
185796008#,Stop smoking monitoring telephone invite,Active smoker,285798012#,1,1,2,128361000006110#,Stop smoking monitoring telephone invite,9OO8,9OO8.00,285798012,NA,37,1
